country,entrance,title,week
Box Office US,54688347,Mission: Impossible – Dead Reckoning Partie 1,2023-07-12
Box Office France,116437,Melancholia,2023-07-12
Box Office France,24387,The House That Jack Built,2023-07-12
Box Office US,1200000,Memento,2023-07-12
Box Office France,122090,Dogville,2023-07-12
