,title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views,budget
0,guardians of the galaxy vol. 3,2023-05-03,"Action, Fantastique, Science fiction",2h 30min,James Gunn,James Gunn,"Chris Pratt, Zoe Saldana, Dave Bautista",U.S.A.,The Walt Disney Company France,Box Office France,1323124,"3,6","4,2",251776.0,250000000.0
1,sexygénaires,2023-06-14,Comédie,1h 20min,Robin Sykes,"Antoine Raimbault, Robin Sykes","Thierry Lhermitte, Patrick Timsit, Marie Bunel",France,Apollo Films / Orange Studio,Box Office France,63084,"2,8","2,6",25555.0,6000000.0
2,pornomelancolía,2023-06-21,Drame,1h 34min,Manuel Abramovich,"Manuel Abramovich, Fernando Krapp","Lalo Santos,  Diablo, Brandon Ley",Argentine,Epicentre Films,Box Office France,3611,"3,5","2,6",6778.0,0.0
4,sick of myself,2023-05-31,Comédie dramatique,1h 37min,Kristoffer Borgli,Kristoffer Borgli,"Kristine Kujath Thorp, Eirik Sæther, Fanny Vaager",Norvège,Tandem,Box Office France,14638,"3,4","3,4",87714.0,0.0
5,la syndicaliste,2023-03-01,"Thriller, Drame",2h 01min,Jean-Paul Salomé,"Fadette Drouard, Jean-Paul Salomé","Isabelle Huppert, Grégory Gadebois, Yvan Attal",France,Le Pacte,Box Office France,192422,"3,3","3,9",182409.0,0.0
6,j’irai mourir dans les carpates,2020-09-16,"Comédie, Thriller",1h 36min,Antoine de Maximy,Antoine de Maximy,"Antoine de Maximy, Alice Pol, Max Boublil",France,Apollo Films,Box Office France,50838,"2,5","3,7",153661.0,300000.0
7,astérix et obélix : l'empire du milieu,2023-02-01,"Aventure, Comédie",1h 52min,Guillaume Canet,"Guillaume Canet, Julien Hervé","Guillaume Canet, Gilles Lellouche, Marion Cotillard",France,Pathé,Box Office France,1882686,"2,4","1,8",409035.0,72000000.0
8,whitney houston: i wanna dance with somebody,2022-12-21,"Biopic, Musical",2h 26min,Kasi Lemmons,Anthony McCarten,"Naomi Ackie, Stanley Tucci, Tamara Tunie",U.S.A.,Sony Pictures Releasing France,Box Office France,64834,"2,5","3,5",54456.0,50000000.0
9,tout simplement noir,2020-07-08,Comédie,1h 30min,Jean-Pascal Zadi,"John Wax, Kamel Guemra, Jean-Pascal Zadi","Jean-Pascal Zadi, Caroline Anglade,  Fary",France,Gaumont Distribution,Box Office France,255537,"3,8","2,8",642294.0,0.0
10,retour chez ma mère,2016-06-01,Comédie,1h 31min,Eric Lavaine,"Eric Lavaine, Héctor Cabello Reyes","Alexandra Lamy, Josiane Balasko, Mathilde Seigner",France,Pathé,Box Office France,643863,"2,9","3,0",979150.0,8600000.0
11,the french dispatch,2021-10-27,"Comédie, Drame, Romance",1h 48min,Wes Anderson,Wes Anderson,"Timothée Chalamet, Léa Seydoux, Bill Murray",U.S.A.,The Walt Disney Company France,Box Office France,197450,"3,5","3,3",196244.0,25000000.0
12,no hard feelings,2023-06-21,Comédie,1h 43min,Gene Stupnitsky,"Gene Stupnitsky, John M. Phillips","Jennifer Lawrence, Andrew Barth Feldman, Laura Benanti",U.S.A.,Sony Pictures Releasing France,Box Office France,54361,"3,0","3,1",76825.0,45000000.0
13,supercondriaque,2014-02-26,Comédie,1h 48min,Dany Boon,Dany Boon,"Dany Boon, Alice Pol, Kad Merad",France,Pathé,Box Office France,2151921,"2,4","2,4",1343387.0,0.0
14,sur les chemins noirs,2023-03-22,Drame,1h 35min,Denis Imbert,"Denis Imbert,  Diastème","Jean Dujardin, Joséphine Japy, Izïa Higelin",France,Apollo Films / TF1 Studio,Box Office France,438142,"3,0","3,6",132143.0,0.0
15,about my father,2023-05-31,Comédie,1h 36min,Laura Terruso,"Sebastian Maniscalco, Austen Earl","Sebastian Maniscalco, Robert De Niro, Leslie Bibb",U.S.A.,Metropolitan FilmExport,Box Office France,25767,"2,3","2,0",133782.0,29100000.0
16,to catch a killer,2023-04-26,"Thriller, Policier",1h 59min,Damián Szifron,"Damián Szifron, Jonathan Wakeham","Shailene Woodley, Ben Mendelsohn, Jovan Adepo",U.S.A.,Metropolitan FilmExport,Box Office France,100146,"3,7","3,8",84179.0,0.0
17,petites,2023-02-22,Drame,1h 30min,Julie Lerat-Gersant,"François Roy (III), Julie Lerat-Gersant, François Roy (III)","Pili Groyne, Romane Bohringer, Victoire Du Bois",France,Haut et Court,Box Office France,12466,"3,5","3,8",99053.0,1200000.0
18,emily,2023-03-15,"Biopic, Drame",2h 10min,Frances O'Connor,Frances O'Connor,"Emma Mackey, Fionn Whitehead, Oliver Jackson-Cohen",Grande-Bretagne,Wild Bunch Distribution,Box Office France,47695,"3,1","3,7",26864.0,0.0
19,don't worry darling,2022-09-21,Thriller,2h 03min,Olivia Wilde,Katie Silberman,"Florence Pugh, Harry Styles, Chris Pine",U.S.A.,Warner Bros. France,Box Office France,151272,"3,1","3,7",92925.0,35000000.0
20,antichrist,2009-06-03,"Thriller, Drame",1h 50min,Lars von Trier,Lars von Trier,"Willem Dafoe, Charlotte Gainsbourg, Storm Acheche Sahlstrøm",France,Les Films du Losange,Box Office France,63719,"2,2","2,3",906336.0,11000000.0
21,king arthur: legend of the sword,2017-05-17,"Action, Aventure, Fantastique",2h 06min,Guy Ritchie,"Joby Harold, Guy Ritchie","Charlie Hunnam, Astrid Bergès-Frisbey, Jude Law",U.S.A.,Warner Bros. France,Box Office France,362905,"2,7","3,3",659245.0,175000000.0
