iter	Passed	Remaining
423	2165	2941
424	2171	2938
425	2177	2933
426	2182	2928
427	2188	2924
428	2194	2920
429	2203	2920
430	2208	2916
431	2215	2913
432	2221	2909
433	2226	2903
434	2231	2898
435	2236	2893
436	2242	2889
437	2247	2883
438	2253	2879
439	2258	2874
440	2263	2868
441	2268	2863
442	2273	2858
443	2279	2854
444	2284	2849
445	2288	2842
446	2294	2838
447	2299	2833
448	2304	2827
449	2309	2823
450	2314	2817
451	2320	2812
452	2324	2807
453	2328	2800
454	2333	2794
455	2338	2789
456	2340	2780
457	2345	2775
458	2351	2771
459	2356	2766
460	2360	2759
461	2366	2755
462	2370	2749
463	2375	2743
464	2379	2737
465	2384	2732
466	2389	2727
467	2395	2722
468	2403	2721
469	2408	2715
470	2413	2710
471	2418	2705
472	2423	2700
473	2429	2695
474	2434	2690
475	2438	2684
476	2443	2679
477	2448	2674
478	2454	2669
479	2459	2663
480	2463	2658
481	2468	2653
482	2473	2647
483	2478	2642
484	2485	2639
485	2490	2633
486	2495	2628
487	2500	2623
488	2505	2618
489	2510	2613
490	2511	2603
491	2517	2599
492	2523	2594
493	2528	2589
494	2533	2584
495	2537	2578
496	2542	2573
497	2549	2569
498	2554	2564
499	2561	2561
500	2566	2556
501	2571	2550
502	2576	2545
503	2581	2540
504	2586	2535
505	2589	2528
506	2595	2523
507	2601	2519
508	2606	2514
509	2612	2510
510	2617	2504
511	2622	2499
512	2628	2494
513	2633	2489
514	2638	2484
515	2643	2479
516	2648	2474
517	2653	2469
518	2658	2464
519	2663	2458
520	2669	2454
521	2675	2449
522	2680	2444
523	2685	2439
524	2687	2431
525	2694	2428
526	2699	2423
527	2704	2418
528	2709	2412
529	2714	2406
530	2718	2400
531	2723	2395
532	2728	2390
533	2733	2385
534	2739	2381
535	2745	2376
536	2750	2371
537	2755	2366
538	2761	2361
539	2764	2354
540	2769	2349
541	2775	2345
542	2780	2339
543	2785	2334
544	2790	2329
545	2796	2324
546	2803	2321
547	2808	2316
548	2813	2311
549	2819	2306
550	2823	2301
551	2828	2295
552	2835	2292
553	2841	2287
554	2846	2281
555	2850	2276
556	2856	2271
557	2860	2266
558	2865	2260
559	2870	2255
560	2876	2250
561	2881	2245
562	2886	2240
563	2890	2234
564	2895	2229
565	2901	2224
566	2906	2219
567	2910	2213
568	2916	2208
569	2921	2203
570	2925	2198
571	2930	2193
572	2936	2188
573	2941	2183
574	2947	2178
575	2953	2174
576	2958	2169
577	2963	2163
578	2969	2158
579	2974	2154
580	2979	2149
581	2984	2143
582	2989	2138
583	2995	2133
584	3000	2128
585	3006	2124
586	3011	2119
587	3018	2115
588	3024	2110
589	3028	2104
590	3034	2099
591	3038	2094
592	3043	2088
593	3048	2083
594	3052	2078
595	3057	2072
596	3062	2067
597	3066	2061
598	3070	2055
599	3074	2049
600	3080	2044
601	3084	2039
602	3088	2033
603	3093	2028
604	3100	2024
605	3105	2018
606	3110	2013
607	3116	2009
608	3120	2003
609	3127	1999
610	3128	1991
611	3132	1986
612	3137	1980
613	3143	1976
614	3148	1971
615	3155	1966
616	3161	1962
617	3167	1957
618	3172	1952
619	3178	1948
620	3181	1941
621	3184	1935
622	3189	1930
623	3195	1925
624	3199	1919
625	3202	1913
626	3207	1908
627	3212	1902
628	3217	1897
629	3221	1892
630	3227	1887
631	3231	1881
632	3236	1876
633	3241	1870
634	3245	1865
635	3249	1859
636	3253	1854
637	3259	1849
638	3264	1844
639	3269	1838
640	3274	1833
641	3279	1828
642	3283	1822
643	3287	1817
644	3292	1812
645	3297	1807
646	3301	1801
647	3307	1796
648	3311	1791
649	3316	1785
650	3321	1780
651	3325	1774
652	3329	1769
653	3334	1763
654	3339	1758
655	3343	1753
656	3348	1748
657	3353	1742
658	3358	1737
659	3362	1732
660	3367	1727
661	3373	1722
662	3377	1716
663	3409	1725
664	3415	1720
665	3434	1722
666	3451	1723
667	3458	1718
668	3474	1719
669	3495	1721
670	3502	1717
671	3507	1711
672	3512	1706
673	3520	1702
674	3528	1698
675	3536	1695
676	3546	1692
677	3559	1690
678	3564	1685
679	3571	1680
680	3577	1675
681	3582	1670
682	3587	1665
683	3588	1657
684	3593	1652
685	3598	1647
686	3603	1641
687	3607	1636
688	3612	1630
689	3616	1624
690	3620	1619
691	3625	1613
692	3629	1607
693	3634	1602
694	3638	1596
695	3642	1591
696	3646	1585
697	3650	1579
698	3655	1573
699	3659	1568
700	3664	1563
701	3669	1557
702	3673	1551
703	3677	1546
704	3682	1540
705	3686	1535
706	3691	1529
707	3695	1524
708	3701	1519
709	3708	1514
710	3712	1509
711	3717	1503
712	3721	1498
713	3723	1491
714	3727	1485
715	3732	1480
716	3738	1475
717	3743	1470
718	3748	1464
719	3753	1459
720	3758	1454
721	3762	1448
722	3768	1443
723	3773	1438
724	3778	1433
725	3784	1428
726	3788	1422
727	3792	1417
728	3797	1411
729	3802	1406
730	3807	1401
731	3811	1395
732	3816	1390
733	3822	1385
734	3830	1380
735	3835	1375
736	3839	1370
737	3844	1364
738	3849	1359
739	3853	1353
740	3858	1348
741	3863	1343
742	3867	1337
743	3872	1332
744	3876	1326
745	3882	1321
746	3889	1317
747	3897	1313
748	3902	1307
749	3907	1302
750	3914	1297
751	3921	1293
752	3929	1288
753	3934	1283
754	3939	1278
755	3943	1272
756	3948	1267
757	3953	1262
758	3958	1256
759	3963	1251
760	3999	1256
761	4025	1257
762	4031	1252
763	4041	1248
764	4049	1243
765	4054	1238
766	4067	1235
767	4075	1231
768	4084	1226
769	4091	1222
770	4096	1216
771	4101	1211
772	4105	1205
773	4110	1200
774	4114	1194
775	4119	1189
776	4124	1183
777	4128	1178
778	4133	1172
779	4138	1167
780	4143	1161
781	4147	1156
782	4153	1151
783	4159	1145
784	4163	1140
785	4169	1135
786	4174	1129
787	4178	1124
788	4183	1118
789	4187	1113
790	4192	1107
791	4197	1102
792	4201	1096
793	4206	1091
794	4212	1086
795	4217	1080
796	4224	1076
797	4229	1070
798	4233	1065
799	4238	1059
800	4242	1054
801	4244	1047
802	4249	1042
803	4253	1036
804	4257	1031
805	4262	1025
806	4266	1020
807	4271	1014
808	4275	1009
809	4280	1004
810	4284	998
811	4289	993
812	4293	987
813	4297	981
814	4301	976
815	4307	971
816	4312	965
817	4316	960
818	4320	954
819	4325	949
820	4329	944
821	4335	938
822	4339	933
823	4344	928
824	4350	922
825	4355	917
826	4360	912
827	4365	906
828	4370	901
829	4374	896
830	4378	890
831	4385	885
832	4390	880
833	4394	874
834	4399	869
835	4403	863
836	4407	858
837	4412	853
838	4417	847
839	4422	842
840	4426	836
841	4431	831
842	4437	826
843	4439	820
844	4443	815
845	4448	809
846	4452	804
847	4457	798
848	4460	793
849	4465	787
850	4469	782
851	4473	777
852	4474	771
853	4478	765
854	4482	760
855	4487	754
856	4490	749
857	4495	743
858	4499	738
859	4503	733
860	4507	727
861	4512	722
862	4516	717
863	4520	711
864	4525	706
865	4530	701
866	4535	695
867	4539	690
868	4545	685
869	4550	679
870	4555	674
871	4560	669
872	4564	664
873	4569	658
874	4573	653
875	4579	648
876	4583	642
877	4588	637
878	4592	632
879	4597	626
880	4602	621
881	4606	616
882	4611	611
883	4615	605
884	4619	600
885	4623	594
886	4628	589
887	4633	584
888	4637	579
889	4643	573
890	4647	568
891	4651	563
892	4656	557
893	4661	552
894	4665	547
895	4669	542
896	4674	536
897	4678	531
898	4683	526
899	4687	520
900	4692	515
901	4696	510
902	4700	504
903	4705	499
904	4710	494
905	4714	489
906	4718	483
907	4724	478
908	4729	473
909	4734	468
910	4740	463
911	4745	457
912	4750	452
913	4754	447
914	4761	442
915	4765	437
916	4770	431
917	4775	426
918	4780	421
919	4784	416
920	4789	410
921	4794	405
922	4798	400
923	4803	395
924	4807	389
925	4811	384
926	4815	379
927	4819	373
928	4824	368
929	4828	363
930	4833	358
931	4837	352
932	4841	347
933	4846	342
934	4851	337
935	4855	331
936	4859	326
937	4863	321
938	4868	316
939	4872	311
940	4877	305
941	4881	300
942	4886	295
943	4891	290
944	4896	284
945	4901	279
946	4905	274
947	4910	269
948	4915	264
949	4921	259
950	4925	253
951	4930	248
952	4935	243
953	4940	238
954	4944	233
955	4949	227
956	4954	222
957	4959	217
958	4964	212
959	4969	207
960	4973	201
961	4979	196
962	4983	191
963	4987	186
964	4992	181
965	4997	175
966	5001	170
967	5005	165
968	5011	160
969	5016	155
970	5021	149
971	5025	144
972	5030	139
973	5034	134
974	5039	129
975	5043	124
976	5050	118
977	5054	113
978	5060	108
979	5064	103
980	5068	98
981	5073	92
982	5078	87
983	5083	82
984	5088	77
985	5094	72
986	5098	67
987	5104	61
988	5110	56
989	5116	51
990	5121	46
991	5126	41
992	5131	36
993	5136	31
994	5142	25
995	5147	20
996	5151	15
997	5157	10
998	5161	5
999	5166	0
