iter	RMSE
202	168303.5438
203	168140.926
204	167955.5845
205	167698.1137
206	167446.4942
207	167231.3057
208	167078.9331
209	166976.5616
210	166800.8814
211	166615.7509
212	166511.9724
213	166200.7172
214	165974.4171
215	165742.4963
216	165580.8524
217	165356.8477
218	165280.9244
219	164956.0176
220	164675.3917
221	164514.0494
222	164283.231
223	164108.1134
224	163910.2464
225	163744.4426
226	163565.0488
227	163407.6866
228	163220.0484
229	163173.2531
230	163060.195
231	162886.4995
232	162751.5768
233	162587.6509
234	162439.3004
235	162070.9035
236	161920.2206
237	161725.6807
238	161490.416
239	161140.5112
240	160938.7744
241	160795.8583
242	160602.8315
243	160458.3602
244	160292.9796
245	160068.0374
246	159965.4475
247	159948.9212
248	159841.7675
249	159768.3541
250	159684.7146
251	159489.8553
252	159331.9379
253	159121.3462
254	158926.3934
255	158670.73
256	158550.3714
257	158175.4871
258	158035.5174
259	157855.1306
260	157670.8184
261	157520.619
262	157279.8407
263	157080.077
264	156931.9614
265	156712.1336
266	156608.8604
267	156455.5447
268	156271.6093
269	156105.0801
270	155740.5206
271	155665.4978
272	155559.4355
273	155512.6083
274	155271.4425
275	155105.7721
276	154985.5353
277	154867.2592
278	154688.7178
279	154597.8766
280	154409.9055
281	154209.0822
282	154154.6247
283	153922.7756
284	153848.5116
285	153688.4293
286	153610.8286
287	153442.4794
288	153329.3637
289	153238.9443
290	153037.714
291	152917.6585
292	152764.0653
293	152580.2477
294	152477.9876
295	152302.7733
296	152152.481
297	152005.1994
298	151896.4278
299	151796.2927
300	151701.1273
301	151600.0619
302	151309.5181
303	151196.4184
304	151043.9677
305	150892.3018
306	150703.5282
307	150673.8121
308	150561.4905
309	150497.5066
310	150419.5726
311	150294.8587
312	150095.0564
313	149930.6331
314	149768.875
315	149671.4619
316	149550.3175
317	149498.5581
318	149333.575
319	149267.4531
320	149144.4656
321	149058.6522
322	148911.8711
323	148774.8592
324	148727.5491
325	148692.1299
326	148634.4735
327	148389.4783
328	148220.3674
329	148088.5596
330	147954.8113
331	147700.0868
332	147470.0723
333	147272.8844
334	147214.903
335	147143.5734
336	146979.5499
337	146926.3484
338	146722.352
339	146512.2042
340	146508.4479
341	146447.8791
342	146398.3183
343	146339.063
344	146200.4388
345	146113.4739
346	146024.4922
347	145952.4466
348	145831.0757
349	145757.43
350	145704.7003
351	145646.4244
352	145552.9682
353	145422.4669
354	145272.2563
355	145189.3829
356	145037.3112
357	144908.8524
358	144834.6495
359	144669.4889
360	144612.8758
361	144447.1252
362	144308.5625
363	144152.9347
364	144088.2489
365	143988.4562
366	143861.5744
367	143747.5962
368	143591.8339
369	143455.4878
370	143376.8301
371	143313.2496
372	143260.9763
373	143110.646
374	143021.5869
375	142904.3934
376	142775.9795
377	142614.794
378	142535.927
379	142435.5008
380	142346.0014
381	142212.7406
382	142060.34
383	141965.6496
384	141873.56
385	141796.5371
386	141701.6582
387	141614.1791
388	141499.2265
389	141358.7363
390	141245.6535
391	141076.6797
392	140908.9062
393	140793.4422
394	140671.7343
395	140638.5878
396	140542.8538
397	140418.5222
398	140335.7404
399	140271.597
400	140213.6811
401	140089.9033
402	139959.457
403	139759.1895
404	139681.8264
405	139525.2666
406	139455.6984
407	139402.8456
408	139371.1216
409	139275.3282
410	139194.7809
411	139068.0859
412	138956.8716
413	138857.3544
414	138844.5936
415	138764.5647
416	138634.8322
417	138598.2291
418	138464.9416
419	138430.8239
420	138345.3952
421	138246.9489
422	138184.6716
423	138111.7084
424	138008.3077
425	137880.4075
426	137808.4379
427	137600.1751
428	137555.2034
429	137454.8678
430	137384.2972
431	137313.2471
432	137190.4966
433	137117.5902
434	137005.1102
435	136948.1269
436	136915.7095
437	136811.5876
438	136712.9146
439	136634.3245
440	136522.3938
441	136495.224
442	136363.5248
443	136278.0471
444	136204.5947
445	136154.9261
446	136131.144
447	135968.2444
448	135854.0646
449	135760.9932
450	135687.9192
451	135594.102
452	135582.5602
453	135480.7017
454	135350.2277
455	135170.2577
456	135160.9084
457	135108.6243
458	135002.2043
459	134928.361
460	134892.7588
461	134734.8554
462	134650.8432
463	134586.1627
464	134500.0443
465	134355.5432
466	134189.2339
467	134067.9159
468	133926.9299
469	133772.6597
470	133699.6326
471	133690.6404
472	133621.2314
473	133593.6332
474	133560.9293
475	133543.2571
476	133479.1466
477	133395.8025
478	133292.9333
479	133225.8137
480	133103.4962
481	133041.8096
482	133025.2942
483	132928.8029
484	132810.4172
485	132681.6362
486	132632.2106
487	132595.9078
488	132554.5328
489	132541.7865
490	132540.0366
491	132449.5294
492	132372.5122
493	132309.9974
494	132226.4677
495	132170.724
496	132134.9923
497	132000.8619
498	131926.2124
499	131749.8043
500	131649.6728
501	131618.6225
502	131604.4113
503	131479.1702
504	131370.486
505	131301.0148
506	131182.1445
507	131145.4865
508	131073.4873
509	131030.9977
510	130917.9203
511	130876.0352
512	130776.3718
513	130672.7038
514	130609.6114
515	130553.9304
516	130463.1527
517	130380.1055
518	130325.5465
519	130164.5965
520	130145.5321
521	130112.8623
522	130073.1169
523	129989.318
524	129979.2243
525	129915.7391
526	129843.2243
527	129776.0048
528	129693.5734
529	129574.4294
530	129510.187
531	129421.691
532	129327.5327
533	129247.9194
534	129174.8766
535	129151.1026
536	129127.2066
537	129101.016
538	129053.7839
539	129042.9302
540	128996.7473
541	128965.5996
542	128861.8382
543	128802.1992
544	128730.9981
545	128658.2719
546	128540.3396
547	128513.0544
548	128470.9251
549	128417.5348
550	128357.87
551	128309.2344
552	128255.1381
553	128235.7344
554	128203.7343
555	128156.3695
556	127973.9875
557	127902.0401
558	127881.0271
559	127854.1934
560	127847.8921
561	127790.6075
562	127696.9629
563	127586.0435
564	127532.0169
565	127453.0571
566	127412.3627
567	127377.1826
568	127329.3793
569	127253.5948
570	127148.1899
571	127099.242
572	127034.6827
573	126976.9408
574	126885.9219
575	126865.3694
576	126829.1648
577	126773.1758
578	126712.9315
579	126611.684
580	126462.2908
581	126425.8286
582	126397.5119
583	126260.7097
584	126182.3621
585	126095.7058
586	126071.914
587	126031.4716
588	125868.3596
589	125849.6492
590	125796.9827
591	125718.0443
592	125626.1837
593	125556.6167
594	125453.0067
595	125411.8233
596	125381.0867
597	125238.7666
598	125128.6564
599	124991.6085
600	124958.0043
601	124863.4288
602	124816.2341
603	124724.6176
604	124699.062
605	124605.751
606	124511.3639
607	124403.3193
608	124226.5746
609	124118.7072
610	124118.7055
611	124007.9855
612	123978.2633
613	123890.4226
614	123812.543
615	123739.2752
616	123717.4882
617	123649.1096
618	123601.3884
619	123572.0086
620	123568.3133
621	123553.6815
622	123530.1847
623	123489.7256
624	123365.8829
625	123346.2235
626	123260.2132
627	123189.4168
628	123141.0274
629	123102.9047
630	123008.9832
631	122983.8192
632	122952.524
633	122876.3202
634	122760.5115
635	122750.9997
636	122667.4292
637	122635.5586
638	122570.9959
639	122543.7052
640	122465.5096
641	122431.2344
642	122413.2992
643	122360.5812
644	122344.9301
645	122307.5874
646	122245.4764
647	122110.9926
648	122000.3492
649	121986.14
650	121920.8665
651	121881.5258
652	121785.5175
653	121691.1322
654	121625.892
655	121514.7876
656	121476.0085
657	121398.7602
658	121339.6893
659	121270.9898
660	121173.0635
661	121147.5663
662	121105.1542
663	121014.1999
664	120997.4589
665	120972.7867
666	120945.4383
667	120907.8113
668	120881.7763
669	120820.7638
670	120803.8276
671	120719.2621
672	120661.4761
673	120633.1339
674	120554.0447
675	120444.6421
676	120318.0788
677	120192.0792
678	120118.6873
679	120067.769
680	119949.6216
681	119864.7613
682	119776.5246
683	119774.6065
684	119743.3894
685	119638.6154
686	119585.7502
687	119474.437
688	119427.7099
689	119366.7484
690	119295.7488
691	119262.3765
692	119224.5495
693	119138.712
694	119057.704
695	118946.47
696	118873.9137
697	118774.0545
698	118687.9226
699	118623.4546
700	118604.7626
701	118500.0739
702	118471.0862
703	118376.6938
704	118262.6633
705	118244.6428
706	118188.6227
707	118053.4092
708	117939.0356
709	117910.2289
710	117802.7287
711	117685.9186
712	117608.7705
713	117585.4311
714	117459.7818
715	117434.0489
716	117380.2627
717	117330.8508
718	117274.7902
719	117227.2172
720	117116.0908
721	116996.3877
722	116966.2034
723	116926.361
724	116881.493
725	116804.0127
726	116663.3566
727	116607.9851
728	116583.8078
729	116531.7018
730	116502.8024
731	116410.793
732	116366.0239
733	116327.2926
734	116280.5922
735	116262.7982
736	116251.1718
737	116201.9996
738	116149.3406
739	116122.3239
740	116049.5506
741	115989.6699
742	115925.713
743	115815.24
744	115764.3051
745	115704.0176
746	115613.9738
747	115518.0195
748	115353.9455
749	115302.9111
750	115240.9382
751	115193.0305
752	115051.1283
753	114965.1841
754	114829.0354
755	114695.7961
756	114512.0329
757	114449.2827
758	114386.7371
759	114296.3596
760	114247.0448
761	114234.2848
762	114192.0796
763	114089.9533
764	114062.42
765	113960.9851
766	113923.344
767	113870.9173
768	113767.076
769	113688.1875
770	113633.7211
771	113590.2538
772	113545.3901
773	113532.7459
774	113453.3481
775	113350.6877
776	113305.2207
777	113285.6209
778	113248.5399
779	113175.4584
780	113082.0413
781	113020.5265
782	112990.0527
783	112947.1857
784	112848.5259
785	112707.4057
786	112644.4451
787	112556.4826
788	112494.0225
789	112455.3866
790	112386.944
791	112363.3889
792	112298.3008
793	112254.2044
794	112180.4719
795	112080.2341
796	112007.9738
797	111956.2907
798	111874.16
799	111837.5411
800	111772.6963
801	111767.8159
802	111668.6008
803	111508.5764
804	111457.3849
805	111370.7925
806	111301.7984
807	111176.9936
808	111120.2447
809	111030.4862
810	110954.0124
811	110886.4008
812	110802.0645
813	110735.8996
814	110631.2394
815	110567.8492
816	110433.8705
817	110327.3043
818	110283.931
819	110228.7168
820	110146.7678
821	110080.7299
822	109953.5792
823	109879.7416
824	109826.6858
825	109784.7428
826	109680.2965
827	109625.8402
828	109523.9442
829	109424.6007
830	109364.7335
831	109327.6179
832	109248.5843
833	109153.5316
834	109111.3004
835	109057.5797
836	108947.7526
837	108802.692
838	108694.4126
839	108639.5772
840	108541.7139
841	108480.2507
842	108449.1197
843	108447.2569
844	108361.579
845	108290.5173
846	108212.179
847	108092.3395
848	108001.8761
849	107910.795
850	107869.9949
851	107698.276
852	107691.0481
853	107600.6823
854	107569.1207
855	107495.0917
856	107429.0037
857	107379.6435
858	107318.3442
859	107217.0802
860	107156.0626
861	107032.2323
862	107000.7272
863	106859.5243
864	106715.5053
865	106548.0938
866	106430.5757
867	106352.7949
868	106182.1769
869	106116.9053
870	106053.5138
871	106035.1566
872	105958.5948
873	105878.3416
874	105786.9338
875	105666.9271
876	105627.2656
877	105566.2629
878	105490.1052
879	105444.0254
880	105401.6833
881	105323.5064
882	105228.1035
883	105185.951
884	105078.1938
885	105037.1353
886	104962.6879
887	104905.7239
888	104837.2284
889	104755.7656
890	104682.7801
891	104618.7294
892	104516.9335
893	104376.6842
894	104202.8906
895	104132.9197
896	104053.5732
897	103975.1718
898	103822.7503
899	103661.9129
900	103535.5634
901	103477.1432
902	103429.549
903	103366.8907
904	103302.4567
905	103168.6125
906	103109.4009
907	102993.8238
908	102892.3179
909	102754.8666
910	102708.9561
911	102550.4344
912	102485.8138
913	102424.4172
914	102348.7806
915	102281.0646
916	102170.107
917	102092.2447
918	101998.5025
919	101939.8681
920	101846.9153
921	101706.0331
922	101607.8562
923	101547.3434
924	101421.2525
925	101323.3729
926	101279.369
927	101155.8168
928	101030.6398
929	100947.6535
930	100908.7046
931	100800.3929
932	100714.6469
933	100631.0835
934	100534.8003
935	100469.9856
936	100410.1605
937	100331.2179
938	100188.8748
939	100080.8203
940	100035.6447
941	99973.4821
942	99845.9444
943	99802.75221
944	99745.75251
945	99696.23446
946	99647.24171
947	99490.44066
948	99451.01449
949	99350.88896
950	99219.51667
951	99125.62473
952	99063.11854
953	98973.00795
954	98905.49717
955	98837.15687
956	98756.97002
957	98661.11984
958	98537.30217
959	98472.4303
960	98408.91307
961	98342.50254
962	98241.38222
963	98167.88373
964	98069.98258
965	98002.70726
966	97954.74405
967	97905.67182
968	97833.53539
969	97734.6278
970	97629.96354
971	97550.15295
972	97458.46221
973	97390.4041
974	97320.4872
975	97248.40961
976	97186.56332
977	97109.43003
978	96993.87502
979	96888.39375
980	96777.82043
981	96687.36453
982	96620.5154
983	96507.79844
984	96436.60534
985	96319.30953
986	96248.43907
987	96183.27648
988	96144.61105
989	96044.954
990	95988.24658
991	95949.02009
992	95900.20638
993	95806.16182
994	95739.64308
995	95650.7954
996	95594.41384
997	95506.44601
998	95455.94249
999	95413.8389
