title,release_date,genre,duration,director,producers,cast,age_limit,nationality,distributor,box_office_title,box_office_date,box_office_first_week,box_office_second_week,press_eval,viewers_eval,views
La Bella Gente,16 février 2011,Drame,1h 38min,Ivano De Matteo,Valentina Ferlan,"Monica Guerritore, Antonio Catania, Victoria Larchenko",None,Italie,Bellissima Films,Box Office France,"['16 au 23 février 2011', '23 février au 2 mars 2011']",10 872,5 708,"3,7","3,4",136694
Mary Shelley,8 août 2018,"Drame, Historique",2h 00min,Haifaa Al Mansour,"Emma Jensen, Haifaa Al Mansour","Elle Fanning, Douglas Booth, Tom Sturridge",None,Grande-Bretagne,Pyramide Distribution,Box Office France,"['08 au 15 août 2018', '15 au 22 août 2018']",38 287,22 938,"2,8","3,5",303683
Dead Silence,None,"Epouvante-horreur, Thriller",1h 31min,James Wan,"James Wan, Leigh Whannell","Ryan Kwanten, Donnie Wahlberg, Bob Gunton",Interdit aux moins de 12 ans,U.S.A.,Paramount Pictures France,Box Office US,"['16 au 19 mars 2007', '23 au 26 mars 2007']",7 842 725,3 440 415,"2,5","3,0",133717
Joyeuse retraite !,20 novembre 2019,Comédie,1h 37min,Fabrice Bracq,Guillaume Clicquot,"Thierry Lhermitte, Michèle Laroque, Nicole Ferroni",None,France,SND,Box Office France,"['20 au 27 novembre 2019', '27 novembre au 4 décembre 2019']",477 116,287 427,"2,8","2,1",960445
Saint-Jacques... La Mecque,12 octobre 2005,"Comédie, Drame",1h 52min,Coline Serreau,Coline Serreau,"Muriel Robin, Artus de Penguern, Jean-Pierre Darroussin",None,France,UGC,Box Office France,"['12 au 19 octobre 2005', '19 au 26 octobre 2005']",238 859,177 598,"2,5","2,5",107705
The Fighter,9 mars 2011,"Biopic, Drame",1h 53min,David O. Russell,"Scott Silver, Eric Johnson (III)","Mark Wahlberg, Christian Bale, Amy Adams",None,U.S.A.,Metropolitan FilmExport,Box Office France,"['09 au 16 mars 2011', '16 au 23 mars 2011']",137 534,94 757,"3,9","4,1",2472418
Bis,18 février 2015,Comédie,1h 47min,Dominique Farrugia,"Dominique Farrugia, Nans Delgado","Franck Dubosc, Kad Merad, Alexandra Lamy",None,France,EuropaCorp Distribution,Box Office France,"['18 au 25 février 2015', '25 février au 4 mars 2015']",602 462,385 213,"3,2","2,7",1220370
Habemus Papam,7 septembre 2011,Comédie dramatique,1h 42min,Nanni Moretti,"Federica Pontremoli, Francesco Piccolo","Michel Piccoli, Nanni Moretti, Jerzy Stuhr",None,France,Le Pacte,Box Office France,"['07 au 14 septembre 2011', '14 au 21 septembre 2011']",195 066,154 967,"4,0","3,5",906502
Crank,14 mars 2007,"Action, Thriller",1h 23min,Mark Neveldine,"Brian Taylor, Mark Neveldine, Brian Taylor","Jason Statham, Amy Smart, Jose Pablo Cantillo",Interdit aux moins de 12 ans,U.S.A.,TFM Distribution,Box Office France,"['14 au 21 mars 2007', '21 au 28 mars 2007']",127 061,46 677,"2,8","2,8",346372
La Revanche des Crevettes Pailletées,13 avril 2022,Comédie dramatique,1h 53min,Cédric Le Gallo,"Maxime Govare, Cédric Le Gallo, Maxime Govare","Nicolas Gob, Michaël Abiteboul, Bilal El Atreby",None,France,Universal Pictures International France,Box Office France,"['13 au 20 avril 2022', '20 au 27 avril 2022']",69 481,44 380,"3,3","3,6",155724
Red Eye,26 octobre 2005,"Thriller, Action",1h 30min,Wes Craven,Carl Ellsworth,"Rachel McAdams, Cillian Murphy, Brian Cox",Interdit aux moins de 12 ans,U.S.A.,United International Pictures (UIP),Box Office France,"['26 octobre au 2 novembre 2005', '02 au 9 novembre 2005']",144 389,40 953,"2,8","2,4",120122
Go Fast,1 octobre 2008,"Policier, Action",1h 30min,Olivier Van Hoofstadt,"Franck Parker, Emmanuel Prévost","Roschdy Zem, Olivier Gourmet, Jean-Michel Fête",None,France,EuropaCorp Distribution,Box Office France,"['01 au 8 octobre 2008', '08 au 15 octobre 2008']",342 150,164 516,"3,0","2,8",721219
Entre les vagues,16 mars 2022,Drame,1h 40min,Anaïs Volpé,Anaïs Volpé,"Souheila Yacoub, Déborah Lukumuena, Matthieu Longatte",None,France,KMBO,Box Office France,"['16 au 23 mars 2022', '23 au 30 mars 2022']",10 080,2 753,"3,2","3,7",149265
Take Shelter,4 janvier 2012,Drame,2h 01min,Jeff Nichols,Jeff Nichols,"Michael Shannon, Jessica Chastain, Tova Stewart","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,Ad Vitam,Box Office France,"['04 au 11 janvier 2012', '11 au 18 janvier 2012']",89 421,44 872,"4,6","3,9",868144
Savages,26 septembre 2012,"Drame, Thriller",2h 10min,Oliver Stone,"Shane Salerno, Don Winslow","Taylor Kitsch, Aaron Taylor-Johnson, Blake Lively",Interdit aux moins de 12 ans,U.S.A.,Pathé,Box Office France,"['26 septembre au 3 octobre 2012', '03 au 10 octobre 2012']",216 929,117 783,"3,0","3,4",4062671
The Circle,12 juillet 2017,"Thriller, Drame, Science fiction",1h 50min,James Ponsoldt,James Ponsoldt,"Emma Watson, Tom Hanks, John Boyega",None,U.S.A.,Mars Films,Box Office France,"['12 au 19 juillet 2017', '19 au 26 juillet 2017']",154 698,109 832,"2,6","2,6",601416
Camping 3,29 juin 2016,Comédie,1h 45min,Fabien Onteniente,"Fabien Onteniente, Franck Dubosc","Franck Dubosc, Claude Brasseur, Mylène Demongeot",None,France,Pathé,Box Office France,"['29 juin au 6 juillet 2016', '06 au 13 juillet 2016']",1 382 023,566 207,"2,6","2,0",898034
San Andreas,27 mai 2015,"Action, Aventure, Thriller",1h 54min,Brad Peyton,Carlton Cuse,"Dwayne Johnson, Carla Gugino, Alexandra Daddario",None,U.S.A.,Warner Bros. France,Box Office France,"['27 mai au 3 juin 2015', '03 au 10 juin 2015']",471 962,250 779,"2,8","2,9",550011
Les Grands Esprits,13 septembre 2017,Comédie dramatique,1h 46min,Olivier Ayache-Vidal,Olivier Ayache-Vidal,"Denis Podalydès, Léa Drucker, Zineb Triki",None,France,Bac Films,Box Office France,"['13 au 20 septembre 2017', '20 au 27 septembre 2017']",104 837,60 750,"2,9","3,8",417659
Bande de filles,22 octobre 2014,Drame,1h 52min,Céline Sciamma,Céline Sciamma,"Karidja Touré, Assa Sylla, Lindsay Karamoh",None,France,Pyramide Distribution,Box Office France,"['22 au 29 octobre 2014', '29 octobre au 5 novembre 2014']",140 723,70 312,"3,7","2,9",534786
Hercules,27 août 2014,"Action, Fantastique, Péplum",1h 38min,Brett Ratner,"Evan Spiliotopoulos, Ryan J. Condal","Dwayne Johnson, Rufus Sewell, Aksel Hennie","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,Paramount Pictures France,Box Office France,"['27 août au 3 septembre 2014', '03 au 10 septembre 2014']",447 389,160 098,"3,0","2,4",1231224
Notre jour viendra,15 septembre 2010,Comédie dramatique,1h 35min,Romain Gavras,"Romain Gavras, Karim Boukercha","Vincent Cassel, Olivier Barthelemy, Justine Lerooy",Interdit aux moins de 12 ans,France,UGC Distribution,Box Office France,"['15 au 22 septembre 2010', '22 au 29 septembre 2010']",20 368,10 437,"1,9","2,9",459908
Les Profs 2,1 juillet 2015,Comédie,1h 32min,Pierre-François Martin-Laval,"Pierre-François Martin-Laval, Mathias Gavarry","Kev Adams, Isabelle Nanty, Didier Bourdon",à partir de 10 ans (children's film),France,UGC Distribution,Box Office France,"['01 au 8 juillet 2015', '08 au 15 juillet 2015']",1 180 383,640 176,"2,3","1,9",2051394
Le Frère du guerrier,13 mars 2002,"Drame, Aventure, Historique",1h 55min,Pierre Jolivet,"Pierre Jolivet, Simon Michaël","Vincent Lindon, Mélanie Doutey, Guillaume Canet",None,France,Bac Films,Box Office France,['13 au 20 mars 2002'],204 270,None,"3,0","2,4",10879
Inséparables,4 septembre 2019,Comédie,1h 34min,Varante Soudjian,Varante Soudjian,"Ahmed Sylla, Alban Ivanov, Judith El Zein",None,France,SND,Box Office France,"['04 au 11 septembre 2019', '11 au 18 septembre 2019']",311 918,192 599,"2,5","3,2",787559
Une Rencontre,23 avril 2014,"Romance, Drame",1h 22min,Lisa Azuelos,Lisa Azuelos,"Sophie Marceau, François Cluzet, Lisa Azuelos",None,France,Pathé,Box Office France,"['23 au 30 avril 2014', '30 avril au 7 mai 2014']",236 994,114 779,"2,7","2,8",683030
Insoupçonnable,4 août 2010,Thriller,1h 35min,Gabriel Le Bomin,"Gabriel Le Bomin, Olivier Gorce","Charles Berling, Laura Smet, Marc-André Grondin",None,France,StudioCanal,Box Office France,"['04 au 11 août 2010', '11 au 18 août 2010']",80 608,36 212,"2,3","1,7",494877
Star Wars: Episode II - Attack of the Clones,17 mai 2002,"Science fiction, Aventure, Fantastique",2h 22min,George Lucas,"George Lucas, Jonathan Hales","Ewan McGregor, Natalie Portman, Hayden Christensen",à partir de 8 ans (children's film),U.S.A.,UFD,Box Office France,"['15 au 22 mai 2002', '22 au 29 mai 2002']",2 002 398,1 368 194,"3,5","3,9",126790
School of Rock,24 mars 2004,"Comédie, Comédie musicale",1h 48min,Richard Linklater,Mike White,"Jack Black, Mike White, Joan Cusack",None,U.S.A.,United International Pictures (UIP),Box Office France,"['24 au 31 mars 2004', '03 au 6 octobre 2003']",116 366,None,"3,4","3,0",53271
Ralph Breaks the Internet,13 février 2019,"Animation, Aventure",1h 53min,Rich Moore,"Phil Johnston, Phil Johnston, Pamela Ribon","François-Xavier Demaison, John C. Reilly, Dorothée Pousséo",à partir de 8 ans (children's film),U.S.A.,The Walt Disney Company France,Box Office France,"['13 au 20 février 2019', '20 au 27 février 2019']",891 596,542 890,"3,1","3,7",676206
Camille,16 octobre 2019,"Drame, Biopic",1h 30min,Boris Lojkine,"Boris Lojkine, Bojina Panayotova","Nina Meurisse, Fiacre Bindala, Bruno Todeschini","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",France,Pyramide Distribution,Box Office France,"['16 au 23 octobre 2019', '23 au 30 octobre 2019']",22 694,13 406,"3,7","4,0",177851
Johnny English,23 juillet 2003,"Comédie, Aventure, Action",1h 30min,Peter Howitt,"Neal Purvis, Robert Wade","Rowan Atkinson, Natalie Imbruglia, John Malkovich",à partir de 10 ans (children's film),Grande-Bretagne,Mars Distribution,Box Office France,"['23 au 30 juillet 2003', '30 juillet au 6 août 2003']",428 078,224 097,"3,1","2,4",68156
Pain & Gain,11 septembre 2013,"Action, Drame, Comédie",2h 09min,Michael Bay,"Christopher Markus, Stephen McFeely","Mark Wahlberg, Dwayne Johnson, Ed Harris",Interdit aux moins de 12 ans,U.S.A.,Paramount Pictures France,Box Office France,"['11 au 18 septembre 2013', '18 au 25 septembre 2013']",192 897,83 672,"3,1","3,3",618935
Gangster Squad,6 février 2013,"Action, Drame, Policier, Romance",1h 53min,Ruben Fleischer,Will Beall,"Josh Brolin, Ryan Gosling, Sean Penn",Interdit aux moins de 12 ans,U.S.A.,Warner Bros. France,Box Office France,"['06 au 13 février 2013', '13 au 20 février 2013']",305 704,192 269,"2,4","3,6",1000341
RAID Dingue,1 février 2017,"Action, Comédie",1h 51min,Dany Boon,"Dany Boon, Sarah Kaminsky","Alice Pol, Dany Boon, Michel Blanc",None,France,Pathé,Box Office France,"['01 au 8 février 2017', '08 au 15 février 2017']",1 468 155,1 183 009,"2,8","2,5",1073821
Mince alors !,28 mars 2012,Comédie,1h 41min,Charlotte De Turckheim,"Charlotte De Turckheim, Gladys Marciano","Lola Dewaere, Victoria Abril, Catherine Hosmalin",None,France,UGC Distribution,Box Office France,"['28 mars au 4 avril 2012', '04 au 11 avril 2012']",365 886,334 317,"2,6","2,8",3173887
Jours sauvages,19 avril 2023,"Drame, Romance",1h 20min,David Lanzmann,"David Lanzmann, Mikaël Fitoussi","Alain-Fabien Delon, Redouanne Harjane, Lola Aubrière","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",France,21films,Box Office France,"['19 au 26 avril 2023', '26 avril au 3 mai 2023']",183,16,"2,1","2,7",84234
Fack ju Göhte,12 novembre 2014,Comédie,1h 58min,Bora Dagtekin,Bora Dagtekin,"Elyas M'Barek, Karoline Herfurth, Katja Riemann",None,Allemagne,Océan Films,Box Office France,"['12 au 19 novembre 2014', '19 au 26 novembre 2014']",25 470,14 586,"2,4","3,5",357547
Starbuck,27 juin 2012,Comédie,1h 49min,Ken Scott,"Ken Scott, Martin Petit","Patrick Huard, Julie LeBreton, Antoine Bertrand",None,Canada,Diaphana Distribution,Box Office France,"['27 juin au 4 juillet 2012', '04 au 11 juillet 2012']",101 512,65 105,"3,4","4,2",1765442
La Vérité si je mens ! 3,1 février 2012,Comédie,1h 59min,Thomas Gilou,"Gérard Bitton, Michel Munz","Richard Anconina, José Garcia, Bruno Solo",None,France,Mars Films,Box Office France,"['01 au 8 février 2012', '08 au 15 février 2012']",1 944 022,1 059 930,"2,2","2,5",5892380
Ice Age,26 juin 2002,"Comédie, Animation",1h 21min,Chris Wedge,"Carlos Saldanha, Michael J. Wilson, Michael Berg","Gérard Lanvin, Ray Romano, Elie Semoun",à partir de 6 ans (children's film),U.S.A.,UFD,Box Office France,"['26 juin au 3 juillet 2002', '03 au 10 juillet 2002']",617 707,591 317,"4,1","4,2",465914
Dawn of the Dead,30 juin 2004,Epouvante-horreur,1h 40min,Zack Snyder,"George A. Romero, James Gunn","Sarah Polley, Ving Rhames, Jake Weber",Interdit aux moins de 16 ans,U.S.A.,Metropolitan FilmExport,Box Office France,"['30 juin au 7 juillet 2004', '07 au 14 juillet 2004']",194 031,138 675,"3,9","3,7",646846
Renegades,29 août 2018,"Thriller, Action",1h 46min,Steven Quale,"Richard Wenk, Luc Besson","J.K. Simmons, Sullivan Stapleton, Clemens Schick",None,France,EuropaCorp Distribution,Box Office France,"['29 août au 5 septembre 2018', '05 au 12 septembre 2018']",34 416,12 674,"2,7",--,293395
Prince of Persia: The Sands of Time,26 mai 2010,"Aventure, Action",2h 06min,Mike Newell,"Doug Miro, Carlo Bernard","Jake Gyllenhaal, Gemma Arterton, Ben Kingsley",à partir de 8 ans (children's film),U.S.A.,The Walt Disney Company France,Box Office France,"['26 mai au 2 juin 2010', '02 au 9 juin 2010']",815 255,433 089,"2,6","3,1",3174539
Reprise en main,19 octobre 2022,"Comédie dramatique, Drame, Comédie",1h 47min,Gilles Perret,"Gilles Perret, Marion Richoux","Pierre Deladonchamps, Laetitia Dosch, Grégory Montel",None,France,Jour2fête,Box Office France,"['19 au 26 octobre 2022', '26 octobre au 2 novembre 2022']",39 242,20 396,"3,0","3,9",98869
Heaven Is For Real,None,Drame,1h 40min,Randall Wallace,"Randall Wallace, Chris Parker (III)","Kelly Reilly, Greg Kinnear, Connor Corum",None,U.S.A.,,Box Office US,"['18 au 21 avril 2014', '25 au 28 avril 2014']",21 500 000,13 800 000,"3,1",--,92486
Underworld,24 septembre 2003,"Fantastique, Romance, Action",2h 01min,Len Wiseman,"Danny McBride (II), Kevin Grevioux","Kate Beckinsale, Scott Speedman, Bill Nighy",Interdit aux moins de 12 ans,U.S.A.,SND,Box Office France,"['24 septembre au 1 octobre 2003', '01 au 8 octobre 2003']",311 831,151 209,"2,3","3,2",230420
Proxima,27 novembre 2019,"Drame, Action",1h 47min,Alice Winocour,"Alice Winocour, Jean-Stéphane Bron","Eva Green, Zélie Boulant-Lemesle, Matt Dillon",None,France,Pathé,Box Office France,"['27 novembre au 4 décembre 2019', '04 au 11 décembre 2019']",51 977,26 146,"3,9","3,6",397659
The Twilight Saga: New Moon,18 novembre 2009,"Romance, Fantastique, Aventure",2h 10min,Chris Weitz,Melissa Rosenberg,"Kristen Stewart, Robert Pattinson, Taylor Lautner",None,U.S.A.,SND,Box Office France,"['18 au 25 novembre 2009', '25 novembre au 2 décembre 2009']",2 318 559,967 840,"2,6","2,2",2039634
Place Publique,18 avril 2018,Comédie,1h 39min,Agnès Jaoui,"Agnès Jaoui, Jean-Pierre Bacri","Agnès Jaoui, Jean-Pierre Bacri, Léa Drucker",None,France,Le Pacte,Box Office France,"['18 au 25 avril 2018', '25 avril au 2 mai 2018']",182 458,193 620,"3,0","2,9",727788
The Hulk,2 juillet 2003,"Fantastique, Action",2h 20min,Ang Lee,"James Schamus, John Turman","Lou Ferrigno, Stan Lee, Eric Bana",None,U.S.A.,United International Pictures (UIP),Box Office France,"['02 au 9 juillet 2003', '09 au 16 juillet 2003']",815 461,329 249,"3,2","2,1",154820
Revenge,7 février 2018,"Thriller, Action",1h 53min,Coralie Fargeat,Coralie Fargeat,"Matilda Lutz, Kevin Janssens, Vincent Colombe",Interdit aux moins de 12 ans avec avertissement,France,Rezo Films,Box Office France,"['07 au 14 février 2018', '14 au 21 février 2018']",23 283,10 472,"3,1","2,7",173702
The Hobbit: The Battle of the Five Armies,10 décembre 2014,"Action, Fantastique, Aventure",2h 24min,Peter Jackson,"Philippa Boyens, Peter Jackson","Martin Freeman, Richard Armitage, Evangeline Lilly",None,U.S.A.,Warner Bros. France,Box Office France,"['10 au 17 décembre 2014', '17 au 24 décembre 2014']",1 789 196,1 229 228,"3,6","4,0",1204034
Made in Dagenham,9 mars 2011,"Drame, Historique, Comédie",1h 53min,Nigel Cole,William Ivory,"Sally Hawkins, Bob Hoskins, Rosamund Pike",None,Grande-Bretagne,ARP Sélection,Box Office France,"['09 au 16 mars 2011', '16 au 23 mars 2011']",82 602,57 240,"3,7","3,8",514904
The Current War,None,"Drame, Historique, Biopic",1h 44min,Alfonso Gomez-Rejon,Michael Mitnick,"Benedict Cumberbatch, Michael Shannon, Nicholas Hoult",None,U.S.A.,StudioCanal,Box Office US,['25 au 28 octobre 2019'],2 633 717,None,"3,6",--,40874
Chef,29 octobre 2014,"Comédie, Drame",1h 54min,Jon Favreau,Jon Favreau,"Jon Favreau, John Leguizamo, Sofia Vergara",None,U.S.A.,Sony Pictures Releasing France,Box Office France,"['29 octobre au 5 novembre 2014', '05 au 12 novembre 2014']",13 798,3 026,"2,8","3,6",305102
Vozvrashcheniye,26 novembre 2003,Drame,1h 46min,Andrey Zvyagintsev,"Vladimir Moiseenko, Alexandre Novototski","Vladimir Garine, Ivan Dobronravov, Konstantin Lavronenko",None,Russie,Océan Films,Box Office France,['26 novembre au 3 décembre 2003'],42 043,None,"4,2","3,8",13459
Entre ses mains,21 septembre 2005,"Thriller, Drame",1h 30min,Anne Fontaine,"Anne Fontaine, Julien Boivent","Isabelle Carré, Benoît Poelvoorde, Jonathan Zaccaï",None,France,Pathé,Box Office France,"['21 au 28 septembre 2005', '28 septembre au 5 octobre 2005']",191 616,125 970,"3,5","2,9",104334
Oculus,None,Epouvante-horreur,1h 40min,Mike Flanagan,"Mike Flanagan, Jeff Howard (III)","Karen Gillan, Brenton Thwaites, Katee Sackhoff",None,U.S.A.,TF1 Vidéo,Box Office US,"['11 au 14 avril 2014', '18 au 21 avril 2014']",12 000 000,5 202 000,"3,5",--,214659
The Choice,None,"Romance, Drame",1h 47min,Ross Katz,Bryan Sipe,"Teresa Palmer, Benjamin Walker, Alexandra Daddario",None,U.S.A.,Netflix France,Box Office US,['12 au 15 février 2016'],5 220 939,None,"3,7",--,180058
The Croods,10 avril 2013,"Animation, Aventure, Comédie, Famille",1h 38min,Chris Sanders,"Kirk DeMicco, Kirk DeMicco, Chris Sanders","Nicolas Cage, Kev Adams, Ryan Reynolds",à partir de 6 ans (children's film),U.S.A.,Twentieth Century Fox France,Box Office France,"['10 au 17 avril 2013', '17 au 24 avril 2013']",500 528,501 465,"3,8","3,9",1336289
Les Fantasmes,18 août 2021,"Comédie, Romance",1h 41min,Stéphane Foenkinos,"David Foenkinos, Stéphane Foenkinos, David Foenkinos","Karin Viard, Jean-Paul Rouve, Ramzy Bedia",None,France,Gaumont Distribution,Box Office France,"['18 au 25 août 2021', '25 août au 1 septembre 2021']",60 910,28 280,"2,5","2,0",272339
The Dead Don't Die,14 mai 2019,"Comédie, Epouvante-horreur",1h 45min,Jim Jarmusch,Jim Jarmusch,"Bill Murray, Adam Driver, Tilda Swinton",Interdit aux moins de 12 ans,U.S.A.,Universal Pictures International France,Box Office France,"['15 au 22 mai 2019', '22 au 29 mai 2019']",186 806,70 547,"3,1","2,1",355183
Ong-Bak,7 avril 2004,"Arts Martiaux, Action",1h 45min,Prachya Pinkaew,"Suphachai Sittiaumponpan, Sukanya Vongsthapat","Tony Jaa, Petthai Wongkhamlao, Pumwaree Yodkamol",Interdit aux moins de 12 ans,Thaïlande,EuropaCorp Distribution,Box Office France,"['07 au 14 avril 2004', '14 au 21 avril 2004']",440 495,259 562,"3,4","2,7",139948
Safe Haven,None,"Romance, Drame",1h 55min,Lasse Hallström,"Leslie Bohem, Dana Stevens","Julianne Hough, Josh Duhamel, Cobie Smulders",None,U.S.A.,Metropolitan FilmExport,Box Office US,"['15 au 18 février 2013', '22 au 25 février 2013']",25 170 000,10 454 713,"3,8",--,156176
Carrie,4 décembre 2013,Epouvante-horreur,1h 40min,Kimberly Peirce,"Roberto Aguirre-Sacasa, Lawrence D. Cohen","Chloë Grace Moretz, Julianne Moore, Judy Greer",Interdit aux moins de 12 ans,U.S.A.,Sony Pictures Releasing France,Box Office France,"['04 au 11 décembre 2013', '11 au 18 décembre 2013']",113 256,60 291,"1,5","2,6",630489
Meitantei Conan : Halloween no Hanayome,18 mai 2022,"Animation, Policier, Action, Comédie, Drame",1h 50min,Susumu Mitsunaka,Okura Takahiro,"Minami Takayama, Wakana Yamazaki,  Chafûrin",à partir de 10 ans (children's film),Japon,Eurozoom,Box Office France,"['18 au 25 mai 2022', '25 mai au 1 juin 2022']",18 200,9 008,"3,4","3,8",8887
Bride Wars,11 février 2009,"Comédie, Romance",1h 40min,Gary Winick,"Greg Depaul, Casey Wilson","Kate Hudson, Anne Hathaway, Bryan Greenberg",None,U.S.A.,Twentieth Century Fox France,Box Office France,"['04 au 11 février 2009', '11 au 18 février 2009']",1 677,144 059,"1,9","2,2",398161
Champagne !,8 juin 2022,Comédie,1h 43min,Nicolas Vanier,Xavier Nemo,"Elsa Zylberstein, François-Xavier Demaison, Stéphane De Groodt",None,France,SND,Box Office France,"['20 au 27 avril 2022', '27 avril au 4 mai 2022']",1 547,924,"3,0","2,2",168762
Gold,19 avril 2017,"Drame, Aventure, Thriller",2h 01min,Stephen Gaghan,"Patrick Massett, John Zinman","Matthew McConaughey, Bryce Dallas Howard, Édgar Ramírez",None,U.S.A.,StudioCanal,Box Office France,"['19 au 26 avril 2017', '26 avril au 3 mai 2017']",45 363,19 850,"2,6","3,6",435135
National Lampoon's Van Wilder,9 juillet 2003,"Comédie, Romance",1h 32min,Walt Becker,"Brent Goldberg, David T. Wagner","Ryan Reynolds, Tara Reid, Tom Everett Scott",None,U.S.A.,Metropolitan FilmExport,Box Office France,"['09 au 16 juillet 2003', '16 au 23 juillet 2003']",79 533,61 971,"2,1","2,5",75666
25th hour,12 mars 2003,Drame,2h 14min,Spike Lee,David Benioff,"Edward Norton, Philip Seymour Hoffman, Barry Pepper",None,U.S.A.,1 nomination,Box Office France,"['12 au 19 mars 2003', '19 au 26 mars 2003']",223 842,68 326,"3,9","4,0",67983
How to Lose a Guy in 10 Days,11 juin 2003,"Romance, Comédie",1h 50min,Donald Petrie,"Kristen Buckley, Brian Regan","Kate Hudson, Matthew McConaughey, Adam Goldberg",None,U.S.A.,United International Pictures (UIP),Box Office France,"['11 au 18 juin 2003', '18 au 25 juin 2003']",96 861,166 489,"2,6","2,7",113194
Adrift,4 juillet 2018,"Drame, Romance, Aventure",1h 38min,Baltasar Kormákur,"Aaron Kandell, Jordan Kandell","Shailene Woodley, Sam Claflin, Jeffrey Thomas",None,U.S.A.,Metropolitan FilmExport,Box Office France,"['04 au 11 juillet 2018', '11 au 18 juillet 2018']",91 395,32 639,"2,8","3,6",233987
The Purge: Election Year,20 juillet 2016,"Thriller, Epouvante-horreur",1h 49min,James DeMonaco,James DeMonaco,"Frank Grillo, Elizabeth Mitchell, Mykelti Williamson",Interdit aux moins de 12 ans avec avertissement,U.S.A.,Universal Pictures International France,Box Office France,"['20 au 27 juillet 2016', '27 juillet au 3 août 2016']",311 723,174 633,"2,6","3,1",441432
Oz: The Great and Powerful,13 mars 2013,"Aventure, Fantastique, Action",2h 07min,Sam Raimi,"Mitchell Kapner, David Lindsay-Abaire","James Franco, Mila Kunis, Rachel Weisz",à partir de 8 ans (children's film),U.S.A.,The Walt Disney Company France,Box Office France,"['13 au 20 mars 2013', '20 au 27 mars 2013']",788 437,342 864,"3,5","3,2",1119242
Les Vieux fourneaux,22 août 2018,Comédie,1h 29min,Christophe Duthuron,Wilfrid Lupano,"Pierre Richard, Eddy Mitchell, Roland Giraud",None,France,Gaumont Distribution,Box Office France,"['22 au 29 août 2018', '29 août au 5 septembre 2018']",337 139,212 261,"3,0","3,1",726893
The Tall Man,5 septembre 2012,"Thriller, Epouvante-horreur",1h 45min,Pascal Laugier,Pascal Laugier,"Jessica Biel, Jodelle Ferland, Stephen McHattie",Interdit aux moins de 12 ans,U.S.A.,SND,Box Office France,"['05 au 12 septembre 2012', '12 au 19 septembre 2012']",208 628,146 747,"2,6","2,9",2133451
Animals,15 février 2023,"Drame, Policier",1h 32min,Nabil Ben Yadir,"Nabil Ben Yadir, Antoine Cuypers","Soufiane Chilah, Gianni Guettaf, Vincent Overath",Interdit aux moins de 16 ans avec avertissement,Belgique,JHR Films,Box Office France,"['15 au 22 février 2023', '22 février au 1 mars 2023']",1 351,2 005,"2,1","3,3",7989
Cosmopolis,25 mai 2012,Drame,1h 48min,David Cronenberg,David Cronenberg,"Robert Pattinson, Juliette Binoche, Sarah Gadon",None,France,Stone Angels,Box Office France,"['23 au 30 mai 2012', '30 mai au 6 juin 2012']",134 570,101 436,"3,6","1,9",2223795
Superbad,31 octobre 2007,Comédie,1h 52min,Greg Mottola,"Seth Rogen, Evan Goldberg","Jonah Hill, Michael Cera, Christopher Mintz-Plasse",None,U.S.A.,Sony Pictures Releasing France,Box Office France,"['31 octobre au 7 novembre 2007', '07 au 14 novembre 2007']",200 505,73 700,"3,0","2,8",356932
Maigret,23 février 2022,Policier,1h 28min,Patrice Leconte,"Jérôme Tonnerre, Patrice Leconte","Gérard Depardieu, Jade Labeste, Mélanie Bernier",None,France,SND,Box Office France,"['23 février au 2 mars 2022', '02 au 9 mars 2022']",260 011,129 947,"3,7","2,8",168559
Just Visiting,11 avril 2001,"Comédie, Aventure, Fantastique",1h 35min,Jean-Marie Poiré,"Christian Clavier, Jean-Marie Poiré","Jean Reno, Christian Clavier, Christina Applegate",à partir de 10 ans (children's film),U.S.A.,Gaumont Buena Vista International (GBVI),Box Office France,"['11 au 18 avril 2001', '18 au 25 avril 2001']",558 531,323 444,"3,0","1,0",1590447
"Tinker, Tailor, Soldier, Spy",8 février 2012,"Espionnage, Thriller",2h 02min,Tomas Alfredson,"Bridget O'Connor, Peter Straughan","Gary Oldman, Mark Strong, John Hurt",None,France,StudioCanal,Box Office France,"['08 au 15 février 2012', '15 au 22 février 2012']",277 172,175 810,"4,0","3,0",1051349
Midnight Special,16 mars 2016,"Aventure, Science fiction, Drame",1h 51min,Jeff Nichols,Jeff Nichols,"Michael Shannon, Jaeden Martell, Joel Edgerton",None,U.S.A.,Warner Bros. France,Box Office France,"['16 au 23 mars 2016', '23 au 30 mars 2016']",132 693,66 870,"4,1","3,4",362829
Soshite Chichi ni Naru,25 décembre 2013,Drame,2h 01min,Hirokazu Kore-eda,Hirokazu Kore-eda,"Masaharu Fukuyama, Machiko Ono, Lily Franky",None,Japon,Le Pacte,Box Office France,"['25 décembre 2013 au 1 janvier 2014', '01 au 8 janvier 2014']",104 396,91 246,"4,0","4,2",531316
