title,release_date,genre,duration,director,producers,cast,age_limit,nationality,distributor,box_office_title,box_office_date,box_office_first_week,box_office_second_week,press_eval,viewers_eval,views
The Dark Knight,13 août 2008,"Action, Thriller",2h 32min,Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Christian Bale, Heath Ledger, Aaron Eckhart",None,U.S.A.,Warner Bros. France,Box Office France,"['13 au 20 août 2008', '20 au 27 août 2008']",1 271 688,661 333,"4,0","4,5",2161057
Le Bleu du Caftan,22 mars 2023,"Drame, Romance",2h 02min,Maryam Touzani,Maryam Touzani,"Lubna Azabal, Saleh Bakri, Ayoub Missioui",None,France,Ad Vitam,Box Office France,"['22 au 29 mars 2023', '29 mars au 5 avril 2023']",54 381,41 365,"3,8","4,3",141361
Everything Everywhere All at Once,31 août 2022,"Action, Comédie, Drame, Science fiction, Arts Martiaux",2h 19min,Daniel Scheinert,"Daniel Kwan, Daniel Scheinert, Daniel Kwan","Michelle Yeoh, Ke Huy Quan, Jamie Lee Curtis",None,U.S.A.,Pathé Live,Box Office France,"['31 août au 7 septembre 2022', '07 au 14 septembre 2022']",132 121,76 098,"3,9","3,5",310236
La Nuit du verre d’eau,14 juin 2023,"Drame, Romance",1h 23min,Carlos Chahine,Carlos Chahine,"Marilyne Naaman, Antoine Merheb Harb, Nathalie Baye",None,France,JHR Films / Jour2Fête,Box Office France,"['14 au 21 juin 2023', '21 au 28 juin 2023']",12 657,7 364,"2,6","3,6",119155
Bullet Train,3 août 2022,"Action, Thriller",2h 07min,David Leitch,Zak Olkewicz,"Brad Pitt, Joey King, Aaron Taylor-Johnson",Interdit aux moins de 12 ans,U.S.A.,Sony Pictures Releasing France,Box Office France,"['03 au 10 août 2022', '10 au 17 août 2022']",491 067,313 237,"3,2","3,9",358989
Mission: Impossible - Ghost Protocol,14 décembre 2011,"Action, Espionnage, Thriller",2h 13min,Brad Bird,"Josh Appelbaum, André Nemec","Tom Cruise, Jeremy Renner, Simon Pegg",None,U.S.A.,Paramount Pictures France,Box Office France,"['14 au 21 décembre 2011', '21 au 28 décembre 2011']",827 046,559 265,"3,9","3,8",3059303
Derb,24 mai 2023,Drame,1h 30min,Hadi Mohaghegh,Hadi Mohaghegh,"Hadi Mohaghegh, Mohammad Eghbali",None,Iran,Bodega Films,Box Office France,"['24 au 31 mai 2023', '31 mai au 7 juin 2023']",8 528,4 978,"4,0","3,6",9886
Mission: Impossible III,3 mai 2006,"Action, Espionnage, Thriller",2h 06min,J.J. Abrams,"J.J. Abrams, Alex Kurtzman","Tom Cruise, Philip Seymour Hoffman, Ving Rhames",None,U.S.A.,United International Pictures (UIP),Box Office France,"['03 au 10 mai 2006', '10 au 17 mai 2006']",996 860,414 202,"3,3","3,3",969956
See How They Run,14 septembre 2022,"Comédie, Policier",1h 38min,Tom George,Mark Chappell,"Sam Rockwell, Saoirse Ronan, Adrien Brody",None,Grande-Bretagne,The Walt Disney Company France,Box Office France,"['14 au 21 septembre 2022', '21 au 28 septembre 2022']",56 893,34 963,"2,8","2,9",31911
Coco,15 novembre 2017,"Animation, Fantastique, Famille",1h 45min,Lee Unkrich,"Adrian Molina, Adrian Molina, Matthew Aldrich","Andrea Santamaria, Anthony Gonzalez (VIII), Benjamin Bratt",à partir de 8 ans (children's film),U.S.A.,The Walt Disney Company France,Box Office France,"['29 novembre au 6 décembre 2017', '06 au 13 décembre 2017']",948 846,619 289,"4,1","4,5",1508194
Wahou !,7 juin 2023,Comédie,1h 30min,Bruno Podalydès,Bruno Podalydès,"Karin Viard, Bruno Podalydès, Sabine Azéma",None,France,UGC Distribution,Box Office France,"['07 au 14 juin 2023', '14 au 21 juin 2023']",95 610,54 047,"3,5","2,5",164047
Novembre,5 octobre 2022,"Thriller, Policier",1h 47min,Cédric Jimenez,"Olivier Demangel, Cédric Jimenez","Jean Dujardin, Anaïs Demoustier, Sandrine Kiberlain",None,France,StudioCanal,Box Office France,"['05 au 12 octobre 2022', '12 au 19 octobre 2022']",592 681,429 138,"3,5","4,1",373770
Vaincre ou mourir,25 janvier 2023,"Historique, Action",1h 40min,Vincent Mottez,"Paul Mignot, Vincent Mottez","Hugo Becker, Rod Paradot, Gilles Cohen",None,France,Saje Distribution,Box Office France,"['07 au 14 décembre 2022', '25 janvier au 1 février 2023']",23 152,83 814,"1,3","3,9",173907
Une histoire d'amour et de désir,1 septembre 2021,"Drame, Romance",1h 42min,Leyla Bouzid,Leyla Bouzid,"Sami Outalbali, Zbeida Belhajamor, Diong-Keba Tacu",None,France,Pyramide Distribution,Box Office France,"['01 au 8 septembre 2021', '08 au 15 septembre 2021']",16 502,9 195,"4,0","3,8",102150
The Unbearable Weight Of Massive Talent,20 avril 2022,"Action, Comédie",1h 48min,Tom Gormican,"Tom Gormican, Kevin Etten","Nicolas Cage, Pedro Pascal, Alessandra Mastronardi",None,U.S.A.,Metropolitan FilmExport,Box Office France,"['20 au 27 avril 2022', '27 avril au 4 mai 2022']",57 763,17 799,"3,1","3,1",162956
Fifi,14 juin 2023,Comédie dramatique,1h 48min,Jeanne Aslan,"Paul Saintillan, Jeanne Aslan, Paul Saintillan","Céleste Brunnquell, Quentin Dolmaire, Ilan Schermann",None,France,New Story,Box Office France,"['14 au 21 juin 2023', '21 au 28 juin 2023']",17 284,10 002,"3,6","3,9",131144
Omar la fraise,24 mai 2023,Drame,1h 32min,Elias Belkeddar,"Elias Belkeddar, Jérôme Pierrat","Reda Kateb, Benoît Magimel, Meriem Amiar",None,France,StudioCanal,Box Office France,"['24 au 31 mai 2023', '31 mai au 7 juin 2023']",140 144,71 383,"3,4","2,9",189168
Gone Girl,8 octobre 2014,"Thriller, Policier, Drame",2h 29min,David Fincher,Gillian Flynn,"Ben Affleck, Rosamund Pike, Neil Patrick Harris","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,Twentieth Century Fox France,Box Office France,"['08 au 15 octobre 2014', '15 au 22 octobre 2014']",539 178,349 702,"4,0","4,3",1181695
Sick Of Myself,31 mai 2023,Comédie dramatique,1h 37min,Kristoffer Borgli,Kristoffer Borgli,"Kristine Kujath Thorp, Eirik Sæther, Fanny Vaager","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Norvège,Tandem,Box Office France,"['31 mai au 7 juin 2023', '07 au 14 juin 2023']",14 638,8 570,"3,4","3,4",87787
Spider-Man: Into the Spider-Verse,12 décembre 2018,"Animation, Action, Famille",1h 57min,Bob Persichetti,"Peter Ramsey, Rodney Rothman, Phil Lord, Rodney Rothman","Stéphane Bak, Shameik Moore, Jake Johnson (XVI)",à partir de 8 ans (children's film),U.S.A.,Sony Pictures Releasing France,Box Office France,"['12 au 19 décembre 2018', '19 au 26 décembre 2018']",218 728,149 041,"4,2","4,4",622474
