title,release_date,genre,duration,director,producers,cast,press_eval,viewers_eval,age_limit,nationality,distributor,views,box_office_title,box_office_date,box_office_first_week,box_office_second_week
Un homme heureux,15 février 2023,['Comédie'],1h 29min,Tristan Séguéla,"['Guy Laurent', 'Isabelle Lazard']","['Fabrice Luchini', 'Catherine Frot', 'Philippe Katerine']","3,1","2,9",,France,Gaumont Distribution,87045,['Box Office France'],"['15 au 22 février 2023', '22 février au 1 mars 2023']",233 008,135 617
Gone Girl,8 octobre 2014,"['Thriller', 'Policier', 'Drame']",2h 29min,David Fincher,['Gillian Flynn'],"['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris']","4,0","4,3","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,Twentieth Century Fox France,1181591,['Box Office France'],"['08 au 15 octobre 2014', '15 au 22 octobre 2014']",539 178,349 702
"Ruby Gillman, Teenage Kraken",28 juin 2023,"['Animation', 'Aventure', 'Famille', 'Action', 'Comédie']",1h 30min,Kirk DeMicco,"['Faryn Pearl', 'Pam Brady', 'Brian C. Brown']","['Lana Condor', 'Toni Collette', 'Jane Fonda']","2,7","2,6",,U.S.A.,Universal Pictures International France,88573,['Box Office US'],"['30 juin 2023 au 3 juillet 2023', '07 au 10 juillet 2023']",5 200 000,2 846 245
Dungeons & Dragons: Honor Among Thieves,12 avril 2023,"['Fantastique', 'Aventure']",2h 14min,Jonathan Goldstein (XII),"['John Francis Daley', 'Jonathan Goldstein (XII)', 'John Francis Daley']","['Chris Pine', 'Michelle Rodriguez', 'Regé-Jean Page']","3,3","3,8",,U.S.A.,Paramount Pictures France,98170,['Box Office France'],"['12 au 19 avril 2023', '19 au 26 avril 2023']",420 168,314 725
Il sol dell’avvenire,28 juin 2023,"['Comédie dramatique', 'Drame', 'Comédie']",1h 35min,Nanni Moretti,"['Francesca Marciano', 'Nanni Moretti']","['Nanni Moretti', 'Margherita Buy', 'Silvio Orlando']","3,9","3,3",,Italie,Le Pacte,102835,['Box Office France'],"['28 juin au 5 juillet 2023', '05 au 12 juillet 2023']",91 786,47 190
Une histoire d'amour et de désir,1 septembre 2021,"['Drame', 'Romance']",1h 42min,Leyla Bouzid,['Leyla Bouzid'],"['Sami Outalbali', 'Zbeida Belhajamor', 'Diong-Keba Tacu']","4,0","3,8",,France,Pyramide Distribution,102033,['Box Office France'],"['01 au 8 septembre 2021', '08 au 15 septembre 2021']",16 502,9 195
Operation Fortune: Ruse De Guerre,,"['Action', 'Thriller', 'Comédie']",1h 54min,Guy Ritchie,"['Ivan Atkinson', 'Marn Davies']","['Jason Statham', 'Aubrey Plaza', 'Cary Elwes']","2,8","2,7",,U.S.A.,,44510,['Box Office US'],"['03 au 6 mars 2023', '10 au 13 mars 2023']",3 140 214,1 272 319
Le Bleu du Caftan,22 mars 2023,"['Drame', 'Romance']",2h 02min,Maryam Touzani,['Maryam Touzani'],"['Lubna Azabal', 'Saleh Bakri', 'Ayoub Missioui']","3,8","4,3",,France,Ad Vitam,141272,['Box Office France'],"['22 au 29 mars 2023', '29 mars au 5 avril 2023']",54 381,41 365
Insidious,15 juin 2011,['Epouvante-horreur'],1h 42min,James Wan,['Leigh Whannell'],"['Patrick Wilson', 'Rose Byrne', 'Ty Simpkins']","3,2","3,5",Interdit aux moins de 12 ans,U.S.A.,Wild Bunch Distribution,2472418,['Box Office France'],"['15 au 22 juin 2011', '22 au 29 juin 2011']",193 688,127 061
Moka,17 août 2016,['Drame'],1h 30min,Frédéric Mermoud,"['Frédéric Mermoud', 'Antonin Martin-Hilbert']","['Emmanuelle Devos', 'Nathalie Baye', 'David Clavel']","3,2","3,0",,France,Pyramide Distribution,312926,['Box Office France'],"['17 au 24 août 2016', '24 au 31 août 2016']",85 331,55 822
Passages,28 juin 2023,"['Drame', 'Romance']",1h 32min,Ira Sachs,"['Ira Sachs', 'Maurício Zacharias']","['Franz Rogowski', 'Ben Whishaw', 'Adèle Exarchopoulos']","2,8","2,7","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",France,SBS Distribution,128393,['Box Office France'],"['28 juin au 5 juillet 2023', '05 au 12 juillet 2023']",11 227,4 894
Gisaengchung,5 juin 2019,['Thriller'],2h 12min,Bong Joon Ho,"['Bong Joon Ho', 'Jin Won Han']","['Song Kang-Ho', 'Woo-sik Choi', 'Park So-Dam']","4,8","4,5","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Corée du Sud,The Jokers / Les Bookmakers,1139748,['Box Office France'],"['05 au 12 juin 2019', '12 au 19 juin 2019']",376 842,231 685
Novembre,5 octobre 2022,"['Thriller', 'Policier']",1h 47min,Cédric Jimenez,"['Olivier Demangel', 'Cédric Jimenez']","['Jean Dujardin', 'Anaïs Demoustier', 'Sandrine Kiberlain']","3,5","4,1",,France,StudioCanal,373652,['Box Office France'],"['05 au 12 octobre 2022', '12 au 19 octobre 2022']",592 681,429 138
Ich bin dein Mensch,22 juin 2022,"['Romance', 'Science fiction', 'Comédie', 'Drame']",1h 45min,Maria Schrader,"['Maria Schrader', 'Jan Schomburg']","['Maren Eggert', 'Dan Stevens', 'Sandra Hüller']","3,1","3,7",,Allemagne,Haut et Court,76865,['Box Office France'],"['22 au 29 juin 2022', '29 juin au 6 juillet 2022']",16 932,13 036
To Catch A Killer,26 avril 2023,"['Thriller', 'Policier']",1h 59min,Damián Szifron,"['Damián Szifron', 'Jonathan Wakeham']","['Shailene Woodley', 'Ben Mendelsohn', 'Jovan Adepo']","3,7","3,8",,U.S.A.,Metropolitan FilmExport,84279,['Box Office France'],"['26 avril au 3 mai 2023', '03 au 10 mai 2023']",100 146,49 024
See How They Run,14 septembre 2022,"['Comédie', 'Policier']",1h 38min,Tom George,['Mark Chappell'],"['Sam Rockwell', 'Saoirse Ronan', 'Adrien Brody']","2,8","2,9",,Grande-Bretagne,The Walt Disney Company France,31909,['Box Office France'],"['14 au 21 septembre 2022', '21 au 28 septembre 2022']",56 893,34 963
Alibi.com 2,8 février 2023,['Comédie'],1h 28min,Philippe Lacheau,"['Philippe Lacheau', 'Pierre Lacheau']","['Philippe Lacheau', 'Élodie Fontan', 'Tarek Boudali']","3,0","3,9",,France,StudioCanal,587290,['Box Office France'],"['01 au 8 février 2023', '08 au 15 février 2023']",81 100,1 017 788
Spider-Man: Into the Spider-Verse,12 décembre 2018,"['Animation', 'Action', 'Famille']",1h 57min,Bob Persichetti,"['Peter Ramsey', 'Rodney Rothman', 'Phil Lord', 'Rodney Rothman']","['Stéphane Bak', 'Shameik Moore', 'Jake Johnson (XVI)']","4,2","4,4",à partir de 8 ans (children's film),U.S.A.,Sony Pictures Releasing France,622393,['Box Office France'],"['12 au 19 décembre 2018', '19 au 26 décembre 2018']",218 728,149 041
Triangle of Sadness,28 septembre 2022,"['Drame', 'Comédie']",2h 29min,Ruben Östlund,['Ruben Östlund'],"['Harris Dickinson', 'Charlbi Dean Kriek', 'Woody Harrelson']","3,2","3,8",,Suède,Bac Films,498495,['Box Office France'],"['28 septembre au 5 octobre 2022', '05 au 12 octobre 2022']",179 786,105 276
Les Algues vertes,12 juillet 2023,"['Drame', 'Thriller']",1h 47min,Pierre Jolivet,"['Pierre Jolivet', 'Inès Léraud']","['Céline Sallette', 'Nina Meurisse', 'Julie Ferrier']","3,5","4,0",,France,Haut et Court,35698,['Box Office France'],['12 au 19 juillet 2023'],125 566,
Zillion,21 juin 2023,"['Drame', 'Biopic']",2h 18min,Robin Pront,['Robin Pront'],"['Jonas Vermeulen', 'Matteo Simoni', 'Charlotte Timmers']","2,9","3,6",Interdit aux moins de 12 ans,Belgique,CGR EVENTS,3446,['Box Office France'],"['21 au 28 juin 2023', '28 juin au 5 juillet 2023']",278,34
La Syndicaliste,1 mars 2023,"['Thriller', 'Drame']",2h 01min,Jean-Paul Salomé,"['Fadette Drouard', 'Jean-Paul Salomé']","['Isabelle Huppert', 'Grégory Gadebois', 'Yvan Attal']","3,3","3,9",,France,Le Pacte,182568,['Box Office France'],"['01 au 8 mars 2023', '08 au 15 mars 2023']",192 422,119 585
Everything Everywhere All at Once,31 août 2022,"['Action', 'Comédie', 'Drame', 'Science fiction', 'Arts Martiaux']",2h 19min,Daniel Scheinert,"['Daniel Kwan', 'Daniel Scheinert', 'Daniel Kwan']","['Michelle Yeoh', 'Ke Huy Quan', 'Jamie Lee Curtis']","3,9","3,5",,U.S.A.,Pathé Live,310197,['Box Office France'],"['31 août au 7 septembre 2022', '07 au 14 septembre 2022']",132 121,76 098
L’Ultima Notte Di Amore,7 juin 2023,['Thriller'],2h 05min,Andrea Di Stefano,['Andrea Di Stefano'],"['Pierfrancesco Favino', 'Linda Caridi', 'Antonio Gerardi']","3,5","4,0",,Italie,Universal Pictures International France,20776,['Box Office France'],"['07 au 14 juin 2023', '14 au 21 juin 2023']",40 869,24 465
Je verrai toujours vos visages,29 mars 2023,['Drame'],1h 58min,Jeanne Herry,['Jeanne Herry'],"['Adèle Exarchopoulos', 'Dali Benssalah', 'Leïla Bekhti']","4,1","4,4",,France,StudioCanal,412109,['Box Office France'],"['29 mars au 5 avril 2023', '05 au 12 avril 2023']",282 292,194 589
Mauvaises herbes,21 novembre 2018,['Comédie'],1h 40min, Kheiron,[' Kheiron'],"[' Kheiron', 'Catherine Deneuve', 'André Dussollier']","3,4","4,1",,France,Mars Films,481870,['Box Office France'],"['21 au 28 novembre 2018', '28 novembre au 5 décembre 2018']",201 117,108 090
Top Gun: Maverick,25 mai 2022,['Action'],2h 11min,Joseph Kosinski,"['Christopher McQuarrie', 'Ehren Kruger']","['Tom Cruise', 'Miles Teller', 'Jennifer Connelly']","3,7","4,3",,U.S.A.,Paramount Pictures France,2331027,['Box Office France'],"['25 mai au 1 juin 2022', '01 au 8 juin 2022']",1 529 608,1 188 176
Jack Mimoun et les secrets de Val Verde,12 octobre 2022,"['Comédie', 'Aventure']",1h 42min,Malik Bentalha,"['Ludovic Colbeau-Justin', 'Malik Bentalha', 'Tristan Schulmann']","['Malik Bentalha', 'Joséphine Japy', 'Jérôme Commandeur']","3,3","2,6",,France,Pathé,132287,['Box Office France'],"['12 au 19 octobre 2022', '19 au 26 octobre 2022']",257 163,145 455
Nightmare Alley,19 janvier 2022,"['Drame', 'Thriller']",2h 31min,Guillermo del Toro,"['Guillermo del Toro', 'Kim Morgan']","['Bradley Cooper', 'Cate Blanchett', 'Toni Collette']","3,8","3,8","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,The Walt Disney Company France,347712,['Box Office France'],"['19 au 26 janvier 2022', '26 janvier au 2 février 2022']",142 309,97 546
Dunkirk,19 juillet 2017,"['Guerre', 'Historique', 'Drame']",1h 47min,Christopher Nolan,['Christopher Nolan'],"['Fionn Whitehead', 'Mark Rylance', 'Tom Hardy']","4,1","3,9",,U.S.A.,Warner Bros. France,1283036,['Box Office France'],"['19 au 26 juillet 2017', '26 juillet au 2 août 2017']",925 204,540 377
Sexygénaires,14 juin 2023,['Comédie'],1h 20min,Robin Sykes,"['Antoine Raimbault', 'Robin Sykes']","['Thierry Lhermitte', 'Patrick Timsit', 'Marie Bunel']","2,8","2,6",,France,Apollo Films / Orange Studio,25752,['Box Office France'],"['14 au 21 juin 2023', '21 au 28 juin 2023']",63 084,31 575
The Wolf Of Wall Street,25 décembre 2013,"['Biopic', 'Drame']",2h 59min,Martin Scorsese,['Terence Winter'],"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie']","4,0","4,2",Interdit aux moins de 12 ans,U.S.A.,Metropolitan FilmExport,1501032,['Box Office France'],"['25 décembre 2013 au 1 janvier 2014', '01 au 8 janvier 2014']",1 013 324,701 800
Supercondriaque,26 février 2014,['Comédie'],1h 48min,Dany Boon,['Dany Boon'],"['Dany Boon', 'Alice Pol', 'Kad Merad']","2,4","2,4",,France,Pathé,1343453,['Box Office France'],"['26 février au 5 mars 2014', '05 au 12 mars 2014']",2 151 921,1 189 985
Air,,['Drame'],1h 52min,Ben Affleck,['Alex Convery'],"['Matt Damon', 'Viola Davis', 'Ben Affleck']","3,7","3,9",,U.S.A.,,28092,['Box Office US'],"['07 au 10 avril 2023', '14 au 17 avril 2023']",14 456 279,7 846 808
Barbaque,27 octobre 2021,['Comédie'],1h 28min,Fabrice Eboué,"['Fabrice Eboué', 'Vincent Solignac']","['Fabrice Eboué', 'Marina Foïs', 'Nicolas Lumbreras']","3,3","3,6",Interdit aux moins de 12 ans,France,Apollo Films / TF1 Studio,234379,['Box Office France'],"['27 octobre au 3 novembre 2021', '03 au 10 novembre 2021']",126 252,59 617
En los márgenes,5 juillet 2023,['Thriller'],1h 43min,Juan Diego Botto,"['Juan Diego Botto', 'Olga Rodríguez']","['Penélope Cruz', 'Luis Tosar', 'Christian Checa']","3,6","3,5",,Espagne,Condor Distribution,210883,['Box Office France'],"['05 au 12 juillet 2023', '12 au 19 juillet 2023']",28 720,10 628
La Chambre des merveilles,15 mars 2023,['Comédie dramatique'],1h 38min,Lisa Azuelos,"['Fabien Suarez', 'Juliette Sales']","['Alexandra Lamy', 'Muriel Robin', 'Hugo Questel']","3,5","3,9",,France,SND,214995,['Box Office France'],"['15 au 22 mars 2023', '22 au 29 mars 2023']",298 308,117 724
John Wick: Chapter 4,22 mars 2023,['Action'],2h 50min,Chad Stahelski,"['Michael Finch', 'Shay Hatten']","['Keanu Reeves', 'Donnie Yen', 'Bill Skarsgård']","3,6","3,9",Interdit aux moins de 12 ans,U.S.A.,Metropolitan FilmExport,190771,['Box Office France'],"['22 au 29 mars 2023', '29 mars au 5 avril 2023']",411 048,236 751
J'accuse,13 novembre 2019,"['Drame', 'Historique', 'Thriller']",2h 12min,Roman Polanski,"['Robert Harris (II)', 'Roman Polanski']","['Jean Dujardin', 'Louis Garrel', 'Emmanuelle Seigner']","4,0","3,8",,France,Gaumont Distribution,746974,['Box Office France'],"['13 au 20 novembre 2019', '20 au 27 novembre 2019']",501 228,385 334
Joy Ride,5 juillet 2023,['Comédie'],1h 32min,Adele Lim,"['Cherry Chevapravatdumrong', 'Teresa Hsiao']","['Stephanie Hsu', 'Ashley Park', 'Sherry Cola']","2,9",--,,U.S.A.,Metropolitan FilmExport,5020,['Box Office France'],"['05 au 12 juillet 2023', '12 au 19 juillet 2023']",9 258,772
The Unbearable Weight Of Massive Talent,20 avril 2022,"['Action', 'Comédie']",1h 48min,Tom Gormican,"['Tom Gormican', 'Kevin Etten']","['Nicolas Cage', 'Pedro Pascal', 'Alessandra Mastronardi']","3,1","3,1",,U.S.A.,Metropolitan FilmExport,162787,['Box Office France'],"['20 au 27 avril 2022', '27 avril au 4 mai 2022']",57 763,17 799
Terrible Jungle,29 juillet 2020,"['Aventure', 'Comédie']",1h 31min,Hugo Benamozig,"['David Caviglioli', 'Hugo Benamozig', 'David Caviglioli']","['Catherine Deneuve', 'Vincent Dedienne', 'Alice Belaïdi']","3,7","2,0",,France,Apollo Films,149890,['Box Office France'],"['29 juillet au 5 août 2020', '05 au 12 août 2020']",83 427,43 860
Ollie & compagnie,12 juillet 2023,"['Animation', 'Famille']",0h 35min,Anton Setola,['An Vrombaut'],,"3,8","2,4",à partir de 3 ans (children's film),Belgique,Les Films du Whippet,19101,['Box Office France'],['12 au 19 juillet 2023'],284,
Mademoiselle Chambon,14 octobre 2009,"['Drame', 'Romance']",1h 41min,Stéphane Brizé,"['Stéphane Brizé', 'Florence Vignon']","['Vincent Lindon', 'Sandrine Kiberlain', 'Aure Atika']","3,7","3,2",,France,Rezo Films,290663,['Box Office France'],"['14 au 21 octobre 2009', '21 au 28 octobre 2009']",165 891,137 232
Avatar,16 décembre 2009,"['Science fiction', 'Aventure']",2h 42min,James Cameron,['James Cameron'],"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']","4,3","4,3",,U.S.A.,The Walt Disney Company France,4280602,['Box Office France'],"['16 au 23 décembre 2009', '23 au 30 décembre 2009']",2 648 596,2 925 087
Petites,22 février 2023,['Drame'],1h 30min,Julie Lerat-Gersant,"['François Roy (III)', 'Julie Lerat-Gersant', 'François Roy (III)']","['Pili Groyne', 'Romane Bohringer', 'Victoire Du Bois']","3,5","3,8",,France,Haut et Court,99129,['Box Office France'],"['22 février au 1 mars 2023', '01 au 8 mars 2023']",12 466,4 783
The Gentlemen,5 février 2020,"['Policier', 'Action']",1h 53min,Guy Ritchie,['Guy Ritchie'],"['Matthew McConaughey', 'Hugh Grant', 'Charlie Hunnam']","3,5","4,1","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,SND,878037,['Box Office France'],"['05 au 12 février 2020', '12 au 19 février 2020']",238 040,185 527
Les Misérables,20 novembre 2019,"['Policier', 'Drame']",1h 45min,Ladj Ly,"['Ladj Ly', 'Giordano Gederlini']","['Damien Bonnard', 'Alexis Manenti', 'Djebril Zonga']","4,3","4,0","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",France,Le Pacte,1555719,['Box Office France'],"['20 au 27 novembre 2019', '27 novembre au 4 décembre 2019']",559 378,383 748
The Hunger Games,21 mars 2012,"['Action', 'Drame', 'Science fiction']",2h 22min,Gary Ross,"['Gary Ross', 'Suzanne Collins']","['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']","3,4","3,8","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,Metropolitan FilmExport,6032909,['Box Office France'],"['21 au 28 mars 2012', '28 mars au 4 avril 2012']",509 426,331 782
Vaincre ou mourir,25 janvier 2023,"['Historique', 'Action']",1h 40min,Vincent Mottez,"['Paul Mignot', 'Vincent Mottez']","['Hugo Becker', 'Rod Paradot', 'Gilles Cohen']","1,3","3,9",,France,Saje Distribution,173851,['Box Office France'],"['07 au 14 décembre 2022', '25 janvier au 1 février 2023']",23 152,83 814
Farang,28 juin 2023,['Action'],1h 39min,Xavier Gens,"['Xavier Gens', 'Magali Rossito']","['Nassim Lyes', 'Loryn Nounay', 'Olivier Gourmet']","3,4","3,7",Interdit aux moins de 12 ans,France,StudioCanal,223632,['Box Office France'],"['28 juin au 5 juillet 2023', '05 au 12 juillet 2023']",79 426,54 052
"Simone, le voyage du siècle",12 octobre 2022,"['Biopic', 'Drame']",2h 20min,Olivier Dahan,['Olivier Dahan'],"['Elsa Zylberstein', 'Rebecca Marder', 'Élodie Bouchez']","3,1","4,1",,France,Warner Bros. France,228733,['Box Office France'],"['12 au 19 octobre 2022', '19 au 26 octobre 2022']",486 242,355 869
Yo Mama,5 juillet 2023,['Comédie'],1h 37min,Leïla Sy,"['Amadou Mariko', 'Amadou Mariko']","['Claudia Tagbo', ' Zaho', 'Sophie-Marie Larrouy']","2,4","2,8",,France,Gaumont Distribution,93570,['Box Office France'],"['05 au 12 juillet 2023', '12 au 19 juillet 2023']",78 717,42 432
Wahou !,7 juin 2023,['Comédie'],1h 30min,Bruno Podalydès,['Bruno Podalydès'],"['Karin Viard', 'Bruno Podalydès', 'Sabine Azéma']","3,5","2,5",,France,UGC Distribution,163994,['Box Office France'],"['07 au 14 juin 2023', '14 au 21 juin 2023']",95 610,54 047
Get Out,3 mai 2017,['Thriller'],1h 44min,Jordan Peele,['Jordan Peele'],"['Daniel Kaluuya', 'Allison Williams', 'Catherine Keener']","4,0","4,0",Interdit aux moins de 12 ans,U.S.A.,Universal Pictures International France,1043115,['Box Office France'],"['03 au 10 mai 2017', '10 au 17 mai 2017']",465 265,239 606
Emily,15 mars 2023,"['Biopic', 'Drame']",2h 10min,Frances O'Connor,"[""Frances O'Connor""]","['Emma Mackey', 'Fionn Whitehead', 'Oliver Jackson-Cohen']","3,1","3,7",,Grande-Bretagne,Wild Bunch Distribution,27040,['Box Office France'],"['15 au 22 mars 2023', '22 au 29 mars 2023']",47 695,19 693
Ouistreham,12 janvier 2022,['Drame'],1h 47min,Emmanuel Carrère,"['Emmanuel Carrère', 'Hélène Devynck']","['Juliette Binoche', 'Hélène Lambert', 'Léa Carne']","3,5","4,0",,France,Memento Distribution,228714,['Box Office France'],"['12 au 19 janvier 2022', '19 au 26 janvier 2022']",126 975,85 285
Interstellar,5 novembre 2014,"['Science fiction', 'Drame']",2h 49min,Christopher Nolan,"['Jonathan Nolan', 'Christopher Nolan']","['Matthew McConaughey', 'Anne Hathaway', 'Michael Caine']","3,8","4,5",,U.S.A.,Warner Bros. France,2356950,['Box Office France'],"['05 au 12 novembre 2014', '12 au 19 novembre 2014']",1 071 360,572 034
Fifi,14 juin 2023,['Comédie dramatique'],1h 48min,Jeanne Aslan,"['Paul Saintillan', 'Jeanne Aslan', 'Paul Saintillan']","['Céleste Brunnquell', 'Quentin Dolmaire', 'Ilan Schermann']","3,6","3,9",,France,New Story,131047,['Box Office France'],"['14 au 21 juin 2023', '21 au 28 juin 2023']",17 284,10 002
A Beautiful Day in the Neighborhood,,"['Biopic', 'Drame']",1h 49min,Marielle Heller,"['Micah Fitzerman-Blue', 'Noah Harpster']","['Tom Hanks', 'Matthew Rhys', 'Susan Kelechi Watson']","3,3","3,1",,U.S.A.,Sony Pictures Releasing France,67538,['Box Office US'],"['22 au 25 novembre 2019', '29 novembre 2019 au 2 décembre 2019']",13 251 238,11 776 422
Mission: Impossible - Rogue Nation,12 août 2015,"['Action', 'Espionnage']",2h 12min,Christopher McQuarrie,['Christopher McQuarrie'],"['Tom Cruise', 'Jeremy Renner', 'Simon Pegg']","3,7","3,9",,U.S.A.,Paramount Pictures France,851732,['Box Office France'],"['12 au 19 août 2015', '19 au 26 août 2015']",1 233 768,646 680
Insidious: The Red Door,5 juillet 2023,"['Epouvante-horreur', 'Fantastique']",1h 48min,Patrick Wilson,['Scott Teems'],"['Patrick Wilson', 'Rose Byrne', 'Ty Simpkins']","2,1","2,2",Interdit aux moins de 12 ans avec avertissement,U.S.A.,Sony Pictures Releasing France,49996,['Box Office France'],"['05 au 12 juillet 2023', '12 au 19 juillet 2023']",306 107,160 642
Bullet Train,3 août 2022,"['Action', 'Thriller']",2h 07min,David Leitch,['Zak Olkewicz'],"['Brad Pitt', 'Joey King', 'Aaron Taylor-Johnson']","3,2","3,9",Interdit aux moins de 12 ans,U.S.A.,Sony Pictures Releasing France,358970,['Box Office France'],"['03 au 10 août 2022', '10 au 17 août 2022']",491 067,313 237
Mascarade,1 novembre 2022,['Comédie dramatique'],2h 14min,Nicolas Bedos,['Nicolas Bedos'],"['Pierre Niney', 'Isabelle Adjani', 'François Cluzet']","2,5","3,6",,France,Pathé,175772,['Box Office France'],"['26 octobre au 2 novembre 2022', '02 au 9 novembre 2022']",91 498,295 895
Toi non plus tu n'as rien vu,8 mars 2023,"['Drame', 'Thriller', 'Judiciaire']",1h 33min,Beatrice Pollet,['Beatrice Pollet'],"['Maud Wyler', 'Géraldine Nakache', 'Grégoire Colin']","3,0","3,3",,France,Jour2fête,98842,['Box Office France'],"['08 au 15 mars 2023', '15 au 22 mars 2023']",4 869,1 201
Babylon,18 janvier 2023,"['Historique', 'Drame']",3h 09min,Damien Chazelle,['Damien Chazelle'],"['Brad Pitt', 'Margot Robbie', 'Diego Calva']","4,0","4,2","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,Paramount Pictures France,216390,['Box Office France'],"['18 au 25 janvier 2023', '25 janvier au 1 février 2023']",508 796,347 316
The Lost City of Z,15 mars 2017,['Aventure'],2h 21min,James Gray,['James Gray'],"['Charlie Hunnam', 'Sienna Miller', 'Tom Holland']","4,5","3,9",,U.S.A.,StudioCanal,661463,['Box Office France'],"['15 au 22 mars 2017', '22 au 29 mars 2017']",150 045,76 883
Pop Redemption,5 juin 2013,['Comédie'],1h 35min,Martin Le Gall,"['Mark Eacersall', 'Martin Le Gall']","['Julien Doré', 'Grégory Gadebois', 'Jonathan Cohen']","2,6","2,9",,France,Gaumont Distribution,823293,['Box Office France'],"['29 mai au 5 juin 2013', '05 au 12 juin 2013']",1 599,56 964
Tenet,26 août 2020,"['Action', 'Science fiction']",2h 30min,Christopher Nolan,['Christopher Nolan'],"['John David Washington', 'Kenneth Branagh', 'Robert Pattinson']","3,6","3,7",,U.S.A.,Warner Bros. France,768289,['Box Office France'],"['26 août au 2 septembre 2020', '02 au 9 septembre 2020']",948 378,411 702
Marinette,7 juin 2023,['Biopic'],1h 36min,Virginie Verrier,['Virginie Verrier'],"['Garance Marillier', 'Emilie Dequenne', 'Alban Lenoir']","3,0","3,8",,France,The Jokers / Les Bookmakers,104140,['Box Office France'],"['07 au 14 juin 2023', '14 au 21 juin 2023']",26 273,12 278
Avatar: The Way of Water,14 décembre 2022,"['Science fiction', 'Aventure', 'Fantastique', 'Action']",3h 12min,James Cameron,"['James Cameron', 'Rick Jaffa']","['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver']","4,1","4,2","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,The Walt Disney Company France,926989,['Box Office France'],"['14 au 21 décembre 2022', '21 au 28 décembre 2022']",2 739 848,3 010 310
La Sirène,28 juin 2023,"['Animation', 'Drame']",1h 41min,Sepideh Farsi,['Javad Djavahery'],"['Mina Kavani', 'Hadmidreza Djavdan']","3,5","3,7",,France,Bac Films,85882,['Box Office France'],"['28 juin au 5 juillet 2023', '05 au 12 juillet 2023']",3 933,1 379
Beau Is Afraid,26 avril 2023,"['Comédie', 'Aventure', 'Drame']",2h 59min,Ari Aster,['Ari Aster'],"['Joaquin Phoenix', 'Nathan Lane', 'Amy Ryan']","3,6","3,3",Interdit aux moins de 12 ans,U.S.A.,ARP Sélection,146777,['Box Office France'],"['26 avril au 3 mai 2023', '03 au 10 mai 2023']",35 019,17 095
The Son,1 mars 2023,['Drame'],2h 03min,Florian Zeller,"['Florian Zeller', 'Christopher Hampton']","['Hugh Jackman', 'Laura Dern', 'Vanessa Kirby']","3,2","3,9",,France,Orange Studio Distribution / UGC Distribution,116371,['Box Office France'],"['01 au 8 mars 2023', '08 au 15 mars 2023']",102 272,61 377
The Pope's Exorcist,10 mai 2023,"['Epouvante-horreur', 'Biopic', 'Fantastique']",1h 43min,Julius Avery,"['Evan Spiliotopoulos', 'Michael Petroni']","['Russell Crowe', 'Daniel Zovatto', 'Alex Essoe']","2,9","2,8",Interdit aux moins de 12 ans,U.S.A.,Sony Pictures Releasing France,64204,['Box Office France'],"['10 au 17 mai 2023', '17 au 24 mai 2023']",155 555,115 170
En corps,30 mars 2022,"['Comédie dramatique', 'Drame', 'Comédie']",1h 58min,Cédric Klapisch,"['Cédric Klapisch', 'Santiago Amigorena']","['Marion Barbeau', 'Hofesh Shechter', 'Denis Podalydès']","3,4","4,1",,France,StudioCanal,322297,['Box Office France'],"['30 mars au 6 avril 2022', '06 au 13 avril 2022']",332 971,254 871
Green Book,23 janvier 2019,"['Drame', 'Biopic']",2h 10min,Peter Farrelly,"['Nick Vallelonga', 'Brian Hayes Currie']","['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini']","4,0","4,5",,U.S.A.,Metropolitan FilmExport,1391888,['Box Office France'],"['23 au 30 janvier 2019', '30 janvier au 6 février 2019']",288 777,247 197
Asteroid City,21 juin 2023,['Comédie dramatique'],1h 46min,Wes Anderson,['Wes Anderson'],"['Jason Schwartzman', 'Scarlett Johansson', 'Tom Hanks']","3,3","3,0",,U.S.A.,Universal Pictures International France,147860,['Box Office France'],"['21 au 28 juin 2023', '28 juin au 5 juillet 2023']",117 498,86 521
