title,release_date,genre,duration,director,producers,cast,press_eval,viewers_eval,age_limit,nationality,distributor,views,box_office_title,box_office_date,box_office_first_week,box_office_second_week
Gnade,6 novembre 2013,['Drame'],2h 12min,Matthias Glasner,['Kim Fupz Aakeson'],"['Jürgen Vogel', 'Birgit Minichmayr', 'Henry Stange']","3,4","3,7",,Norvège,Jour2fête,110675,['Box Office France'],"['06 au 13 novembre 2013', '13 au 20 novembre 2013']",1 371,573
Caníbal,17 décembre 2014,"['Thriller', 'Drame']",1h 56min,Manuel Martín Cuenca,"['Alejandro Hernández', 'Manuel Martín Cuenca']","['Antonio de la Torre', 'Olimpia Melinte', 'María Alfonsa Rosso']","3,1","3,0","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Espagne,Zootrope Films / Luminor,72892,['Box Office France'],"['17 au 24 décembre 2014', '24 au 31 décembre 2014']",1 288,324
Été 85,25 juin 2014,['Comédie dramatique'],1h 34min,Nicolas Plouhinec,['Amélie Abrieu'],"['Amélie Abrieu', 'Suzanne Döbel', 'Michaël Lambert']","3,4",--,,France,La Sans Sou Cie,10591,['Box Office France'],"['25 juin au 2 juillet 2014', '02 au 9 juillet 2014']",137,140
Africaine,11 février 2015,['Comédie dramatique'],1h 37min,Stéphanie Girerd,['Stéphanie Girerd'],"['Nina Meurisse', 'Anna Mihalcea', 'Caroline Baehr']","2,4","3,6",,France,Hévadis Films,10522,['Box Office France'],['11 au 18 février 2015'],118,
Voyez comme ils dansent,3 août 2011,['Drame'],1h 39min,Claude Miller,"['Claude Miller', 'Natalie Carter']","['Marina Hands', 'James Thiérrée', 'Maya Sansa']","2,6","2,5",,Canada,Wild Bunch Distribution,385455,['Box Office France'],"['03 au 10 août 2011', '10 au 17 août 2011']",25 256,10 300
Post Mortem,16 février 2011,['Drame'],1h 38min,Pablo Larraín,"['Pablo Larraín', 'Mateo Iribarren']","['Alfredo Castro', 'Antonia Zegers', 'Jaime Vadell']","3,2","2,2",,Mexique,Memento Distribution,33252,['Box Office France'],"['16 au 23 février 2011', '23 février au 2 mars 2011']",12 837,7 044
Bringing down the house,,['Comédie'],1h 46min,Adam Shankman,"['Jason Filardi', 'Ashok Amritraj']","['Steve Martin', 'Queen Latifah', 'Eugene Levy']","2,9","2,8",,U.S.A.,68 464 entrées,8150,['Box Office France'],"['06 au 13 août 2003', '07 au 10 mars 2003']",68 464,
Muumien joulu,29 novembre 2017,"['Animation', 'Famille']",1h 19min,Jakub Wroński,"['Ira Carpelan', 'Ira Carpelan', 'Malgorzata Wieckowicz-Zyla']","['Bill Skarsgård', 'Alicia Vikander', 'Stellan Skarsgård']","3,0","2,9",à partir de 3 ans (children's film),Finlande,Les Films du Préau,16377,['Box Office France'],"['29 novembre au 6 décembre 2017', '06 au 13 décembre 2017']",2 196,4 395
Creative Control,9 novembre 2016,['Drame'],1h 37min,Benjamin Dickinson,"['Benjamin Dickinson', 'Micah Bloomberg']","['Benjamin Dickinson', 'Nora Zehetner', 'Dan Gill']","3,0","2,9",,U.S.A.,Damned Distribution,43874,['Box Office France'],"['09 au 16 novembre 2016', '16 au 23 novembre 2016']",464,33
"This Is Not a Burial, It's a Resurrection",28 juillet 2021,['Drame'],2h 00min,Lemohang Jeremiah Mosese,['Lemohang Jeremiah Mosese'],"['Mary Twala', 'Jerry Mofokeng', 'Makhaola Ndebele']","3,6","3,0",,Lésotho,Arizona Distribution,12479,['Box Office France'],"['28 juillet au 4 août 2021', '04 au 11 août 2021']",1 874,1 363
