,title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views,budget
3709,s1m0ne,2002-09-18,"Comédie, Drame",1h 55min,Andrew Niccol,Andrew Niccol,"Al Pacino, Catherine Keener, Evan Rachel Wood",U.S.A.,Metropolitan FilmExport,Box Office France,133 661,"3,8","2,7",18223,10000000
3710,tetro,2009-12-23,Drame,2h 07min,Francis Ford Coppola,Francis Ford Coppola,"Vincent Gallo, Alden Ehrenreich, Maribel Verdú",U.S.A.,Memento Distribution,Box Office France,102 108,"3,8","3,7",352074,5000000
3711,toute ressemblance...,2019-11-27,Comédie dramatique,1h 23min,Michel Denisot,"Michel Denisot, Karine Angeli","Franck Dubosc, Jérôme Commandeur, Caterina Murino",France,UGC Distribution,Box Office France,83 401,"1,8","1,5",261214,0
3712,ironclad,2011-07-20,"Action, Aventure",2h 01min,Jonathan English,"Jonathan English, Erick Kastel","James Purefoy, Paul Giamatti, Kate Mara",U.S.A.,Metropolitan FilmExport,Box Office France,76 828,"2,7",--,749347,25000000
3714,brick mansions,2014-04-23,"Action, Policier",1h 31min,Camille Delamarre,"Luc Besson, Bibi Naceri","Paul Walker, David Belle,  RZA",France,EuropaCorp Distribution,Box Office France,200 301,"3,0","2,3",816018,28000000
3715,august: osage county,2014-02-26,"Comédie, Drame",2h 01min,John Wells,Tracy Letts,"Meryl Streep, Julia Roberts, Ewan McGregor",U.S.A.,Wild Bunch Distribution,Box Office France,230 896,"2,9","3,5",451465,25000000
3716,l'echange des princesses,2017-12-27,"Historique, Drame",1h 44min,Marc Dugain,"Marc Dugain, Chantal Thomas","Lambert Wilson, Anamaria Vartolomei, Olivier Gourmet",France,Ad Vitam,Box Office France,123 056,"3,6","3,5",250257,0
3717,selon la police,2022-02-23,"Drame, Policier",1h 51min,Frédéric Videau,Frédéric Videau,"Patrick d'Assumçao, Sofia Lesaffre, Laetitia Casta",France,Pyramide Distribution,Box Office France,5 704,"2,4","2,3",96041,0
3718,kriegerin,2013-03-27,Drame,1h 40min,David Wnendt,David Wnendt,"Alina Levshin, Jella Haase, Gerdy Zint",Allemagne,UFO Distribution,Box Office France,6 039,"2,8","3,7",140573,0
3720,nebenan,2021-12-29,Comédie,1h 32min,Daniel Brühl,Daniel Kehlmann,"Daniel Brühl, Peter Kurth, Rike Eckermann",Allemagne,Eurozoom,Box Office France,8 910,"3,2","2,9",15952,0
3721,step up 2: the streets,2008-04-09,"Comédie dramatique, Musical, Romance",1h 42min,Jon M. Chu,"Toni Ann Johnson, Karen Barna","Robert Hoffman, Briana Evigan, Cassie Ventura",U.S.A.,Paramount Pictures France,Box Office France,206 184,"2,6","3,3",697309,23000000
3722,mar adentro,2005-02-02,Drame,2h 05min,Alejandro Amenábar,"Alejandro Amenábar, Mateo Gil","Javier Bardem, Belén Rueda, Lola Dueñas",Espagne,UGC,Box Office France,69 322,"3,7","3,7",47585,12806000
3723,monsieur n.,2003-02-12,"Historique, Aventure",2h 00min,Antoine de Caunes,"René Manzor, Antoine de Caunes","Philippe Torreton, Richard E. Grant, Jay Rodan",France,Mars Distribution,Box Office France,116 340,"3,2","2,8",32170,0
3724,saw iv,2007-11-21,"Epouvante-horreur, Thriller",1h 30min,Darren Lynn Bousman,"Patrick Melton, Marcus Dunstan","Tobin Bell, Costas Mandylor, Scott Patterson",U.S.A.,Metropolitan FilmExport,Box Office France,294 553,"1,8","2,2",581393,10000000
3725,meek's cutoff,2011-06-22,Western,1h 44min,Kelly Reichardt,Jonathan Raymond,"Michelle Williams, Paul Dano, Bruce Greenwood",U.S.A.,Pretty Pictures,Box Office France,15 699,"4,2","2,9",200193,0
3726,akher wahed fina,2018-08-22,Drame,1h 34min,Ala Eddine Slim,Ala Eddine Slim,"Jawher Soudani, Fathi Akkari, Jihed Fourti",Tunisie,Potemkine Films,Box Office France,850,"3,6","3,3",59055,0
3727,second act,2018-12-26,"Comédie, Romance",1h 44min,Peter Segal,"Elaine Goldsmith-Thomas, Justin Zackham","Jennifer Lopez, Leah Remini, Vanessa Hudgens",U.S.A.,Metropolitan FilmExport,Box Office France,75 771,"2,7","2,7",135045,16000000
3730,mes héros,2012-12-12,Comédie,1h 27min,Eric Besnard,Eric Besnard,"Josiane Balasko, Gérard Jugnot, Clovis Cornillac",France,Pathé,Box Office France,203 694,"2,4","3,0",918499,9780000
3731,se jie,2008-01-16,"Guerre, Romance, Thriller",2h 38min,Ang Lee,"Ang Lee, Wang Hui-Ling","Mark Windows, Lee-Hom Wang, Anupam Kher",Taïwan,UGC Ph,Box Office France,92 291,"3,4","3,6",166419,15000000
3732,sahara,2005-06-01,Aventure,2h 05min,Breck Eisner,"Thomas Dean Donnelly, Joshua Oppenheimer","Matthew McConaughey, Steve Zahn, Penélope Cruz",U.S.A.,SND,Box Office France,176 199,"3,1","2,4",141147,130000000
3734,journal d’une femme de chambre,2015-04-01,Drame,1h 35min,Benoit Jacquot,"Benoit Jacquot, Hélène Zimmer","Léa Seydoux, Vincent Lindon, Clotilde Mollet",France,Mars Films,Box Office France,140 593,"3,7","2,4",543387,0
3735,chez nous,2017-02-22,Drame,1h 59min,Lucas Belvaux,"Lucas Belvaux, Jerome Leroy","Emilie Dequenne, André Dussollier, Guillaume Gouix",France,Le Pacte,Box Office France,144 010,"3,3","3,2",465869,0
3736,she's out of my league,2010-06-23,"Comédie, Romance",1h 44min,Jim Field Smith,"John Morris (IV), Sean Anders","Jay Baruchel, Alice Eve, T.J. Miller",U.S.A.,Paramount Pictures France,Box Office France,3 493,"2,6","2,7",526408,20000000
3737,"costa brava, lebanon",2022-07-27,Drame,1h 47min,Mounia Akl,"Clara Roquet, Mounia Akl","Nadine Labaki, Saleh Bakri, Nadia Charbel",Liban,Eurozoom,Box Office France,6 597,"3,4","3,3",10058,0
3738,rizu to aoi tori,2019-04-17,"Animation, Drame",1h 30min,Naoko Yamada,Reiko Yoshida,"Atsumi Tanezaki, Nao Tōyama, Miyu Honda",Japon,Eurozoom,Box Office France,9 194,"3,6","3,4",51701,0
3740,amitiés sincères,2013-01-30,Comédie dramatique,1h 44min,Stephan Archinard,"François Prévôt-Leygonie, Stephan Archinard, François Prévôt-Leygonie","Gérard Lanvin, Jean-Hugues Anglade, Wladimir Yordanoff",France,SND,Box Office France,363 024,"2,8","3,4",729497,0
3741,charlie's angels: full throttle,2003-07-16,"Action, Comédie, Aventure, Policier",1h 45min,McG,"John August, Cormac Wibberley","Cameron Diaz, Drew Barrymore, Lucy Liu",U.S.A.,Columbia TriStar Films,Box Office France,666 221,"3,4","2,0",35407,120000000
3742,gun-ham-do,2018-03-14,"Action, Drame",2h 31min,Seung-wan Ryoo,Seung-wan Ryoo,"Jung-Min Hwang, So Ji-Sub, Joong-ki Song",Corée du Sud,Metropolitan FilmExport,Box Office France,1 503,"3,5","3,7",69649,21000000
3743,starred up,2014-06-04,Drame,1h 45min,David Mackenzie,Jonathan Asser,"Jack O'Connell, Rupert Friend, Ben Mendelsohn",Grande-Bretagne,Wild Side Films / Le Pacte,Box Office France,35 412,"3,8","4,0",618230,0
3744,les cowboys,2015-11-25,Drame,1h 45min,Thomas Bidegain,"Thomas Bidegain, Noé Debré","François Damiens, Finnegan Oldfield, Agathe Dronne",France,Pathé,Box Office France,114 382,"3,5","3,6",499331,0
3745,the queen,2006-10-18,"Drame, Historique, Biopic",1h 39min,Stephen Frears,Peter Morgan,"Helen Mirren, James Cromwell, Alex Jennings",France,Pathé,Box Office France,308 469,"4,0","3,5",232671,15000000
3746,a trois on y va,2015-03-25,"Comédie, Romance",1h 26min,Jérôme Bonnell,Jérôme Bonnell,"Anaïs Demoustier, Félix Moati, Sophie Verbeeck",France,Wild Bunch Distribution,Box Office France,66 999,"3,9","3,1",506317,0
3747,child's play,2019-06-19,Epouvante-horreur,1h 30min,Lars Klevberg,Tyler Burton Smith,"Mark Hamill, Aubrey Plaza, Gabriel Bateman",U.S.A.,Paramount Pictures France,Box Office France,87 030,"3,0","2,7",150113,9000000
3749,les derniers jours du monde,2009-08-19,Comédie dramatique,2h 10min,Jean-Marie Larrieu,"Arnaud Larrieu, Arnaud Larrieu, Jean-Marie Larrieu","Mathieu Amalric, Catherine Frot, Karin Viard",France,Wild Bunch Distribution,Box Office France,71 726,"3,5","2,2",579710,0
3750,the party,2017-09-13,"Drame, Comédie",1h 11min,Sally Potter,Sally Potter,"Kristin Scott Thomas, Timothy Spall, Patricia Clarkson",Grande-Bretagne,Eurozoom,Box Office France,21 193,"3,0","3,1",72187,1500000
3751,nocturama,2016-08-31,"Drame, Thriller",2h 10min,Bertrand Bonello,Bertrand Bonello,"Finnegan Oldfield, Vincent Rottiers, Hamza Meziani",France,Wild Bunch Distribution,Box Office France,28 472,"3,4","2,7",375661,0
3752,machete kills,2013-10-02,Action,1h 47min,Robert Rodriguez,Kyle Ward,"Danny Trejo, Michelle Rodriguez, Mel Gibson",U.S.A.,Wild Bunch Distribution,Box Office France,86 223,"2,9","2,8",1150002,12000000
3753,lung boonmee raluek chat,2010-09-01,"Drame, Comédie, Fantastique",1h 53min,Apichatpong Weerasethakul,Apichatpong Weerasethakul,"Thanapat Saisaymar, Jenjira Pongpas, Sakda Kaewbuadee",France,Pyramide Distribution,Box Office France,45 115,"3,7","2,4",214180,Erreur lors de la requête API 2.
3754,mauvaise fille,2012-11-28,Drame,1h 48min,Patrick Mille,"Patrick Mille, Justine Levy","Izïa Higelin, Carole Bouquet, Bob Geldof",France,ARP Sélection,Box Office France,42 660,"3,1","2,4",1034402,0
3755,"men, women & children",2014-12-10,Comédie dramatique,1h 59min,Jason Reitman,"Jason Reitman, Erin Cressida Wilson","Ansel Elgort, Jennifer Garner, Adam Sandler",U.S.A.,Paramount Pictures France,Box Office France,21 894,"2,3","3,2",268537,0
3756,les francis,2014-07-23,Comédie,1h 25min,Fabrice Begotti,"Jean-Charles Felli, Pierre-Marie Mosconi","Lannick Gautry, Medi Sadoun, Alice David",France,Mars Films,Box Office France,205 642,"3,2","1,8",658698,0
3757,sa majesté minor,2007-10-10,"Comédie, Fantastique",1h 41min,Jean-Jacques Annaud,"Gérard Brach, Jean-Jacques Annaud","José Garcia, Vincent Cassel, Sergio Peris-Mencheta",France,StudioCanal,Box Office France,101 297,"2,1","1,3",283163,0
