title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris,season,year
lone survivor,2014-01-01,"Guerre, Action, Drame",120,Peter Berg,Peter Berg,"Mark Wahlberg, Taylor Kitsch, Emile Hirsch",U.S.A.,SND,127476,2.9,4.2,1214872.0,40000000.0,8.27,9.93,11.27,9.92,9.23,Winter,2014
permis de construire,2022-03-09,Comédie,60,Eric Fraticelli,Eric Fraticelli,"Didier Bourdon, Eric Fraticelli, Anne Consigny",France,Warner Bros. France,211995,1.8,2.5,136181.0,0.0,9.99,9.56,11.54,9.89,8.97,Spring,2022
l'assaut,2011-03-09,"Action, Policier, Thriller",60,Julien Leclercq,"Julien Leclercq, Simon Moutaïrou","Vincent Elbaz, Gregori Derangère, Mélanie Bernier",France,Mars Films,248721,2.8,3.4,2466274.0,0.0,10.21,9.05,10.86,10.79,10.37,Spring,2011
relatos salvajes,2015-01-14,"Comédie, Drame",120,Damián Szifron,Damián Szifron,"Ricardo Darín, Oscar Martinez, Leonardo Sbaraglia",Argentine,Warner Bros. France,160365,3.5,4.1,1262366.0,4000000.0,4.69,4.51,5.61,7.27,3.05,Winter,2015
now you see me,2013-07-31,"Thriller, Policier",120,Louis Leterrier,"Ed Solomon, Edward Ricourt","Jesse Eisenberg, Mark Ruffalo, Woody Harrelson",U.S.A.,SND,961911,2.3,3.9,1634682.0,75000000.0,25.13,21.94,24.87,25.05,22.8,Summer,2013
the cold light of day,2012-05-02,"Action, Thriller",60,Mabrouk el Mechri,"Scott Wiper, John Petro","Henry Cavill, Bruce Willis, Sigourney Weaver",U.S.A.,SND,94055,1.5,1.9,1047228.0,20000000.0,14.35,10.52,16.47,13.45,13.33,Spring,2012
moomios,2023-02-08,"Animation, Famille, Comédie, Aventure",60,Juan Jesús García Galocha,"Jordi Gasull, Javier López Barreira","Lou Jean, Ana Esther Alborg, Roser Aldabó Arnau",Espagne,Warner Bros. France,168937,3.7,3.4,85270.0,12300000.0,4.97,6.03,5.37,3.26,4.17,Winter,2023
l'odyssée,2016-10-12,"Biopic, Drame, Aventure",120,Jérôme Salle,"Jérôme Salle, Laurent Turner","Lambert Wilson, Pierre Niney, Audrey Tautou",France,Wild Bunch Distribution,445363,3.4,3.8,691415.0,20000000.0,18.71,11.45,15.47,13.92,11.73,Autumn,2016
wonder woman,2017-06-07,"Action, Aventure, Fantastique",120,Patty Jenkins,Allan Heinberg,"Gal Gadot, Chris Pine, Connie Nielsen",U.S.A.,Warner Bros. France,755369,3.1,3.7,402181.0,149000000.0,21.01,17.98,19.39,23.71,20.99,Summer,2017
a cure for wellness,2017-02-15,"Thriller, Fantastique",120,Gore Verbinski,Justin Haythe,"Dane DeHaan, Jason Isaacs, Mia Goth",U.S.A.,Twentieth Century Fox France,152375,3.2,3.2,989836.0,40000000.0,8.36,8.34,9.95,8.16,8.36,Winter,2017
murder on the orient express,2017-12-13,"Thriller, Policier",60,Kenneth Branagh,Michael Green,"Kenneth Branagh, Johnny Depp, Michelle Pfeiffer",U.S.A.,Twentieth Century Fox France,351400,2.8,3.2,684102.0,55000000.0,13.66,3.61,6.61,3.37,4.72,Winter,2017
127 hours,2011-02-23,"Drame, Thriller, Aventure, Biopic",60,Danny Boyle,"Danny Boyle, Simon Beaufoy","James Franco, Amber Tamblyn, Kate Mara",U.S.A.,Pathé,205262,3.2,3.9,2472418.0,18000000.0,6.74,5.24,7.57,5.46,7.42,Winter,2011
médecin de nuit,2021-06-16,Drame,60,Elie Wajeman,"Elie Wajeman, Agnès Feuvre","Vincent Macaigne, Pio Marmaï, Sara Giraudeau",France,Diaphana Distribution,41933,3.8,3.6,179212.0,0.0,21.59,17.69,21.26,23.35,21.63,Summer,2021
zhena chaikovskogo,2023-02-15,"Drame, Biopic",120,Kirill Serebrennikov,Kirill Serebrennikov,"Odin Lund Biron, Alyona Mikhailova, Filipp Avdeyev",Russie,Bac Films,79463,3.9,3.4,159116.0,0.0,8.3,7.73,9.41,8.59,8.79,Winter,2023
pourris gâtés,2021-09-15,Comédie,60,Nicolas Cuche,"Nicolas Cuche, Laurent Turner","Gérard Jugnot, Camille Lou,  Artus",France,Apollo Films,148506,2.8,2.6,304951.0,0.0,21.54,16.66,18.78,17.91,17.33,Autumn,2021
trenque lauquen parte i,2023-05-03,Drame,120,Laura Citarella,"Laura Citarella, Laura Paredes","Laura Paredes, Juliana Muras, Ezequiel Pierri",Argentine,Capricci Films,3847,4.2,3.6,79307.0,0.0,16.51,12.96,18.18,18.45,14.96,Spring,2023
resident evil: welcome to raccoon city,2021-11-24,"Action, Epouvante-horreur",60,Johannes Roberts,Johannes Roberts,"Kaya Scodelario, Hannah John-Kamen, Robbie Amell",Allemagne,Metropolitan FilmExport,110288,3.1,1.8,82115.0,25000000.0,12.68,4.89,5.33,2.41,3.75,Autumn,2021
13 hours : the secret soldiers of benghazi,2016-03-30,Action,120,Michael Bay,Chuck Hogan,"John Krasinski, James Badge Dale, Max Martini",U.S.A.,Paramount Pictures France,66792,3.0,3.8,557985.0,50000000.0,11.75,10.59,10.83,12.92,11.39,Spring,2016
blood father,2016-08-31,"Action, Thriller",60,Jean-François Richet,"Peter Craig, Andrea Berloff","Mel Gibson, Erin Moriarty, Diego Luna",France,SND,116159,3.1,2.9,1017008.0,13000000.0,23.3,17.83,22.19,21.77,19.71,Summer,2016
blacklight,2022-02-23,"Action, Thriller",60,Mark Williams (II),"Nick May, Mark Williams (II)","Liam Neeson, Aidan Quinn, Taylor John Smith",U.S.A.,Metropolitan FilmExport,83546,2.3,1.9,57914.0,43000000.0,7.53,6.17,10.24,6.77,6.47,Winter,2022
les souvenirs,2015-01-14,"Comédie, Drame",60,Jean-Paul Rouve,Jean-Paul Rouve,"Michel Blanc, Annie Cordy, Mathieu Spinosi",France,UGC Distribution,338176,3.6,3.7,830543.0,5300000.0,4.69,4.51,5.61,7.27,3.05,Winter,2015
pirates of the caribbean: dead men tell no tales,2017-05-24,"Aventure, Fantastique, Action",120,Joachim Rønning,"Espen Sandberg, Jeff Nathanson","Johnny Depp, Javier Bardem, Brenton Thwaites",U.S.A.,The Walt Disney Company France,1346594,2.8,3.4,952378.0,230000000.0,22.21,20.83,24.66,22.51,22.05,Spring,2017
bastille day,2016-07-13,Action,60,James Watkins,"Andrew Baldwin, James Watkins","Idris Elba, Richard Madden, Charlotte Le Bon",U.S.A.,StudioCanal,66161,3.3,2.4,232892.0,20000000.0,21.89,19.89,22.06,20.05,19.46,Summer,2016
enemy,2014-08-27,Thriller,60,Denis Villeneuve,Javier Gullón,"Jake Gyllenhaal, Mélanie Laurent, Sarah Gadon",Canada,Condor Distribution,99480,3.5,3.0,482104.0,0.0,21.85,17.03,19.88,18.74,18.6,Summer,2014
les rascals,2023-01-11,Drame,60,Jimmy Laporal-Tresor,"Jimmy Laporal-Tresor, Sébastien Birchler (II)","Jonathan Feltre, Angelina Woreth, Missoum Slimani",France,The Jokers / Les Bookmakers,22510,3.4,3.2,115602.0,0.0,6.76,7.36,9.68,6.79,7.95,Winter,2023
sicario,2015-10-07,"Thriller, Policier, Espionnage",120,Denis Villeneuve,Taylor Sheridan,"Emily Blunt, Benicio Del Toro, Josh Brolin",U.S.A.,Metropolitan FilmExport,178566,4.0,4.0,550521.0,30000000.0,17.5,9.51,13.01,12.25,11.73,Autumn,2015
miss peregrine's home for peculiar children,2016-10-05,"Aventure, Famille, Fantastique",120,Tim Burton,Jane Goldman,"Eva Green, Asa Butterfield, Samuel L. Jackson",U.S.A.,Twentieth Century Fox France,754984,3.7,3.8,1098553.0,110000000.0,16.67,8.98,13.73,9.54,11.09,Autumn,2016
120 battements par minute,2017-08-23,Drame,120,Robin Campillo,Robin Campillo,"Nahuel Perez Biscayart, Arnaud Valois, Adèle Haenel",France,Memento Distribution,220069,4.6,4.2,801870.0,6600000.0,25.22,20.66,21.96,26.69,22.8,Summer,2017
shazam!,2019-04-03,"Action, Fantastique",120,David F. Sandberg,Henry Gayden,"Zachary Levi, Asher Angel, Mark Strong",U.S.A.,Warner Bros. France,442839,2.9,3.1,792231.0,125000000.0,9.39,8.92,8.55,8.18,7.31,Spring,2019
looper,2012-10-31,"Science fiction, Action",60,Rian Johnson,Rian Johnson,"Bruce Willis, Joseph Gordon-Levitt, Emily Blunt",U.S.A.,SND,424568,3.9,3.7,3611405.0,30000000.0,15.92,7.31,11.61,9.71,6.97,Autumn,2012
the adjustment bureau,2011-03-23,"Science fiction, Romance",60,George Nolfi,George Nolfi,"Matt Damon, Emily Blunt, Michael Kelly",U.S.A.,Universal Pictures International France,294496,3.0,3.4,2113509.0,50200000.0,11.57,9.61,11.73,11.73,12.79,Spring,2011
sausage party,2016-11-30,"Comédie, Animation",60,Conrad Vernon,"Greg Tiernan, Seth Rogen, Evan Goldberg","Seth Rogen, Kristen Wiig, Nick Kroll",U.S.A.,Sony Pictures Releasing France,39915,3.6,2.6,704917.0,19000000.0,11.82,1.42,7.33,0.79,1.57,Autumn,2016
alceste à bicyclette,2013-01-16,Comédie,60,Philippe Le Guay,Philippe Le Guay,"Fabrice Luchini, Lambert Wilson, Maya Sansa",France,Pathé,301129,3.6,3.5,713841.0,0.0,0.16,-3.93,3.9,0.31,-2.46,Winter,2013
transformers: age of extinction,2014-07-16,"Action, Science fiction",120,Michael Bay,Ehren Kruger,"Mark Wahlberg, Stanley Tucci, Nicola Peltz",U.S.A.,Paramount Pictures France,1215124,2.7,2.8,2901427.0,210000000.0,23.57,20.86,21.78,22.28,23.92,Summer,2014
black swan,2011-02-09,"Drame, Thriller",60,Darren Aronofsky,"Mark Heyman, Andres Heinz","Natalie Portman, Mila Kunis, Vincent Cassel",U.S.A.,Twentieth Century Fox France,714315,4.2,4.2,4435314.0,13000000.0,7.16,7.86,7.32,6.21,8.42,Winter,2011
pleasure,2021-10-20,Drame,60,Ninja Thyberg,"Ninja Thyberg, Peter Modestij","Sofia Kappel, Revika Reustle, Evelyn Claire",Suède,The Jokers / Les Bookmakers,11214,3.5,3.4,214119.0,0.0,18.1,12.21,13.73,12.44,10.1,Autumn,2021
la passagère,2022-12-28,"Drame, Romance",60,Héloïse Pelloquet,"Héloïse Pelloquet, Rémi Brachet","Cécile de France, Félix Lefebvre, Grégoire Monsaingeon",France,Bac Films,35850,3.4,3.1,148933.0,0.0,19.01,9.8,12.42,9.95,10.89,Winter,2022
the broken circle breakdown,2013-08-28,Drame,60,Felix Van Groeningen,"Carl Joos, Felix Van Groeningen","Johan Heldenbergh, Veerle Baetens, Nell Cattrysse",Belgique,Bodega Films / Help! Distribution,4148,3.7,4.3,830768.0,0.0,21.79,18.57,20.21,16.93,18.26,Summer,2013
l'envol,2023-01-11,"Drame, Historique, Romance",60,Pietro Marcello,"Pietro Marcello, Maurizio Braucci","Juliette Jouan, Raphaël Thiéry, Noémie Lvovsky",France,Le Pacte,14978,3.2,3.5,120286.0,6750000.0,6.76,7.36,9.68,6.79,7.95,Winter,2023
missing,2023-02-22,"Thriller, Drame",60,Will Merrick (II),"Nicholas D. Johnson, Will Merrick (II), Nicholas D. Johnson","Storm Reid, Nia Long, Megan Suri",U.S.A.,Sony Pictures Releasing France,53919,2.3,3.3,16253.0,7000000.0,5.69,4.78,5.45,5.07,5.13,Winter,2023
babysitting 2,2015-12-02,Comédie,60,Nicolas Benamou,"Philippe Lacheau, Philippe Lacheau, Julien Arruti","Philippe Lacheau, Alice David, Vincent Desagnat",France,Universal Pictures International France,801212,2.2,3.4,973675.0,9458736.0,16.46,9.58,9.02,7.07,7.63,Winter,2015
under the silver lake,2018-08-08,"Thriller, Comédie",120,David Robert Mitchell,David Robert Mitchell,"Andrew Garfield, Riley Keough, Topher Grace",U.S.A.,Le Pacte,78781,3.9,3.1,472350.0,8500000.0,22.86,19.61,20.78,22.06,19.85,Summer,2018
underwater,2020-01-08,"Action, Thriller, Science fiction",60,William Eubank,"Adam Cozad, Brian Duffield","Kristen Stewart, T.J. Miller, Jessica Henwick",U.S.A.,The Walt Disney Company France,169125,2.6,2.5,244186.0,50000000.0,7.09,10.08,8.79,6.06,8.52,Winter,2020
à mon seul désir,2023-04-05,Drame,60,Lucie Borleteau,"Lucie Borleteau, Clara Bourreau","Zita Hanrot, Louise Chevillotte, Laure Giappiconi",France,Pyramide Distribution,9758,3.0,3.4,127256.0,0.0,11.62,9.04,12.94,11.34,10.78,Spring,2023
"beauty and the beast
",2017-03-22,"Fantastique, Romance, Comédie musicale",120,Bill Condon,"Evan Spiliotopoulos, Stephen Chbosky","Emma Watson, Dan Stevens, Luke Evans",U.S.A.,The Walt Disney Company France,1281588,3.1,3.8,892476.0,25000000.0,11.56,9.14,12.7,11.39,12.57,Spring,2017
sur la piste du marsupilami,2012-04-04,"Comédie, Aventure, Famille",60,Alain Chabat,"Alain Chabat, Jeremy Doner","Jamel Debbouze, Alain Chabat, Fred Testot",France,Pathé,1728270,3.8,2.3,4499249.0,50000000.0,10.41,7.33,11.45,10.46,8.8,Spring,2012
mission pays basque,2017-07-12,Comédie,60,Ludovic Bernard,"Michel Delgado, Eric Heumann","Élodie Fontan, Florent Peyre, Daniel Prévost",France,Paradis Films,74976,2.6,2.3,7091.0,0.0,22.56,19.99,20.98,23.37,20.47,Summer,2017
john wick: chapter 3 - parabellum,2019-05-22,Action,120,Chad Stahelski,"Derek Kolstad, Shay Hatten","Keanu Reeves, Ian McShane, Halle Berry",U.S.A.,Metropolitan FilmExport,336599,3.5,3.6,644429.0,55000000.0,16.92,14.19,15.82,17.22,16.37,Spring,2019
grave,2017-03-15,"Epouvante-horreur, Drame",60,Julia Ducournau,Julia Ducournau,"Garance Marillier, Ella Rumpf, Rabah Naït Oufella",France,Wild Bunch Distribution,62340,4.1,3.6,771979.0,3500000.0,11.86,11.86,11.65,13.44,11.37,Spring,2017
annette,2021-07-07,"Comédie musicale, Romance, Drame",120,Leos Carax,"Ron Mael, Russell Mael","Adam Driver, Marion Cotillard, Simon Helberg",France,UGC Distribution,66761,3.9,3.4,229159.0,15500000.0,20.32,18.34,19.48,18.88,17.9,Summer,2021
nightcrawler,2014-11-26,"Thriller, Drame",60,Dan Gilroy,Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Riz Ahmed",U.S.A.,Paramount Pictures France,187627,3.8,4.1,1146969.0,8500000.0,16.92,7.23,12.67,8.95,7.76,Autumn,2014
logan,2017-03-01,"Action, Science fiction",120,James Mangold,"James Mangold, Michael Green","Hugh Jackman, Patrick Stewart, Dafne Keen",U.S.A.,Twentieth Century Fox France,932601,3.9,4.1,1517032.0,97000000.0,8.42,7.21,10.45,7.56,7.88,Spring,2017
motherless brooklyn,2019-12-04,"Policier, Drame",120,Edward Norton,Edward Norton,"Edward Norton, Gugu Mbatha-Raw, Alec Baldwin",U.S.A.,Warner Bros. France,117270,3.8,3.7,398319.0,26000000.0,13.92,5.79,6.91,3.41,4.47,Winter,2019
gravity,2013-10-23,"Thriller, Aventure",60,Alfonso Cuarón,"Jonás Cuarón, Alfonso Cuarón","Sandra Bullock, George Clooney, Ed Harris",U.S.A.,Warner Bros. France,1493000,4.6,4.0,1068795.0,105000000.0,21.09,14.76,16.4,16.3,14.99,Autumn,2013
american sniper,2015-02-18,"Biopic, Guerre, Drame",120,Clint Eastwood,Jason Dean Hall,"Bradley Cooper, Sienna Miller, Luke Grimes",U.S.A.,Warner Bros. France,1083056,3.8,4.1,1622192.0,58800000.0,5.8,4.55,5.61,6.35,4.49,Winter,2015
jusqu'ici tout va bien,2019-02-27,Comédie,60,Mohamed Hamidi,"Khaled Amara, Mohamed Hamidi","Gilles Lellouche, Malik Bentalha, Sabrina Ouazani",France,Mars Films,280808,3.1,3.3,723151.0,9598644.0,10.17,9.54,12.8,8.66,10.83,Winter,2019
living,2022-12-28,Drame,60,Oliver Hermanus,Kazuo Ishiguro,"Bill Nighy, Aimee Lou Wood, Alex Sharp (II)",Grande-Bretagne,Metropolitan FilmExport,37725,3.7,3.7,138342.0,0.0,19.01,9.8,12.42,9.95,10.89,Winter,2022
aline,2021-11-10,"Drame, Biopic, Musical",120,Valérie Lemercier,"Valérie Lemercier, Brigitte Buc","Valérie Lemercier, Sylvain Marcel, Danielle Fichaud",France,Gaumont Distribution,595211,4.1,3.7,223690.0,25900000.0,14.89,7.41,10.6,5.83,5.63,Autumn,2021
the shallows,2016-08-17,"Thriller, Epouvante-horreur",60,Jaume Collet-Serra,Anthony Jaswinski,"Blake Lively, Angelo Lozano Corzo, Jose Manuel Trujillo Salas",U.S.A.,Sony Pictures Releasing France,260331,2.9,2.9,851169.0,17000000.0,23.15,20.36,20.67,22.1,19.62,Summer,2016
love,2015-07-15,"Erotique, Drame",120,Gaspar Noé,Gaspar Noé,"Karl Glusman, Aomi Muyock, Klara Kristin",France,Wild Bunch Distribution,16961,3.3,2.9,1578921.0,3000000.0,23.88,19.53,24.29,26.25,20.35,Summer,2015
benedetta,2021-07-09,"Drame, Historique, Romance",120,Paul Verhoeven,"Paul Verhoeven, David Birke","Virginie Efira, Charlotte Rampling, Daphne Patakia",France,Pathé,106776,3.5,3.0,284436.0,24350000.0,20.32,18.34,19.48,18.88,17.9,Summer,2021
a dog's purpose,2017-04-19,"Famille, Comédie dramatique",60,Lasse Hallström,"W. Bruce Cameron, Cathryn Michon","K.J. Apa, Britt Robertson, John Ortiz",U.S.A.,Metropolitan FilmExport,40700,2.8,4.0,260855.0,22000000.0,11.21,7.83,14.03,9.77,8.41,Spring,2017
southpaw,2015-07-22,Drame,120,Antoine Fuqua,Kurt Sutter,"Jake Gyllenhaal, Rachel McAdams, Forest Whitaker",U.S.A.,SND,233016,3.4,4.2,1888958.0,30000000.0,22.37,17.73,20.23,24.03,19.86,Summer,2015
pacific rim,2013-07-17,"Action, Aventure",120,Guillermo del Toro,"Travis Beacham, Guillermo del Toro","Charlie Hunnam, Idris Elba, Rinko Kikuchi",U.S.A.,Warner Bros. France,510094,3.4,3.5,605832.0,180000000.0,25.75,24.45,25.76,25.22,24.31,Summer,2013
la page blanche,2022-08-31,"Comédie, Romance",60,Murielle Magellan,Murielle Magellan,"Sara Giraudeau, Pierre Deladonchamps, Grégoire Ludig",France,SND,56502,3.4,3.4,64729.0,2800000.0,24.21,19.06,21.64,23.97,21.39,Summer,2022
cry macho,2021-11-10,"Drame, Western",60,Clint Eastwood,"N. Richard Nash, Nick Schenk","Clint Eastwood, Dwight Yoakam, Daniel V. Graulau",U.S.A.,Warner Bros. France,126797,3.1,2.6,243519.0,33000000.0,14.89,7.41,10.6,5.83,5.63,Autumn,2021
the great gatsby,2013-05-15,"Drame, Romance",120,Baz Luhrmann,"Craig Pearce, Baz Luhrmann","Leonardo DiCaprio, Tobey Maguire, Carey Mulligan",Australie,Warner Bros. France,760438,2.8,3.9,1191663.0,105000000.0,13.23,10.3,12.06,12.15,11.64,Spring,2013
limitless,2011-06-08,Thriller,60,Neil Burger,Leslie Dixon,"Bradley Cooper, Robert De Niro, Abbie Cornish",U.S.A.,Gaumont Distribution,931,3.0,3.9,1955990.0,27000000.0,17.56,14.15,15.86,18.73,16.06,Summer,2011
12 years a slave,2014-01-22,"Drame, Historique",120,Steve McQueen (II),John Ridley,"Chiwetel Ejiofor, Michael Fassbender, Benedict Cumberbatch",U.S.A.,Mars Films,375305,4.2,4.3,1053485.0,20000000.0,5.51,4.64,8.72,4.96,5.23,Winter,2014
tu choisiras la vie,2023-01-25,Drame,60,Stéphane Freiss,Stéphane Freiss,"Lou de Laâge, Riccardo Scamarcio, Pierre-Henry Salfati",France,JHR Films,12629,2.9,3.6,61989.0,0.0,3.85,4.78,5.29,1.31,3.88,Winter,2023
l'ombra di caravaggio,2022-12-28,"Biopic, Historique",60,Michele Placido,"Michele Placido, Sandro Petraglia","Riccardo Scamarcio, Louis Garrel, Isabelle Huppert",Italie,Le Pacte,95358,3.1,3.4,166202.0,5000000.0,19.01,9.8,12.42,9.95,10.89,Winter,2022
en avant,2020-03-04,"Animation, Fantastique",60,Dan Scanlon,"Dan Scanlon, Jason Headley","Thomas Solivérès, Tom Holland, Pio Marmaï",U.S.A.,The Walt Disney Company France,515381,3.6,3.9,375209.0,0.0,9.0,8.63,10.52,7.26,8.6,Spring,2020
the equalizer 2,2018-08-15,"Action, Drame",120,Antoine Fuqua,Richard Wenk,"Denzel Washington, Pedro Pascal, Bill Pullman",U.S.A.,Sony Pictures Releasing France,359680,2.5,3.6,399366.0,62000000.0,23.63,18.46,22.87,22.86,20.96,Summer,2018
un autre monde,2022-02-16,Drame,60,Stéphane Brizé,"Stéphane Brizé, Oliver Gorce","Vincent Lindon, Sandrine Kiberlain, Anthony Bajon",France,Diaphana Distribution,195408,4.1,4.0,182446.0,4900000.0,9.14,8.34,10.18,9.98,10.18,Winter,2022
unrueh,2023-04-12,Drame,60,Cyril Schäublin,Cyril Schäublin,"Clara Gostynski, Alexei Evstratov, Monika Stalder",Suisse,Shellac,3609,3.7,3.3,30005.0,0.0,11.13,8.03,12.42,10.19,9.99,Spring,2023
mother!,2017-09-13,Thriller,120,Darren Aronofsky,Darren Aronofsky,"Jennifer Lawrence, Javier Bardem, Ed Harris",U.S.A.,Paramount Pictures France,190141,2.8,2.8,682507.0,0.0,18.19,13.64,14.58,13.26,12.49,Autumn,2017
la dégustation,2022-08-31,"Comédie, Romance",60,Ivan Calbérac,Ivan Calbérac,"Isabelle Carré, Bernard Campan, Mounir Amamra",France,StudioCanal,110323,2.8,3.5,127285.0,0.0,24.21,19.06,21.64,23.97,21.39,Summer,2022
le sixième enfant,2022-09-28,Drame,60,Léopold Legrand,"Léopold Legrand, Catherine Paillé","Sara Giraudeau, Benjamin Lavernhe, Judith Chemla",France,Pyramide Distribution,40807,3.8,3.9,130300.0,3700000.0,18.97,11.02,17.17,15.74,11.94,Autumn,2022
morbius,2022-03-30,"Action, Fantastique, Aventure",60,Daniel Espinosa,"Burk Sharpless, Matt Sazama","Jared Leto, Matt Smith (XI), Adria Arjona",U.S.A.,Sony Pictures Releasing France,403848,2.3,2.3,206638.0,75000000.0,7.96,6.37,6.85,6.71,6.88,Spring,2022
les complices,2023-04-12,Comédie,60,Cecilia Rouaud,Cecilia Rouaud,"François Damiens, William Lebghil, Laura Felpin",France,SND,72930,3.2,2.8,85207.0,4450000.0,11.13,8.03,12.42,10.19,9.99,Spring,2023
knight and day,2010-07-28,"Comédie, Action",60,James Mangold,Patrick O'Neill,"Tom Cruise, Cameron Diaz, Peter Sarsgaard",U.S.A.,Twentieth Century Fox France,664322,2.9,3.0,3174535.0,117000000.0,22.26,17.72,21.35,22.03,20.18,Summer,2010
"mon chat et moi, la grande aventure de rroû",2023-04-05,"Aventure, Famille",60,Guillaume Maidatchevsky,"Guillaume Maidatchevsky, Michaël Souhaité","Capucine Sainson-Fabresse, Corinne Masiero, Lucie Laurent",France,Orange Studio Distribution / UGC Distribution,45873,2.7,3.5,47403.0,0.0,11.62,9.04,12.94,11.34,10.78,Spring,2023
moneyball,2011-11-16,"Drame, Biopic",120,Bennett Miller,"Steven Zaillian, Aaron Sorkin","Brad Pitt, Jonah Hill, Philip Seymour Hoffman",U.S.A.,Sony Pictures Releasing France,77846,4.0,3.9,1022148.0,50000000.0,16.28,5.18,12.63,9.56,8.02,Autumn,2011
transformers: dark of the moon,2011-06-29,"Science fiction, Action",120,Michael Bay,Ehren Kruger,"Shia LaBeouf, Rosie Huntington-Whiteley, Patrick Dempsey",U.S.A.,Paramount Pictures France,1315020,2.4,2.9,2835016.0,195000000.0,20.54,17.59,21.34,19.88,17.89,Summer,2011
pauline et françois,2010-09-22,"Drame, Romance",60,Renaud Fely,"Renaud Fely, Gaëlle Macé","Laura Smet, Yannick Renier, Léa Drucker",France,Haut et Court,13725,2.9,2.1,412002.0,0.0,18.23,11.77,16.54,13.23,11.61,Autumn,2010
lucy,2014-08-06,"Science fiction, Action",60,Luc Besson,Luc Besson,"Scarlett Johansson, Morgan Freeman, Min-sik Choi",France,EuropaCorp Distribution,1941424,2.7,2.9,1521040.0,40000000.0,21.72,17.94,20.75,20.15,17.76,Summer,2014
the impossible,2012-11-21,Drame,60,Juan Antonio Bayona,Sergio G. Sánchez,"Naomi Watts, Ewan McGregor, Tom Holland",U.S.A.,SND,223832,3.1,4.1,3347368.0,45000000.0,17.13,7.89,11.29,11.64,7.82,Autumn,2012
remember me,2010-04-07,"Drame, Romance",60,Allen Coulter,Will Fetters,"Robert Pattinson, Emilie de Ravin, Chris Cooper",U.S.A.,SND,219694,2.4,3.7,953183.0,16000000.0,11.45,10.31,13.35,9.71,9.88,Spring,2010
les choses humaines,2021-12-01,"Drame, Judiciaire",120,Yvan Attal,"Yaël Langmann, Yvan Attal","Charlotte Gainsbourg, Mathieu Kassovitz, Pierre Arditi",France,Gaumont Distribution,89353,3.1,3.8,156672.0,0.0,14.23,5.19,8.44,3.93,5.59,Winter,2021
akmareul boatda,2011-07-06,"Thriller, Drame",120,Kim Jee-Woon,Hoon-Jung Park,"Lee Byung-Hun, Min-sik Choi, Oh San-ha",Corée du Sud,ARP Sélection,11192,4.2,4.3,537278.0,0.0,21.6,16.93,20.32,23.91,19.86,Summer,2011
spider-man: homecoming,2017-07-12,"Action, Aventure",120,Jon Watts,"Jon Watts, Christopher Ford","Tom Holland, Michael Keaton, Robert Downey Jr.",U.S.A.,Sony Pictures Releasing France,981189,3.5,3.5,851136.0,175000000.0,22.56,19.99,20.98,23.37,20.47,Summer,2017
pauline détective,2012-10-03,"Comédie, Policier, Romance",60,Marc Fitoussi,Marc Fitoussi,"Sandrine Kiberlain, Audrey Lamy, Claudio Santamaria",France,Haut et Court,63810,3.0,2.3,905210.0,0.0,20.7,12.48,18.44,18.4,14.19,Autumn,2012
problemos,2017-05-10,Comédie,60,Eric Judor,"Noé Debré, Blanche Gardin","Eric Judor, Célia Rosich, Michel Nabokov",France,StudioCanal,96600,3.3,2.7,523082.0,0.0,17.62,18.22,18.74,14.57,17.59,Spring,2017
"saules aveugles, femme endormie",2023-03-22,"Animation, Drame, Science fiction",60,Pierre Foldes,Pierre Foldes,"Amaury de Crayencour, Mathilde Auneveux, Arnaud Maillard",France,Gebeka Films,4758,3.2,3.4,58362.0,6900000.0,11.13,8.32,12.74,11.92,10.68,Spring,2023
baywatch,2017-06-21,"Comédie, Action",60,Seth Gordon,"Damian Shannon, Mark Swift","Dwayne Johnson, Zac Efron, Alexandra Daddario",U.S.A.,Paramount Pictures France,620061,1.8,2.7,791756.0,69000000.0,23.09,18.57,23.09,26.55,22.26,Summer,2017
the mummy,2017-06-14,"Fantastique, Aventure, Epouvante-horreur",60,Alex Kurtzman,"David Koepp, Christopher McQuarrie","Tom Cruise, Sofia Boutella, Annabelle Wallis",U.S.A.,Universal Pictures International France,474305,2.3,2.4,375426.0,80000000.0,23.82,22.16,25.25,23.82,23.86,Summer,2017
agassi,2016-11-01,"Drame, Romance",120,Park Chan-Wook,"Park Chan-Wook, Seo-kyeong Jeong","Kim Min-Hee, Tae-ri Kim, Jung-woo Ha",Corée du Sud,The Jokers / Bac Films,13099,3.8,4.2,348874.0,5000.0,17.45,9.6,12.13,11.09,11.43,Autumn,2016
"gubbai, don gurîzu!",2023-01-18,"Animation, Action, Aventure",60,Atsuko Ishizuka,Atsuko Ishizuka,"Natsuki Hanae, Yûki Kaji, Ayumu Murase",Japon,Eurozoom,5279,3.2,3.0,6545.0,0.0,1.73,1.7,1.29,0.82,1.84,Winter,2023
