title,release_date,genre,duration,director,producers,cast,nationality,distributor,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris,season,year
il sol dell’avvenire,2023-06-28,"Comédie dramatique, Drame, Comédie",60,Nanni Moretti,"Francesca Marciano, Nanni Moretti","Nanni Moretti, Margherita Buy, Silvio Orlando",Italie,Le Pacte,91786,3.9,3.3,100764.0,13266839.0,21.36,17.9,21.61,20.88,20.43,Summer,2023
the gentlemen,2020-02-05,"Policier, Action",60,Guy Ritchie,Guy Ritchie,"Matthew McConaughey, Hugh Grant, Charlie Hunnam",U.S.A.,SND,238040,3.5,4.1,877638.0,22000000.0,7.78,6.76,9.5,9.12,7.54,Winter,2020
insidious: the red door,2023-07-05,"Epouvante-horreur, Fantastique",60,Patrick Wilson,Scott Teems,"Patrick Wilson, Rose Byrne, Ty Simpkins",U.S.A.,Sony Pictures Releasing France,306107,2.1,2.2,49967.0,16000000.0,24.36,22.71,22.21,28.09,21.78,Summer,2023
sisu,2023-06-21,"Action, Guerre",60,Jalmari Helander,Jalmari Helander,"Jorma Tommila, Aksel Hennie, Jack Doolan",Finlande,SND,44625,2.7,3.3,186480.0,6200000.0,22.47,22.09,22.19,22.08,21.01,Summer,2023
farang,2023-06-28,Action,60,Xavier Gens,"Xavier Gens, Magali Rossito","Nassim Lyes, Loryn Nounay, Olivier Gourmet",France,StudioCanal,79426,3.4,3.7,222289.0,4920000.0,21.36,17.9,21.61,20.88,20.43,Summer,2023
il boemo,2023-06-21,"Biopic, Historique",120,Petr Vaclav,Petr Vaclav,"Vojtěch Dyk, Barbara Ronchi, Elena Radonicich",République tchèque,Nour Films,34803,4.0,4.0,77006.0,0.0,22.47,22.09,22.19,22.08,21.01,Summer,2023
en los márgenes,2023-07-05,Thriller,60,Juan Diego Botto,"Juan Diego Botto, Olga Rodríguez","Penélope Cruz, Luis Tosar, Christian Checa",Espagne,Condor Distribution,28720,3.6,3.5,210219.0,0.0,24.36,22.71,22.21,28.09,21.78,Summer,2023
une nuit,2023-07-05,"Romance, Drame",60,Alex Lutz,"Alex Lutz, Karin Viard","Alex Lutz, Karin Viard, Jérôme Pouly",France,StudioCanal,58679,3.2,3.3,161212.0,0.0,24.36,22.71,22.21,28.09,21.78,Summer,2023
asteroid city,2023-06-21,Comédie dramatique,60,Wes Anderson,Wes Anderson,"Jason Schwartzman, Scarlett Johansson, Tom Hanks",U.S.A.,Universal Pictures International France,117498,3.3,3.0,145667.0,25000000.0,22.47,22.09,22.19,22.08,21.01,Summer,2023
spider-man: across the spider-verse,2023-05-31,"Animation, Action, Fantastique, Aventure",120,Joaquim Dos Santos,"Kemp Powers, Justin Thompson, Phil Lord, Christopher Miller","Stéphane Bak, Shameik Moore, Shirine Boutella",U.S.A.,Sony Pictures Releasing France,550808,4.1,4.5,317420.0,100000000.0,20.18,16.62,22.32,19.9,20.05,Spring,2023
miraculous - le film,2023-07-05,"Animation, Action, Aventure, Comédie musicale",60,Jeremy Zag,"Jeremy Zag, Bettina López Mendoza","Anouck Hautbois, Benjamin Bollen, Antoine Tomé",France,SND,660421,2.7,2.7,177900.0,86000000.0,24.36,22.71,22.21,28.09,21.78,Summer,2023
elemental,2023-06-21,"Animation, Comédie, Famille",60,Peter Sohn,"John Hoberg, Kat Likkel","Adèle Exarchopoulos, Leah Lewis, Vincent Lacoste",U.S.A.,The Walt Disney Company France,426818,3.5,3.9,93927.0,200000000.0,22.47,22.09,22.19,22.08,21.01,Summer,2023
indiana jones and the dial of destiny,2023-06-28,"Action, Aventure",120,James Mangold,"James Mangold, John-Henry Butterworth","Harrison Ford, Phoebe Waller-Bridge, Mads Mikkelsen",U.S.A.,The Walt Disney Company France,1089875,3.5,3.6,291164.0,300000000.0,21.36,17.9,21.61,20.88,20.43,Summer,2023
dragon ball super: super hero,2022-10-05,"Animation, Arts Martiaux, Action, Fantastique",60,Tetsuro Kodama,Akira Toriyama,"Patrick Borg, Masako Nozawa, Mark Lesser",Japon,Sony Pictures Releasing France,218070,3.0,2.7,153338.0,0.0,19.84,13.26,17.92,14.62,13.38,Autumn,2022
les misérables,2019-11-20,"Policier, Drame",60,Ladj Ly,"Ladj Ly, Giordano Gederlini","Damien Bonnard, Alexis Manenti, Djebril Zonga",France,Le Pacte,559378,4.3,4.0,1555406.0,0.0,15.65,5.39,9.31,7.99,8.56,Autumn,2019
normale,2023-04-05,"Comédie dramatique, Drame, Comédie",60,Olivier Babinet,"Olivier Babinet, Juliette Sales","Benoît Poelvoorde, Justine Lacroix, Joseph Rozé",France,Haut et Court,12196,3.6,3.2,104368.0,4000000.0,11.62,9.04,12.94,11.34,10.78,Spring,2023
ant-man and the wasp: quantumania,2023-02-15,"Action, Aventure, Science fiction",120,Peyton Reed,Jeff Loveness,"Paul Rudd, Evangeline Lilly, Michael Douglas",U.S.A.,The Walt Disney Company France,735356,2.3,2.5,281289.0,200000000.0,8.3,7.73,9.41,8.59,8.79,Winter,2023
