,genre,duration,nationality,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris,season,is_holiday,proportion_stars_actors,proportion_stars_producers,proportion_stars_director,distributor_avg_frequency
720,"Thriller, Biopic",135,U.S.A.,48634,3.3,4.0,795332.0,40000000.0,17.45,9.6,12.13,11.09,11.43,Autumn,True,0.33,0.0,0,156.0
721,Drame,140,U.S.A.,288645,1.7,2.5,710876.0,60000000.0,18.23,11.77,16.54,13.23,11.61,Autumn,False,0.67,0.0,0,154.0
722,Thriller,99,U.S.A.,300315,2.5,3.2,409616.0,9000000.0,10.17,9.54,12.8,8.66,10.83,Winter,True,0.0,0.0,0,154.0
723,"Drame, Famille",111,U.S.A.,82140,3.0,4.2,621847.0,20000000.0,16.22,8.16,6.65,6.71,8.58,Winter,False,0.33,0.0,0,258.0
724,Drame,103,France,123605,3.8,4.1,647118.0,0.0,14.72,5.1,10.02,6.44,6.05,Autumn,False,0.33,0.0,0,79.0
725,"Animation, Drame, Historique, Biopic",127,Japon,258144,4.2,4.1,919625.0,0.0,5.51,4.64,8.72,4.96,5.23,Winter,False,0.0,1.0,1,114.0
726,"Thriller, Action, Drame",120,U.S.A.,193402,2.9,3.1,248835.0,34000000.0,27.13,26.75,25.47,24.46,26.97,Summer,True,0.67,0.0,0,258.0
727,Drame,85,France,100254,4.0,4.0,212962.0,3000000.0,11.49,11.2,13.85,10.93,10.45,Spring,False,0.33,0.0,0,95.0
728,Romance,114,France,152312,3.6,3.9,179713.0,5800000.0,6.54,6.23,8.06,5.6,7.83,Winter,False,0.33,0.0,0,127.0
729,"Action, Fantastique, Science fiction",124,U.S.A.,1254628,3.2,3.5,538954.0,152000000.0,9.57,8.39,10.21,9.97,9.27,Spring,True,1.0,0.0,0,114.0
730,"Thriller, Drame, Policier",92,Tunisie,12336,3.7,3.1,59362.0,0.0,3.85,4.78,5.29,1.31,3.88,Winter,False,0.0,0.0,0,64.0
731,Comédie,101,France,852098,3.0,1.8,273483.0,0.0,14.54,6.53,8.22,2.86,6.08,Winter,False,0.33,0.0,0,156.0
732,Drame,116,France,18993,3.5,3.5,16057.0,3900000.0,5.72,7.46,5.88,4.49,5.76,Winter,False,0.0,0.0,0,127.0
733,Drame,99,Italie,91906,3.2,3.3,38209.0,0.0,6.76,7.36,9.68,6.79,7.95,Winter,False,0.33,0.0,0,156.0
734,Epouvante-horreur,94,U.S.A.,147220,3.4,3.1,469381.0,5000000.0,17.5,9.51,13.01,12.25,11.73,Autumn,False,0.0,1.0,1,243.0
735,"Action, Policier",93,France,193422,2.3,2.9,1388174.0,0.0,22.57,19.55,21.62,19.53,18.17,Summer,True,0.33,0.0,0,142.0
736,"Science fiction, Aventure",142,U.S.A.,2420710,3.1,3.0,599650.0,250000000.0,18.45,8.5,11.69,11.52,9.55,Winter,False,1.0,0.0,0,114.0
737,"Comédie, Romance",103,France,15360,3.1,3.7,123557.0,2300000.0,17.67,8.97,12.88,12.11,9.4,Autumn,False,0.0,0.0,0,158.0
738,Drame,97,U.S.A.,58554,2.8,4.0,753666.0,0.0,-2.57,-4.89,-2.12,-6.15,-4.69,Winter,False,0.0,0.0,0,23.0
739,"Comédie, Action",108,U.S.A.,1575661,3.1,4.0,1355934.0,58000000.0,4.8,2.57,7.1,4.52,3.83,Winter,True,0.67,0.0,0,165.0
740,"Aventure, Comédie dramatique",114,U.S.A.,427049,3.2,3.9,939293.0,90000000.0,8.27,9.93,11.27,9.92,9.23,Winter,True,0.0,0.0,0,165.0
741,"Drame, Biopic",123,U.S.A.,149696,4.1,4.3,531165.0,38000000.0,21.98,14.18,20.16,18.91,17.64,Autumn,False,0.33,0.0,0,156.0
742,Action,136,U.S.A.,1131141,2.8,2.8,414895.0,340000000.0,22.26,18.96,19.69,20.95,19.72,Summer,True,1.0,0.0,0,243.0
743,"Fantastique, Drame, Romance",123,U.S.A.,334932,4.1,3.8,1359195.0,19500000.0,1.66,-0.82,2.86,-1.67,-0.07,Winter,True,0.0,0.5,1,165.0
744,"Action, Aventure",130,U.S.A.,630649,3.2,3.8,716805.0,160000000.0,24.5,18.45,26.77,26.07,24.19,Summer,False,1.0,0.0,0,154.0
745,"Thriller, Policier",110,France,157787,2.8,3.1,717583.0,0.0,19.04,13.39,16.46,14.86,13.49,Autumn,False,0.67,0.0,0,142.0
746,"Guerre, Drame, Comédie",108,U.S.A.,132054,3.1,3.9,457715.0,14000000.0,9.49,7.61,13.45,10.52,10.87,Winter,False,0.33,0.0,0,165.0
747,"Aventure, Action, Science fiction",125,U.S.A.,2087959,2.9,3.5,893984.0,150000000.0,19.74,18.5,17.08,19.92,19.22,Summer,False,0.67,0.0,0,243.0
748,"Biopic, Drame",123,Grande-Bretagne,97907,3.3,4.2,556108.0,15000000.0,2.6,1.92,2.85,1.93,2.31,Winter,False,0.67,0.0,0,243.0
749,"Comédie, Romance",109,Grande-Bretagne,30113,3.2,3.2,124125.0,0.0,10.44,6.41,12.82,10.73,12.23,Spring,False,0.33,0.0,0,161.0
750,Drame,102,Ukraine,17829,3.8,3.9,117222.0,0.0,18.55,10.88,14.88,11.93,11.05,Autumn,True,0.0,0.0,0,55.0
751,"Action, Espionnage, Thriller",143,Grande-Bretagne,1839220,4.0,4.2,13541875.0,200000000.0,14.24,7.23,7.44,4.88,8.64,Autumn,False,0.67,0.0,0,154.0
752,"Drame, Epouvante-horreur, Romance",130,Italie,38761,3.2,3.3,44915.0,18000000.0,15.98,7.59,9.56,7.65,8.09,Autumn,False,0.33,0.0,0,184.0
753,"Drame, Science fiction, Thriller",165,Allemagne,202952,3.4,3.9,1273011.0,102000000.0,5.42,3.39,5.06,5.77,1.86,Spring,True,0.33,0.0,0,184.0
754,Drame,89,Pologne,47210,4.2,3.5,167146.0,0.0,22.34,14.78,18.99,19.03,16.89,Autumn,False,0.0,0.0,0,116.0
755,Drame,114,Belgique,53677,3.9,3.5,204935.0,0.0,19.28,12.93,16.04,14.36,14.09,Autumn,False,0.33,0.0,0,70.0
756,"Drame, Thriller",98,France,101574,2.8,2.6,309299.0,0.0,15.48,7.63,9.53,6.14,9.11,Autumn,False,0.33,0.0,0,150.0
757,"Drame, Historique",126,Grande-Bretagne,181353,3.3,3.8,154329.0,40000000.0,14.03,13.35,14.83,13.08,11.91,Spring,True,0.0,0.0,0,243.0
758,"Thriller, Fantastique",130,U.S.A.,539113,3.6,3.5,823163.0,20000000.0,2.81,1.55,6.02,2.25,1.22,Winter,False,1.0,1.0,1,114.0
759,"Biopic, Drame",128,U.S.A.,158301,4.0,4.1,415644.0,20000000.0,7.25,5.64,9.58,6.11,5.94,Winter,True,0.33,0.0,0,207.0
760,Comédie,84,France,205528,3.2,1.3,355837.0,6438600.0,27.13,26.75,25.47,24.46,26.97,Summer,True,0.0,0.0,0,142.0
761,"Comédie, Drame, Romance",120,France,126787,3.4,4.0,794295.0,0.0,10.4,9.35,12.94,10.68,9.02,Spring,False,0.0,0.0,0,207.0
762,"Aventure, Comédie",124,U.S.A.,785636,2.7,3.2,481654.0,125000000.0,13.92,5.79,6.91,3.41,4.47,Winter,False,0.67,0.0,0,154.0
763,Comédie,105,France,214219,2.8,2.5,913449.0,0.0,10.3,7.55,11.28,11.08,8.57,Spring,False,0.0,0.0,0,142.0
764,"Aventure, Science fiction, Action",128,U.S.A.,1396911,3.3,3.3,789534.0,170000000.0,20.66,18.2,19.51,22.88,19.73,Summer,False,0.67,0.0,0,243.0
765,"Aventure, Science fiction",111,U.S.A.,331767,2.6,2.4,529866.0,150000000.0,7.94,5.89,7.84,5.69,8.29,Spring,False,0.33,0.0,0,243.0
766,Drame,108,France,45026,2.6,2.4,300470.0,13600000.0,18.32,13.15,13.77,12.04,12.63,Autumn,False,0.67,0.0,0,70.0
767,"Action, Aventure, Science fiction",124,U.S.A.,444480,3.3,3.5,1791048.0,140000000.0,25.03,19.16,23.61,26.64,22.72,Summer,True,0.33,0.0,0,107.0
768,"Thriller, Epouvante-horreur",123,U.S.A.,259097,3.8,3.8,1108423.0,20000000.0,10.39,-2.61,3.62,-0.34,-1.73,Winter,True,0.0,0.0,0,184.0
769,"Comédie dramatique, Comédie, Drame",120,Italie,65389,3.2,3.5,131032.0,0.0,14.89,7.41,10.6,5.83,5.63,Autumn,False,0.0,0.0,0,207.0
770,"Thriller, Policier",119,Grande-Bretagne,121112,1.7,2.1,451314.0,35000000.0,11.88,2.74,3.74,1.64,3.3,Autumn,False,1.0,0.0,0,243.0
771,"Epouvante-horreur, Thriller",96,U.S.A.,233242,2.9,3.0,495125.0,6000000.0,22.88,16.61,20.11,22.01,20.65,Summer,True,0.0,0.0,0,165.0
772,Epouvante-horreur,87,France,121393,1.6,1.1,61132.0,2400000.0,21.41,19.26,18.44,22.0,21.37,Summer,False,0.0,1.0,0,43.0
773,Action,123,U.S.A.,201953,3.1,3.8,500500.0,40000000.0,8.41,7.67,9.91,9.28,7.2,Winter,True,0.33,0.0,0,258.0
774,"Comédie, Romance",105,France,1167598,4.0,3.8,2842444.0,8700000.0,11.19,11.11,11.8,10.59,11.43,Spring,False,0.33,0.0,0,243.0
775,"Comédie dramatique, Drame, Comédie",116,Grande-Bretagne,38711,2.5,3.5,145266.0,0.0,18.55,10.88,14.88,11.93,11.05,Autumn,True,0.67,0.0,0,243.0
776,"Policier, Thriller",158,U.S.A.,477509,3.8,4.0,2477828.0,13000000.0,6.45,6.13,9.87,5.96,7.28,Winter,False,0.33,0.0,1,154.0
777,Comédie,111,France,406295,3.8,3.7,1452792.0,0.0,12.73,3.73,5.72,2.52,3.67,Autumn,False,0.33,0.0,0,150.0
778,"Drame, Comédie",128,Norvège,67515,4.2,3.9,171905.0,5000000.0,17.37,13.14,12.33,9.73,10.64,Autumn,False,0.0,0.0,0,76.0
779,"Comédie, Animation, Famille",94,U.S.A.,191223,2.5,2.5,155460.0,90000000.0,22.41,16.85,22.89,22.95,21.37,Summer,True,0.33,0.0,0,184.0
780,"Drame, Biopic, Judiciaire",129,U.S.A.,58007,3.6,3.8,137968.0,32000000.0,15.98,7.59,9.56,7.65,8.09,Autumn,False,0.0,0.0,0,243.0
781,"Action, Fantastique, Aventure",115,U.S.A.,895181,3.0,3.4,2289075.0,150000000.0,14.9,13.65,16.97,14.49,12.38,Spring,True,1.0,0.0,1,107.0
782,Epouvante-horreur,111,U.S.A.,187689,2.7,2.0,66000.0,20000000.0,21.78,16.39,18.83,17.76,14.91,Autumn,False,0.0,0.0,0,243.0
783,"Thriller, Policier, Drame, Epouvante-horreur",156,Corée du Sud,17103,4.1,3.9,439989.0,10951000.0,21.36,18.16,20.1,21.55,19.97,Summer,True,0.0,0.0,0,258.0
784,"Drame, Biopic, Comédie",120,U.S.A.,71074,3.5,4.0,385449.0,11000000.0,1.66,-0.82,2.86,-1.67,-0.07,Winter,True,0.33,0.0,0,150.0
785,"Biopic, Drame",153,Italie,130197,4.3,4.1,412659.0,0.0,18.38,9.49,14.07,13.45,10.91,Autumn,True,0.0,0.0,0,129.0
786,"Epouvante-horreur, Drame, Romance",119,U.S.A.,156318,3.4,3.6,449683.0,55000000.0,15.22,9.18,9.36,6.29,9.28,Autumn,False,0.67,0.5,1,243.0
787,"Comédie, Romance",99,France,278901,2.8,3.0,814800.0,10000000.0,17.51,19.03,16.76,17.11,16.66,Spring,False,0.67,0.0,0,124.0
788,Comédie,106,France,972689,3.7,3.8,2794785.0,11000000.0,16.13,9.11,7.31,4.3,8.94,Winter,False,0.67,0.0,0,150.0
789,Drame,131,U.S.A.,133424,4.3,3.8,573737.0,35000000.0,6.09,4.13,9.91,4.75,4.65,Winter,True,0.0,0.0,0,243.0
790,"Comédie, Action, Aventure",112,U.S.A.,317713,2.7,2.4,118119.0,74000000.0,13.17,11.85,12.6,12.55,12.86,Spring,True,1.0,0.0,0,107.0
791,"Comédie, Drame",100,France,45250,3.3,2.3,134039.0,7940000.0,7.59,9.36,9.92,8.83,8.83,Winter,False,0.33,0.0,0,161.0
792,"Comédie, Drame",102,U.S.A.,217940,2.3,2.9,462013.0,20000000.0,20.59,13.48,15.21,13.37,15.9,Autumn,False,0.33,0.0,0,142.0
793,"Thriller, Espionnage",141,U.S.A.,331963,2.8,3.6,728123.0,69000000.0,13.03,12.87,12.19,14.55,11.53,Spring,False,0.67,0.0,0,165.0
794,Comédie,61,France,283,1.8,4.1,21650.0,0.0,22.96,15.85,19.56,18.61,17.76,Autumn,True,0.0,0.0,0,1.0
795,Comédie,84,France,77098,2.7,1.8,163664.0,0.0,23.55,18.62,22.11,20.1,20.92,Autumn,False,0.0,0.0,0,207.0
796,"Animation, Famille, Aventure, Comédie",86,U.S.A.,459566,3.0,2.8,71739.0,26000000.0,24.11,21.36,21.35,22.83,23.0,Summer,True,0.0,0.0,0,107.0
797,Drame,138,U.S.A.,108185,4.5,4.2,383370.0,9000000.0,13.47,6.02,6.05,0.57,4.73,Winter,False,0.0,0.0,0,243.0
798,"Comédie, Policier",87,France,508815,2.4,2.2,510133.0,13000000.0,17.02,10.53,12.04,10.03,10.49,Autumn,False,0.33,0.0,0,161.0
799,"Policier, Drame",111,France,190185,3.7,3.2,720831.0,5100000.0,16.96,8.61,11.61,9.5,9.08,Autumn,False,0.67,0.0,0,8.0
800,"Comédie, Drame",105,France,17696,3.5,3.2,251769.0,0.0,14.72,8.09,8.16,5.36,5.98,Autumn,False,0.0,0.0,0,49.0
801,"Animation, Romance",108,Lettonie,402,3.4,2.9,36013.0,0.0,22.29,23.93,21.05,21.23,22.24,Summer,False,0.0,0.0,0,17.0
802,"Action, Epouvante-horreur, Thriller",118,Corée du Sud,112016,4.0,4.1,467020.0,8500000.0,23.15,20.36,20.67,22.1,19.62,Summer,True,0.0,0.0,0,116.0
803,"Action, Comédie",101,France,155104,3.6,3.5,492908.0,0.0,23.63,18.46,22.87,22.86,20.96,Summer,True,0.33,0.0,0,161.0
804,"Comédie dramatique, Drame, Comédie",109,France,100494,3.4,3.5,168436.0,0.0,20.8,15.93,18.81,16.16,15.09,Autumn,False,0.33,1.0,1,127.0
805,Drame,85,France,5849,2.9,3.1,62230.0,2000000.0,4.97,6.03,5.37,3.26,4.17,Winter,True,0.0,0.0,0,158.0
806,"Aventure, Action, Science fiction",135,U.S.A.,3801235,4.0,3.6,109861.0,245000000.0,19.66,11.99,12.07,10.77,12.47,Winter,False,0.67,0.0,0,114.0
807,"Biopic, Drame",134,U.S.A.,124104,3.9,4.0,542094.0,10000000.0,8.29,6.28,8.67,11.04,8.48,Winter,True,0.67,0.0,0,150.0
808,Comédie dramatique,91,France,29604,2.9,3.0,221605.0,0.0,21.42,17.05,17.26,19.39,18.38,Summer,True,0.67,0.0,0,3.0
809,"Action, Fantastique",132,U.S.A.,481173,3.3,3.8,281289.0,150000000.0,23.82,17.19,22.03,23.9,20.96,Autumn,False,0.0,0.0,0,114.0
810,"Fantastique, Romance",104,U.S.A.,636418,3.0,3.5,816099.0,2900000.0,9.56,8.55,10.58,9.08,6.6,Spring,False,1.0,0.0,1,114.0
811,"Drame, Biopic",116,U.S.A.,659999,4.1,4.0,814133.0,50000000.0,3.97,2.54,6.74,2.28,4.27,Winter,False,0.67,0.0,1,184.0
812,"Fantastique, Aventure",169,U.S.A.,1434119,3.2,4.2,6305602.0,250000000.0,14.82,3.41,8.93,6.8,4.94,Winter,False,0.0,0.0,0,184.0
813,"Comédie dramatique, Romance",112,France,24084,3.4,3.1,128533.0,0.0,7.53,6.17,10.24,6.77,6.47,Winter,True,0.33,0.0,0,76.0
814,Comédie,87,U.S.A.,645681,3.0,3.1,5370713.0,12000000.0,10.4,8.8,10.61,10.37,11.24,Spring,False,0.0,0.0,0,184.0
815,Drame,97,France,150419,2.8,2.9,75594.0,6200000.0,25.82,22.64,24.36,24.41,23.67,Summer,True,0.67,0.0,0,116.0
816,Comédie dramatique,142,Suède,125709,3.2,3.3,577305.0,0.0,19.64,12.55,14.64,15.65,13.34,Autumn,False,0.33,0.0,0,86.0
817,Comédie,88,France,1037269,2.2,2.2,204144.0,12000000.0,13.21,12.15,13.44,11.49,12.99,Spring,True,0.33,0.0,0,139.0
818,Drame,159,Iran,41242,4.0,4.1,136334.0,0.0,25.82,22.64,24.36,24.41,23.67,Summer,True,0.0,0.0,0,134.0
819,"Comédie, Drame",118,France,626789,3.2,4.1,1383294.0,0.0,13.7,6.43,7.08,1.66,4.31,Winter,False,0.67,0.0,0,150.0
820,"Aventure, Famille",99,U.S.A.,771015,2.0,2.7,324442.0,110000000.0,8.92,7.49,10.26,9.22,10.62,Winter,True,0.33,0.0,0,107.0
821,"Epouvante-horreur, Thriller",88,U.S.A.,124734,3.6,3.8,490576.0,9900000.0,16.67,8.98,13.73,9.54,11.09,Autumn,False,0.0,0.0,0,154.0
822,"Aventure, Famille",113,France,311729,3.3,4.0,713801.0,0.0,21.48,15.48,17.58,17.32,16.02,Autumn,False,0.33,0.0,0,142.0
823,"Epouvante-horreur, Thriller",103,U.S.A.,136339,3.2,3.5,134958.0,17000000.0,20.25,17.73,18.54,20.51,19.48,Summer,False,0.33,0.0,0,243.0
824,Epouvante-horreur,134,U.S.A.,742528,3.5,4.1,662084.0,40000000.0,20.41,17.3,19.65,21.29,17.83,Summer,False,0.0,0.0,0,184.0
825,"Drame, Historique",122,France,105099,4.0,4.0,512125.0,5740000.0,21.56,16.36,19.51,17.08,16.84,Autumn,False,0.33,0.0,0,158.0
826,"Action, Arts Martiaux, Aventure",130,Hong-Kong,12831,3.3,2.7,10987.0,0.0,14.3,12.55,13.83,13.9,12.2,Spring,False,0.0,0.0,0,83.0
827,"Guerre, Biopic, Drame",137,U.S.A.,242804,3.0,4.0,932004.0,65000000.0,6.57,8.0,9.06,6.04,7.74,Winter,False,0.0,0.0,1,243.0
828,Comédie,89,Belgique,139186,3.0,2.6,465005.0,6861490.0,19.0,17.29,18.32,18.93,18.45,Spring,False,0.33,0.5,1,161.0
829,Comédie,88,France,255033,3.1,1.4,651825.0,0.0,4.8,2.57,7.1,4.52,3.83,Winter,True,0.67,0.5,0,5.0
830,"Action, Thriller",100,U.S.A.,218906,2.5,3.6,873500.0,22000000.0,6.53,5.88,10.36,8.06,6.35,Winter,False,1.0,1.0,0,134.0
831,"Comédie, Aventure",100,France,521424,2.4,2.5,2943702.0,0.0,22.31,16.53,20.04,19.56,17.43,Autumn,False,0.67,0.0,0,150.0
832,Drame,90,U.S.A.,171401,3.1,2.5,492508.0,15000000.0,19.69,17.56,17.83,22.34,16.72,Summer,False,0.33,0.0,0,156.0
833,Drame,110,France,388293,3.5,3.8,131426.0,35000000.0,11.49,11.2,13.85,10.93,10.45,Spring,False,0.0,0.0,0,156.0
834,"Aventure, Animation, Action, Famille",107,U.S.A.,3158313,3.5,3.7,2911152.0,130000000.0,18.38,12.3,12.69,13.35,10.54,Autumn,True,0.0,0.0,1,154.0
835,Comédie,94,France,78636,2.7,2.3,829623.0,0.0,5.4,5.33,6.59,5.36,4.7,Winter,False,0.67,0.0,0,156.0
836,Drame,100,France,35572,3.6,2.9,165506.0,4600000.0,11.13,8.03,12.42,10.19,9.99,Spring,True,0.0,0.0,0,129.0
837,Drame,165,U.S.A.,70138,4.0,4.2,673783.0,4000000.0,23.73,21.51,24.13,20.85,22.18,Summer,True,0.33,0.0,0,127.0
838,Drame,133,U.S.A.,97825,3.1,4.1,267617.0,23000000.0,3.97,2.54,6.74,2.28,4.27,Winter,False,0.0,0.0,0,165.0
839,"Thriller, Policier, Drame",119,France,30009,3.3,3.9,81581.0,0.0,26.65,22.47,28.83,25.21,28.75,Summer,True,0.0,0.0,0,258.0
840,"Animation, Aventure, Comédie",90,U.S.A.,1089789,3.1,3.4,1950932.0,90000000.0,16.86,6.15,10.78,10.84,8.51,Autumn,False,0.33,0.0,0,107.0
841,"Action, Drame",110,Norvège,16236,3.3,3.1,396620.0,5904067.0,21.57,17.88,18.79,21.26,19.94,Summer,True,0.0,0.0,0,1.0
842,"Action, Thriller",130,U.S.A.,1179765,3.3,3.6,2481606.0,125000000.0,17.63,16.38,19.19,17.75,16.81,Spring,True,0.67,0.0,0,243.0
843,"Comédie, Action",91,France,386345,2.9,2.4,744626.0,0.0,15.8,6.55,10.41,5.09,5.96,Winter,True,0.33,0.0,0,134.0
844,"Action, Drame",140,U.S.A.,100169,3.6,4.3,991359.0,25000000.0,20.74,14.61,19.61,16.6,15.89,Autumn,False,0.33,0.0,0,258.0
845,"Science fiction, Drame",96,U.S.A.,14818,3.2,2.8,73438.0,0.0,23.66,19.65,26.55,22.6,22.49,Summer,False,0.33,0.0,0,55.0
846,"Comédie, Aventure",109,France,1132279,3.2,1.7,5601638.0,61000000.0,20.98,14.32,15.44,17.76,15.4,Autumn,False,0.33,0.0,0,134.0
847,"Drame, Romance",177,Japon,48971,4.6,4.0,133546.0,0.0,22.03,17.32,19.54,20.89,19.38,Summer,True,0.0,0.0,0,127.0
848,"Drame, Thriller",120,France,56258,3.2,3.8,571645.0,0.0,21.56,16.36,19.51,17.08,16.84,Autumn,False,0.0,0.0,0,124.0
849,"Drame, Epouvante-horreur",92,France,5927,3.8,2.7,93598.0,0.0,18.55,10.88,14.88,11.93,11.05,Autumn,True,0.0,0.0,0,41.0
850,"Science fiction, Action, Drame",127,U.S.A.,15949,2.8,3.7,3131682.0,110000000.0,16.17,8.72,12.39,10.3,7.43,Autumn,False,0.33,0.0,0,114.0
851,"Animation, Aventure, Famille",90,Norvège,7248,3.6,3.4,110294.0,8121167.0,4.97,6.03,5.37,3.26,4.17,Winter,True,0.0,0.0,0,70.0
852,Comédie,95,France,118824,3.1,3.2,154864.0,0.0,14.9,6.85,8.71,7.05,7.88,Autumn,True,0.0,0.0,0,142.0
853,"Comédie, Comédie musicale",117,Grande-Bretagne,129371,3.5,3.7,626163.0,26000000.0,24.5,18.45,26.77,26.07,24.19,Summer,False,0.33,0.0,0,243.0
854,Comédie,107,France,143968,3.8,3.9,208510.0,0.0,23.82,17.19,22.03,23.9,20.96,Autumn,False,0.33,0.0,0,76.0
855,Drame,97,France,43695,3.8,3.3,118275.0,0.0,23.55,18.62,22.11,20.1,20.92,Autumn,False,0.0,0.0,0,124.0
856,"Fantastique, Aventure",130,U.S.A.,3129485,3.8,4.2,2989383.0,125000000.0,18.92,14.49,17.8,18.41,15.91,Summer,True,0.67,0.0,0,184.0
857,Epouvante-horreur,90,U.S.A.,105229,2.9,2.8,178755.0,6000000.0,24.56,19.41,25.31,28.82,23.28,Summer,False,0.0,0.0,0,154.0
858,"Action, Espionnage, Comédie",141,Grande-Bretagne,641173,3.1,3.8,789286.0,104000000.0,21.58,15.96,17.23,17.72,16.01,Autumn,False,0.67,0.0,0,165.0
859,Drame,125,Roumanie,26797,3.9,3.8,114557.0,0.0,22.34,14.78,18.99,19.03,16.89,Autumn,False,0.0,0.0,0,207.0
860,Drame,99,Grande-Bretagne,140037,4.0,3.6,2071918.0,6500000.0,16.19,5.54,12.24,7.9,6.29,Winter,False,0.33,0.0,0,24.0
861,"Comédie, Action",107,U.S.A.,319447,3.3,2.5,1506332.0,100000000.0,17.49,10.8,11.86,10.72,11.08,Autumn,True,0.67,0.0,0,154.0
862,Epouvante-horreur,91,U.S.A.,151196,2.8,2.4,184752.0,6500000.0,13.07,5.25,6.08,2.99,5.02,Autumn,False,0.0,0.0,0,258.0
863,Drame,108,U.S.A.,125027,4.1,3.9,151093.0,5000000.0,22.91,18.86,25.29,25.32,22.07,Summer,False,0.0,0.0,0,114.0
864,Thriller,88,Danemark,51612,4.1,4.1,487669.0,0.0,24.33,22.63,24.4,22.59,23.05,Summer,True,0.0,0.0,0,116.0
865,Comédie dramatique,111,France,49668,3.3,3.9,182477.0,0.0,1.36,2.64,1.42,-0.97,1.73,Winter,False,0.0,0.0,0,207.0
866,"Action, Thriller",136,U.S.A.,1861108,3.1,3.6,771051.0,250000000.0,12.42,9.65,14.26,12.61,10.58,Spring,True,1.0,0.0,0,243.0
867,Drame,80,France,24408,3.8,4.0,110231.0,0.0,11.13,8.32,12.74,11.92,10.68,Spring,False,0.0,0.0,0,127.0
868,Drame,122,France,90106,3.4,3.9,115617.0,0.0,12.68,4.89,5.33,2.41,3.75,Autumn,False,0.67,0.0,0,161.0
869,"Animation, Aventure, Famille",90,U.S.A.,600878,3.4,3.9,1575621.0,90000000.0,12.77,11.7,14.32,11.78,11.03,Spring,True,0.33,0.0,0,165.0
870,Drame,109,U.S.A.,61833,3.4,3.8,477655.0,10000000.0,3.68,1.79,5.12,1.12,1.35,Spring,True,0.0,0.0,0,116.0
871,"Drame, Erotique",124,Danemark,34065,2.8,3.2,850399.0,0.0,5.4,5.33,6.59,5.36,4.7,Winter,False,0.33,0.0,0,70.0
872,"Biopic, Drame",92,France,37490,3.4,3.0,137856.0,0.0,10.46,0.38,2.52,0.12,0.3,Winter,False,0.33,0.0,0,207.0
873,Drame,90,France,48077,3.3,2.8,587354.0,0.0,19.11,12.32,14.36,12.06,12.8,Autumn,True,0.33,0.5,1,207.0
874,"Animation, Aventure, Fantastique",93,Japon,146763,2.4,2.2,937369.0,23000000.0,8.0,6.19,10.7,7.03,7.1,Winter,True,0.0,0.0,0,134.0
875,Comédie,91,France,16693,3.4,2.6,16170.0,1297000.0,11.63,9.31,13.95,12.14,9.74,Spring,False,0.0,0.0,0,6.0
876,Drame,92,France,341290,3.7,3.8,894548.0,0.0,22.53,15.59,19.0,23.51,17.53,Autumn,False,0.33,0.0,0,207.0
877,Drame,105,France,106156,3.6,4.1,590533.0,2791874.0,23.3,17.83,22.19,21.77,19.71,Summer,True,0.0,0.0,0,127.0
878,Drame,99,France,81678,3.7,3.8,393882.0,0.0,15.65,5.39,9.31,7.99,8.56,Autumn,False,0.33,0.0,0,158.0
879,"Aventure, Famille",83,France,158396,3.0,3.5,179207.0,6500000.0,13.35,5.03,4.58,1.69,5.46,Winter,False,0.0,0.0,0,124.0
880,"Animation, Action, Comédie, Famille",88,U.S.A.,1360765,3.2,3.5,176755.0,85000000.0,23.66,19.65,26.55,22.6,22.49,Summer,False,0.0,0.0,0,243.0
881,Drame,105,Belgique,116438,4.4,4.1,501073.0,0.0,22.77,16.2,18.35,18.76,19.55,Autumn,False,0.0,0.0,0,127.0
882,"Romance, Drame, Comédie",116,France,565429,3.5,4.0,774412.0,11000000.0,14.43,5.57,9.29,6.03,6.24,Autumn,False,0.67,0.0,0,83.5
883,Comédie,108,France,59453,3.1,3.1,186516.0,4100000.0,13.07,0.8,8.75,4.75,1.06,Winter,False,0.0,0.0,0,243.0
884,Drame,99,France,25215,3.7,3.4,137484.0,0.0,14.72,8.09,8.16,5.36,5.98,Autumn,False,0.0,0.0,0,23.0
885,Policier,104,France,334791,3.1,3.6,936437.0,0.0,17.13,8.52,11.62,10.37,11.15,Autumn,True,0.33,0.5,1,56.0
886,"Thriller, Policier",108,Espagne,16793,2.1,2.7,65816.0,0.0,18.3,14.93,21.01,18.26,16.28,Spring,False,0.0,0.0,0,83.0
887,"Science fiction, Thriller",108,Grande-Bretagne,29883,3.3,3.9,505439.0,15000000.0,20.87,14.2,22.17,25.21,19.78,Summer,False,0.67,0.0,0,243.0
888,Comédie,104,U.S.A.,1371,3.2,3.2,4503.0,0.0,5.72,7.46,5.88,4.49,5.76,Winter,False,0.0,0.0,0,31.0
889,Comédie dramatique,102,France,238994,3.8,3.8,947970.0,0.0,23.08,17.62,20.2,21.08,20.49,Autumn,False,0.67,0.0,0,207.0
890,Drame,121,Canada,87310,3.3,3.5,293926.0,0.0,19.06,12.32,13.02,15.39,12.59,Autumn,False,0.33,1.0,1,127.0
891,"Action, Thriller",124,U.S.A.,608491,3.2,3.4,100297.0,120000000.0,22.6,15.89,23.46,20.45,21.2,Summer,True,0.67,0.0,0,243.0
