,genre,duration,nationality,box_office_first_week,press_eval,viewers_eval,views,budget,Temperature Moyenne,Lille,Bordeaux,Lyon,Paris,season,is_holiday,proportion_stars_actors,proportion_stars_producers,proportion_stars_director,distributor_avg_frequency,genre_action,genre_animation,genre_arts martiaux,genre_aventure,genre_biopic,genre_bollywood,genre_comédie,genre_comédie dramatique,genre_comédie musicale,genre_divers,genre_drame,genre_epouvante-horreur,genre_erotique,genre_espionnage,genre_expérimental,genre_famille,genre_fantastique,genre_guerre,genre_historique,genre_judiciaire,genre_musical,genre_policier,genre_péplum,genre_romance,genre_science fiction,genre_sport event,genre_thriller,genre_western
21,"comédie dramatique,drame,comédie",95,Italie,91786,3.9,3.3,100764.0,13266839.0,21.36,17.9,21.61,20.88,20.43,Summer,False,0.0,0.0,0,207.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"policier,action",113,U.S.A.,238040,3.5,4.1,877638.0,22000000.0,7.78,6.76,9.5,9.12,7.54,Winter,False,0.67,1.0,1,142.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,"epouvante-horreur,fantastique",108,U.S.A.,306107,2.1,2.2,49967.0,16000000.0,24.36,22.71,22.21,28.09,21.78,Summer,False,0.0,0.0,0,154.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,"action,guerre",91,Finlande,44625,2.7,3.3,186480.0,6200000.0,22.47,22.09,22.19,22.08,21.01,Summer,False,0.0,0.0,0,142.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,action,99,France,79426,3.4,3.7,222289.0,4920000.0,21.36,17.9,21.61,20.88,20.43,Summer,False,0.0,0.0,0,161.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"biopic,historique",140,République tchèque,34803,4.0,4.0,77006.0,0.0,22.47,22.09,22.19,22.08,21.01,Summer,False,0.0,0.0,0,26.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,thriller,103,Espagne,28720,3.6,3.5,210219.0,0.0,24.36,22.71,22.21,28.09,21.78,Summer,False,0.33,0.0,0,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,"romance,drame",90,France,58679,3.2,3.3,161212.0,0.0,24.36,22.71,22.21,28.09,21.78,Summer,False,0.33,0.5,0,161.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,comédie dramatique,106,U.S.A.,117498,3.3,3.0,145667.0,25000000.0,22.47,22.09,22.19,22.08,21.01,Summer,False,0.67,1.0,1,243.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"animation,action,fantastique,aventure",141,U.S.A.,550808,4.1,4.5,317420.0,100000000.0,20.18,16.62,22.32,19.9,20.05,Spring,False,0.0,0.0,0,154.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,"animation,action,aventure,comédie musicale",99,France,660421,2.7,2.7,177900.0,86000000.0,24.36,22.71,22.21,28.09,21.78,Summer,False,0.0,0.0,0,142.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"animation,comédie,famille",102,U.S.A.,426818,3.5,3.9,93927.0,200000000.0,22.47,22.09,22.19,22.08,21.01,Summer,False,0.67,0.0,0,114.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
