title,release_date,genre,duration,director,producers,cast,age_limit,nationality,distributor,box_office_title,box_office_date,box_office_first_week,box_office_second_week,press_eval,viewers_eval,views
The Nightmare Before Christmas,7 décembre 1994,"Fantastique, Animation, Comédie musicale",1h 15min,Henry Selick,"Tim Burton, Michael McDowell","Chris Sarandon, Danny Elfman, Catherine O'Hara",à partir de 8 ans (children's film),U.S.A.,The Walt Disney Company France,Box Office US,"['20 au 23 octobre 2006', '27 au 30 octobre 2006']",3 277 004,1 916 645,"4,8","4,2",140724
The Bling Ring,12 juin 2013,Drame,1h 30min,Sofia Coppola,Sofia Coppola,"Emma Watson, Katie Chang, Israel Broussard",None,U.S.A.,Pathé,Box Office France,"['12 au 19 juin 2013', '19 au 26 juin 2013']",171 401,105 528,"3,1","2,5",492510
Serre Moi Fort,8 septembre 2021,Drame,1h 37min,Mathieu Amalric,Mathieu Amalric,"Vicky Krieps, Arieh Worthalter, Aurélia Petit",None,France,Gaumont Distribution,Box Office France,"['08 au 15 septembre 2021', '15 au 22 septembre 2021']",43 695,26 039,"3,8","3,3",118336
Gangs of New York,8 janvier 2003,"Historique, Action, Drame",2h 50min,Martin Scorsese,"Jay Cocks, Kenneth Lonergan","Leonardo DiCaprio, Daniel Day-Lewis, Liam Neeson",Interdit aux moins de 12 ans,Grande-Bretagne,SND,Box Office France,"['08 au 15 janvier 2003', '15 au 22 janvier 2003']",869 475,619 388,"4,4","4,0",101068
Avec amour et acharnement,31 août 2022,"Drame, Romance",1h 56min,Claire Denis,"Claire Denis, Christine Angot","Juliette Binoche, Vincent Lindon, Grégoire Colin",None,France,Ad Vitam,Box Office France,"['31 août au 7 septembre 2022', '07 au 14 septembre 2022']",73 581,37 010,"3,1","1,9",93342
Ahlat Agaci,8 août 2018,Drame,3h 08min,Nuri Bilge Ceylan,"Ebru Ceylan, Nuri Bilge Ceylan","Doğu Demirkol, Murat Cemcir, Bennu Yıldırımlar",None,France,Memento Distribution,Box Office France,"['08 au 15 août 2018', '15 au 22 août 2018']",32 707,25 758,"4,0","3,7",93019
Neneh Superstar,25 janvier 2023,"Comédie dramatique, Drame, Comédie",1h 38min,Ramzi Ben Sliman,Ramzi Ben Sliman,"Oumy Bruni Garrel,  Maïwenn, Aïssa Maïga",à partir de 10 ans (children's film),France,Gaumont Distribution,Box Office France,"['25 janvier au 1 février 2023', '01 au 8 février 2023']",41 397,18 753,"2,9","2,4",81869
Unbreakable,27 décembre 2000,"Thriller, Fantastique",1h 46min,M. Night Shyamalan,M. Night Shyamalan,"Bruce Willis, Samuel L. Jackson, Robin Wright",None,U.S.A.,Gaumont Buena Vista International (GBVI),Box Office France,"['24 au 31 janvier 2001', '07 au 14 février 2001']",195 451,67 031,"3,4","3,7",256968
La Famille Bélier,17 décembre 2014,Comédie,1h 46min,Eric Lartigau,Stanislas Carré de Malberg,"Louane Emera, Karin Viard, François Damiens",None,France,Mars Films,Box Office France,"['17 au 24 décembre 2014', '24 au 31 décembre 2014']",972 689,1 241 370,"3,7","3,8",2794891
Le Temps des secrets,23 mars 2022,Famille,1h 48min,Christophe Barratier,Christophe Barratier,"Léo Campion (II), Guillaume De Tonquédec, Mélanie Doutey",None,France,Pathé,Box Office France,"['09 au 16 mars 2022', '23 au 30 mars 2022']",26 744,170 019,"2,6","3,6",109953
Tant que le soleil frappe,8 février 2023,Drame,1h 25min,Philippe Petit,Philippe Petit,"Swann Arlaud, Sarah Adler, Grégoire Oestermann",None,France,Pyramide Distribution,Box Office France,"['08 au 15 février 2023', '15 au 22 février 2023']",5 849,2 001,"2,9","3,1",62337
The Adjustment Bureau,23 mars 2011,"Science fiction, Romance",1h 47min,George Nolfi,George Nolfi,"Matt Damon, Emily Blunt, Michael Kelly",None,U.S.A.,Universal Pictures International France,Box Office France,"['23 au 30 mars 2011', '30 mars au 6 avril 2011']",294 496,183 705,"3,0","3,4",2113611
Countdown,13 novembre 2019,Epouvante-horreur,1h 31min,Justin Dec,Justin Dec,"Elizabeth Lail, Jordan Calloway, Talitha Bateman",Interdit aux moins de 12 ans,U.S.A.,Metropolitan FilmExport,Box Office France,"['13 au 20 novembre 2019', '20 au 27 novembre 2019']",151 196,102 499,"2,8","2,4",184836
Rodéo,7 septembre 2022,Drame,1h 46min,Lola Quivoron,"Lola Quivoron, Antonia Buresi","Julie Ledru, Yanis Lafki, Antonia Buresi",None,France,Les Films du Losange,Box Office France,"['07 au 14 septembre 2022', '14 au 21 septembre 2022']",22 033,9 451,"3,6","1,8",101857
American Gangster,14 novembre 2007,"Drame, Policier",2h 37min,Ridley Scott,Steven Zaillian,"Russell Crowe, Denzel Washington, Chiwetel Ejiofor","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,Paramount Pictures France,Box Office France,"['14 au 21 novembre 2007', '21 au 28 novembre 2007']",485 455,287 446,"3,9","4,1",465785
Girl,10 octobre 2018,Drame,1h 45min,Lukas Dhont,"Lukas Dhont, Angelo Tijssens","Victor Polster, Arieh Worthalter, Oliver Bodart","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",Belgique,Diaphana Distribution,Box Office France,"['10 au 17 octobre 2018', '17 au 24 octobre 2018']",116 438,87 225,"4,4","4,1",501203
47 Meters Down: Uncaged,None,"Epouvante-horreur, Thriller",1h 28min,Johannes Roberts,"Johannes Roberts, Ernest Riera","Sophie Nélisse, Corinne Foxx, Brianne Tju",None,Grande-Bretagne,,Box Office US,['16 au 19 août 2019'],8 427 265,None,"2,0",--,28878
Le Dindon,25 septembre 2019,Comédie,1h 25min,Jalil Lespert,"Jalil Lespert, Guillaume Gallienne","Dany Boon, Guillaume Gallienne, Alice Pol",None,France,Pathé,Box Office France,"['25 septembre au 2 octobre 2019', '02 au 9 octobre 2019']",151 796,63 998,"1,9","1,9",449179
The Boat That Rocked,6 mai 2009,"Comédie, Romance, Musical",2h 15min,Richard Curtis,Richard Curtis,"Tom Sturridge, Philip Seymour Hoffman, Rhys Ifans",None,Grande-Bretagne,StudioCanal,Box Office France,"['06 au 13 mai 2009', '13 au 20 mai 2009']",182 517,161 035,"3,7","4,2",1414094
Shooter,18 avril 2007,"Action, Policier",2h 04min,Antoine Fuqua,Jonathan Lemkin,"Mark Wahlberg, Michael Peña, Rhona Mitra",None,U.S.A.,Paramount Pictures France,Box Office France,"['18 au 25 avril 2007', '25 avril au 2 mai 2007']",183 930,125 973,"2,3","3,4",154484
Open Water,11 août 2004,"Drame, Thriller, Biopic",1h 20min,Chris Kentis,Chris Kentis,"Blanchard Ryan, Daniel Travis, Saul Stein",None,U.S.A.,Metropolitan FilmExport,Box Office US,"['06 au 9 août 2004', '13 au 16 août 2004']",1 100 943,894 747,"3,9","2,4",79498
Scooby-Doo,10 juillet 2002,Comédie,1h 27min,Raja Gosnell,"Craig Titley, James Gunn","Matthew Lillard, Freddie Prinze Jr., Sarah Michelle Gellar",à partir de 8 ans (children's film),Australie,Warner Bros. France,Box Office France,"['10 au 17 juillet 2002', '17 au 24 juillet 2002']",700 363,360 943,"2,7","1,7",68439
