title,release_date,genre,duration,director,producers,cast,age_limit,nationality,distributor,box_office_title,box_office_first_week,press_eval,viewers_eval,views
Den Of Thieves,21 février 2018,"Thriller, Policier, Action",2h 20min,Christian Gudegast,"Christian Gudegast, Paul Scheuring","Gerard Butler, Pablo Schreiber,  50 Cent","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,Metropolitan FilmExport,Box Office France,130352,"2,9","3,5",280024
Miracles From Heaven,,Drame,1h 49min,Patricia Riggen,Randy Brown,"Jennifer Garner, Kylie Rogers, Martin Henderson",,U.S.A.,Saje Distribution,Box Office US,14812393,"3,7",--,31044
Pain & Gain,11 septembre 2013,"Action, Drame, Comédie",2h 09min,Michael Bay,"Christopher Markus, Stephen McFeely","Mark Wahlberg, Dwayne Johnson, Ed Harris",Interdit aux moins de 12 ans,U.S.A.,Paramount Pictures France,Box Office France,192897,"3,1","3,3",618888
Paranoid Park,24 octobre 2007,Drame,1h 25min,Gus Van Sant,Gus Van Sant,"Gabriel Nevins, Daniel Liu, Jake Miller",,France,MK2 Diffusion,Box Office France,108103,"4,1","3,2",192960
Ralph Breaks the Internet,13 février 2019,"Animation, Aventure",1h 53min,Rich Moore,"Phil Johnston, Phil Johnston, Pamela Ribon","François-Xavier Demaison, John C. Reilly, Dorothée Pousséo",à partir de 8 ans (children's film),U.S.A.,The Walt Disney Company France,Box Office France,891596,"3,1","3,7",676173
Street Kings,25 juin 2008,"Policier, Action",1h 49min,David Ayer,"James Ellroy, Kurt Wimmer","Keanu Reeves, Forest Whitaker, Hugh Laurie",Interdit aux moins de 12 ans,U.S.A.,Twentieth Century Fox France,Box Office France,192341,"3,2","3,3",296289
Steve Jobs,3 février 2016,"Biopic, Drame",2h 02min,Danny Boyle,Aaron Sorkin,"Michael Fassbender, Kate Winslet, Seth Rogen",,U.S.A.,Universal Pictures International France,Box Office France,92271,"3,8","3,4",199205
The Last King of Scotland,14 février 2007,"Drame, Historique, Biopic",2h 03min,Kevin Macdonald,"Jeremy Brock, Peter Morgan","Forest Whitaker, Gillian Anderson, James McAvoy",Interdit aux moins de 12 ans,Grande-Bretagne,Twentieth Century Fox France,Box Office France,92000,"3,7","4,1",262688
Mary Shelley,8 août 2018,"Drame, Historique",2h 00min,Haifaa Al Mansour,"Emma Jensen, Haifaa Al Mansour","Elle Fanning, Douglas Booth, Tom Sturridge",,Grande-Bretagne,Pyramide Distribution,Box Office France,38287,"2,8","3,5",303634
There's Something about Mary,11 novembre 1998,Comédie,1h 59min,Peter Farrelly,"Bobby Farrelly, Edward Decter, Peter Farrelly","Ben Stiller, Cameron Diaz, Matt Dillon",,U.S.A.,UFD,Box Office France,573347,"4,0","3,5",94542
"Surf's Up
",24 octobre 2007,"Animation, Comédie",1h 28min,Ash Brannon,"Chris Buck, Christian Darren, Don Rhymer","Shia LaBeouf, Jeff Bridges, Zooey Deschanel",à partir de 6 ans (children's film),U.S.A.,Sony Pictures Releasing France,Box Office France,444083,"3,2","3,0",484052
Ils,19 juillet 2006,Thriller,1h 18min,Xavier Palud,"David Moreau, Xavier Palud, David Moreau","Olivia Bonamy, Michaël Cohen, Alexandru Boghiu",Interdit aux moins de 12 ans,France,Mars Distribution,Box Office France,106182,"3,2","2,6",453181
Ocean's Twelve,15 décembre 2004,"Comédie, Policier, Thriller",2h 05min,Steven Soderbergh,"George Clayton Johnson, Jack Golden Russell","George Clooney, Brad Pitt, Matt Damon",,U.S.A.,Warner Bros. France,Box Office France,1202262,"3,8","3,2",303080
Good Luck Chuck,26 décembre 2007,"Romance, Comédie dramatique",1h 41min,Mark Helfrich,Josh Stolberg,"Dane Cook, Jessica Alba, Dan Fogler",,U.S.A.,Sony Pictures Releasing France,Box Office France,69804,"1,5","2,3",531299
9 mois ferme,16 octobre 2013,Comédie,1h 22min,Albert Dupontel,Albert Dupontel,"Sandrine Kiberlain, Albert Dupontel, Nicolas Marié",,France,Wild Bunch Distribution,Box Office France,546618,"4,1","3,7",1198783
Oldboy,1 janvier 2014,Thriller,1h 44min,Spike Lee,Mark Protosevich,"Josh Brolin, Elizabeth Olsen, Sharlto Copley",Interdit aux moins de 16 ans,U.S.A.,Universal Pictures International France,Box Office France,20083,"2,4","2,7",287092
Angels & Demons,13 mai 2009,"Thriller, Fantastique",2h 20min,Ron Howard,"Akiva Goldsman, David Koepp","Tom Hanks, Ewan McGregor, Stellan Skarsgård",,U.S.A.,Sony Pictures Releasing France,Box Office France,805694,"2,4","3,2",792121
Saving Mr. Banks,5 mars 2014,"Biopic, Drame, Comédie",2h 05min,John Lee Hancock,"Kelly Marcel, Sue Smith","Tom Hanks, Emma Thompson, Paul Giamatti",,U.S.A.,The Walt Disney Company France,Box Office France,137770,"3,5","4,2",795635
Comme Un Avion,10 juin 2015,Comédie,1h 45min,Bruno Podalydès,Bruno Podalydès,"Bruno Podalydès, Agnès Jaoui, Sandrine Kiberlain",,France,UGC Distribution,Box Office France,147598,"4,0","3,5",710048
Jackie,1 février 2017,"Biopic, Drame",1h 40min,Pablo Larraín,Noah Oppenheim,"Natalie Portman, Peter Sarsgaard, Greta Gerwig",,U.S.A.,Bac Films,Box Office France,193995,"4,0","3,0",562445
High Life,7 novembre 2018,Science fiction,1h 53min,Claire Denis,"Claire Denis, Jean-Pol Fargeau","Robert Pattinson, Juliette Binoche, André Benjamin",Interdit aux moins de 12 ans avec avertissement,France,Wild Bunch Distribution,Box Office France,18950,"3,1","2,1",158198
Bande de filles,22 octobre 2014,Drame,1h 52min,Céline Sciamma,Céline Sciamma,"Karidja Touré, Assa Sylla, Lindsay Karamoh",,France,Pyramide Distribution,Box Office France,140723,"3,7","2,9",534755
Les Amours d’Anaïs,15 septembre 2021,"Comédie, Romance",1h 39min,Charline Bourgeois-Tacquet,Charline Bourgeois-Tacquet,"Anaïs Demoustier, Valeria Bruni Tedeschi, Denis Podalydès",,France,Haut et Court,Box Office France,28954,"3,7","3,0",152341
Dog,,Comédie dramatique,1h 42min,Reid Carolin,"Channing Tatum, Reid Carolin, Brett Rodriguez","Channing Tatum, Luke Forbes, Ethan Suplee",,U.S.A.,,Box Office US,15135000,"3,2",--,34476
Joyeux Noël,9 novembre 2005,"Drame, Guerre, Historique",1h 55min,Christian Carion,Christian Carion,"Diane Kruger, Benno Fürmann, Guillaume Canet",,France,UGC,Box Office France,606009,"3,1","3,8",318931
La Tortue Rouge,29 juin 2016,Animation,1h 21min,Michael Dudok de Wit,"Michael Dudok de Wit, Pascale Ferran","Tom Hudson, Barbara Beretta",à partir de 10 ans (children's film),France,Wild Bunch Distribution,Box Office France,79745,"4,3","4,0",627572
Liberté-Oléron,20 juin 2001,Comédie,1h 47min,Bruno Podalydès,"Bruno Podalydès, Denis Podalydès","Denis Podalydès, Guilaine Londez, Arnaud Jalbert",,France,UFD,Box Office France,70059,"3,4","3,2",25395
Haute couture,10 novembre 2021,"Comédie dramatique, Drame, Comédie",1h 41min,Sylvie Ohayon,Sylvie Ohayon,"Nathalie Baye, Lyna Khoudri, Pascale Arbillot",,France,UGC Distribution,Box Office France,92692,"2,9","3,0",142684
K-19 : The Widowmaker,18 septembre 2002,"Thriller, Action, Drame, Guerre",2h 18min,Kathryn Bigelow,"Christopher Kyle, Louis Nowra","Harrison Ford, Liam Neeson, Peter Sarsgaard",,Allemagne,United International Pictures (UIP),Box Office France,171779,"3,3","3,4",22018
Superman Returns,12 juillet 2006,"Fantastique, Action",2h 34min,Bryan Singer,"Michael Dougherty, Dan Harris","Brandon Routh, Kate Bosworth, Kevin Spacey",,U.S.A.,Warner Bros. France,Box Office France,640412,"2,9","2,5",749197
Les Fantasmes,18 août 2021,"Comédie, Romance",1h 41min,Stéphane Foenkinos,"David Foenkinos, Stéphane Foenkinos, David Foenkinos","Karin Viard, Jean-Paul Rouve, Ramzy Bedia",,France,Gaumont Distribution,Box Office France,60910,"2,5","2,0",272253
Last Night,16 février 2011,"Drame, Romance",1h 32min,Massy Tadjedin,Massy Tadjedin,"Keira Knightley, Sam Worthington, Guillaume Canet",,France,Gaumont Distribution,Box Office France,4750,"2,7","2,6",1823612
Martin Eden,16 octobre 2019,Drame,1h 29min,Pietro Marcello,"Pietro Marcello, Maurizio Braucci","Luca Marinelli, Jessica Cressy, Denise Sardisco",,Italie,Shellac,Box Office France,36268,"4,1","3,9",200039
Savages,26 septembre 2012,"Drame, Thriller",2h 10min,Oliver Stone,"Shane Salerno, Don Winslow","Taylor Kitsch, Aaron Taylor-Johnson, Blake Lively",Interdit aux moins de 12 ans,U.S.A.,Pathé,Box Office France,216929,"3,0","3,4",4062631
The Italian Job,17 septembre 2003,"Action, Thriller, Policier",1h 51min,F. Gary Gray,"Donna Powers, Wayne Powers","Mark Wahlberg, Charlize Theron, Edward Norton",,U.S.A.,United International Pictures (UIP),Box Office France,264813,"3,3","3,5",180173
The Princess Diaries,24 octobre 2001,"Comédie, Famille, Romance",1h 51min,Garry Marshall,"Gina Wendkos, Meg Cabot","Julie Andrews, Anne Hathaway, Hector Elizondo",à partir de 10 ans (children's film),U.S.A.,Gaumont Buena Vista International (GBVI),Box Office France,126382,"2,0","2,8",127389
Norbit,4 avril 2007,"Comédie, Romance",1h 43min,Brian Robbins,"Jay Scherick, David Ronn","Eddie Murphy, Thandiwe Newton, Terry Crews",,U.S.A.,Paramount Pictures France,Box Office France,135779,"1,8","1,7",329164
The Curse of La Llorona,17 avril 2019,Epouvante-horreur,1h 34min,Michael Chaves,"Mikki Daughtry, Tobias Iaconis","Linda Cardellini, Roman Christou, Jaynee-Lynne Kinchen",Interdit aux moins de 12 ans,U.S.A.,Warner Bros. France,Box Office France,316075,"2,7","2,2",342543
The Expendables 3,20 août 2014,Action,2h 07min,Patrick Hughes (II),"Sylvester Stallone, Creighton Rothenberger","Sylvester Stallone, Jason Statham, Arnold Schwarzenegger","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",U.S.A.,Metropolitan FilmExport,Box Office France,590362,"2,6","3,0",1348048
The Emoji Movie,18 octobre 2017,"Animation, Aventure, Comédie",1h 26min,Tony Leondis,"Tony Leondis, Eric Siegel","T.J. Miller, James Corden, Anna Faris",à partir de 8 ans (children's film),U.S.A.,Sony Pictures Releasing France,Box Office France,258815,"1,8","1,9",423264
The Hobbit: The Battle of the Five Armies,10 décembre 2014,"Action, Fantastique, Aventure",2h 24min,Peter Jackson,"Philippa Boyens, Peter Jackson","Martin Freeman, Richard Armitage, Evangeline Lilly",,U.S.A.,Warner Bros. France,Box Office France,1789196,"3,6","4,0",1204034
Heartbeast,22 février 2023,"Thriller, Drame",1h 43min,Aino Suni,Aino Suni,"Elsi Sloan, Carmen Kassovitz, Lucille Guillaume","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",France,Wayna Pitch,Box Office France,18,"2,8","2,6",4885
The New World,15 février 2006,"Aventure, Historique, Romance",2h 16min,Terrence Malick,Terrence Malick,"Colin Farrell, Christian Bale, Q'Orianka Kilcher",,U.S.A.,Metropolitan FilmExport,Box Office France,315159,"4,2","3,1",92096
Pete's Dragon,,"Aventure, Comédie, Fantastique, Famille",1h 43min,David Lowery,"David Lowery, Toby Halbrooks","Bryce Dallas Howard, Robert Redford, Oakes Fegley",à partir de 8 ans (children's film),U.S.A.,The Walt Disney Company France,Box Office France,287349,"3,3","3,7",747629
Camille,16 octobre 2019,"Drame, Biopic",1h 30min,Boris Lojkine,"Boris Lojkine, Bojina Panayotova","Nina Meurisse, Fiacre Bindala, Bruno Todeschini","Avertissement : des scènes, des propos ou des images peuvent heurter la sensibilité des spectateurs",France,Pyramide Distribution,Box Office France,22694,"3,7","4,0",177819
Trigger Point,,"Action, Thriller",1h 20min,Michael Vickerman,,"Barry Pepper, Laura Vandervoort, Colm Feore",,Canada,,Box Office US,29262,"1,9",--,
Meitantei Conan : Halloween no Hanayome,18 mai 2022,"Animation, Policier, Action, Comédie, Drame",1h 50min,Susumu Mitsunaka,Okura Takahiro,"Minami Takayama, Wakana Yamazaki,  Chafûrin",à partir de 10 ans (children's film),Japon,Eurozoom,Box Office France,18200,"3,4","3,8",8873
Message from the King,10 mai 2017,Thriller,1h 42min,Fabrice Du Welz,"Oliver Butcher, Stephen Cornwell","Chadwick Boseman, Luke Evans, Teresa Palmer",Interdit aux moins de 12 ans avec avertissement,Grande-Bretagne,The Jokers / Les Bookmakers,Box Office France,29046,"2,9","3,4",368703
Trolls,19 octobre 2016,"Animation, Aventure, Fantastique, Comédie musicale",1h 33min,Walt Dohrn,"Mike Mitchell (V), Jonathan Aibel, Glenn Berger","Louane Emera, Anna Kendrick, Matt Pokora",à partir de 6 ans (children's film),U.S.A.,Twentieth Century Fox France,Box Office France,976227,"2,9","3,3",693469
The Raid 2,23 juillet 2014,"Action, Arts Martiaux",2h 30min,Gareth Evans,Gareth Evans,"Iko Uwais, Julie Estelle, Yayan Ruhian",Interdit aux moins de 16 ans avec avertissement,Indonésie,The Jokers / Le Pacte,Box Office France,58142,"3,7","4,1",741471
Battle of the Sexes,22 novembre 2017,"Biopic, Drame, Comédie",2h 02min,Jonathan Dayton,"Valerie Faris, Simon Beaufoy","Emma Stone, Steve Carell, Andrea Riseborough",,Grande-Bretagne,Twentieth Century Fox France,Box Office France,48367,"3,4","3,6",337590
Bandidas,18 janvier 2006,"Western, Comédie, Action",1h 35min,Joachim Rønning,"Espen Sandberg, Luc Besson, Robert Mark Kamen","Salma Hayek, Penélope Cruz, Steve Zahn",,France,20th Century Studios,Box Office France,208706,"2,7","2,1",300134
Reprise en main,19 octobre 2022,"Comédie dramatique, Drame, Comédie",1h 47min,Gilles Perret,"Gilles Perret, Marion Richoux","Pierre Deladonchamps, Laetitia Dosch, Grégory Montel",,France,Jour2fête,Box Office France,39242,"3,0","3,9",98815
Soshite Chichi ni Naru,25 décembre 2013,Drame,2h 01min,Hirokazu Kore-eda,Hirokazu Kore-eda,"Masaharu Fukuyama, Machiko Ono, Lily Franky",,Japon,Le Pacte,Box Office France,104396,"4,0","4,2",531284
Une vie de chat,15 décembre 2010,"Animation, Policier",1h 10min,Alain Gagnol,"Jean-Loup Felicioli, Alain Gagnol","Dominique Blanc, Bruno Salomone, Jean Benguigui",à partir de 6 ans (children's film),France,Folimage Studio,Box Office France,100469,"3,6","3,8",709967
Hannah Arendt,24 avril 2013,"Biopic, Drame",1h 53min,Margarethe von Trotta,"Pamela Katz, Margarethe von Trotta","Barbara Sukowa, Axel Milberg, Janet McTeer",,Allemagne,Dulac Distribution,Box Office France,87234,"3,5","3,6",371953
Endless Love,11 juin 2014,"Drame, Romance",1h 44min,Shana Feste,"Shana Feste, Joshua Safran","Alex Pettyfer, Gabriella Wilde, Bruce Greenwood",,U.S.A.,Universal Pictures International France,Box Office France,3188,"1,8","3,3",545967
The Current War,,"Drame, Historique, Biopic",1h 44min,Alfonso Gomez-Rejon,Michael Mitnick,"Benedict Cumberbatch, Michael Shannon, Nicholas Hoult",,U.S.A.,StudioCanal,Box Office US,2633717,"3,6",--,40821
12 Strong,31 janvier 2018,Guerre,2h 11min,Nicolai Fuglsig,"Peter Craig, Ted Tally","Chris Hemsworth, Michael Shannon, Michael Peña",,U.S.A.,Metropolitan FilmExport,Box Office France,58961,"3,0","3,6",219142
Proxima,27 novembre 2019,"Drame, Action",1h 47min,Alice Winocour,"Alice Winocour, Jean-Stéphane Bron","Eva Green, Zélie Boulant-Lemesle, Matt Dillon",,France,Pathé,Box Office France,51977,"3,9","3,6",397611
Un Heureux Événement,28 septembre 2011,Comédie dramatique,1h 50min,Rémi Bezançon,"Rémi Bezançon, Vanessa Portal","Louise Bourgoin, Pio Marmaï, Josiane Balasko",,France,Gaumont Distribution,Box Office France,15450,"3,1","3,5",2732781
Verónica,24 janvier 2018,Epouvante-horreur,1h 45min,Paco Plaza,"Fernando Navarro, Paco Plaza","Sandra Escacena, Bruna González, Claudia Placer",Interdit aux moins de 12 ans,Espagne,Wild Bunch Distribution,Box Office France,73210,"2,5","2,5",282145
Un monde,26 janvier 2022,Drame,1h 15min,Laura Wandel,Laura Wandel,"Maya Vanderbeque, Günter Duret, Karim Leklou",,Belgique,Tandem,Box Office France,15718,"3,8","3,7",149172
Les Irréductibles,14 juin 2006,Comédie dramatique,1h 45min,Renaud Bertrand,"Sébastien Thibaudeau, Marc Herpoux","Jacques Gamblin, Kad Merad,  Rufus",,France,Bac Films,Box Office France,43261,"2,7","2,1",54311
Daredevil,19 mars 2003,"Fantastique, Action",1h 42min,Mark Steven Johnson,"Mark Steven Johnson, Brian Helgeland","Ben Affleck, Michael Clarke Duncan, Jennifer Garner",Interdit aux moins de 12 ans,U.S.A.,UFD,Box Office France,534365,"2,7","2,0",98804
Dead Silence,,"Epouvante-horreur, Thriller",1h 31min,James Wan,"James Wan, Leigh Whannell","Ryan Kwanten, Donnie Wahlberg, Bob Gunton",Interdit aux moins de 12 ans,U.S.A.,Paramount Pictures France,Box Office US,7842725,"2,5","3,0",133695
"Good Bye, Lenin!",10 septembre 2003,Comédie dramatique,1h 58min,Wolfgang Becker (II),"Bernd Lichtenberg, Wolfgang Becker (II)","Daniel Brühl, Katrin Sass, Chulpan Khamatova",,Allemagne,Océan Films,Box Office France,163695,"3,6","4,0",414724
Out of Time,,"Policier, Thriller, Action",1h 45min,Carl Franklin,Dave Collard,"Denzel Washington, Eva Mendes, Dean Cain",,U.S.A.,UFD,Box Office France,117652,"2,8","2,7",46902
Adieu Paris,26 janvier 2022,Comédie,1h 36min,Edouard Baer,"Edouard Baer, Marcia Romano","Pierre Arditi, Jackie Berroyer, François Damiens",,France,Le Pacte,Box Office France,35841,"3,1","2,0",162448
Magic Mike XXL,8 juillet 2015,"Comédie, Drame, Musical",1h 55min,Gregory Jacobs,Reid Carolin,"Channing Tatum, Matt Bomer, Joe Manganiello",,U.S.A.,Warner Bros. France,Box Office France,107428,"3,0","2,4",473297
La monja,11 octobre 2006,Epouvante-horreur,1h 37min,Luis De La Madrid,"Jaume Balagueró, Manu Diez","Lola Marceli, Ludovic Tattevin, Alessandra Streignard",Interdit aux moins de 12 ans,Espagne,Carrère Group,Box Office France,33146,"1,9","1,4",136773
Chi bi,25 mars 2009,"Action, Historique",2h 25min,John Woo,"John Woo, Khan Chan","Tony Leung Chiu-Wai, Takeshi Kaneshiro,  Zhang Fengyi",,Chine,Metropolitan FilmExport,Box Office France,246290,"3,5","3,8",98756
